constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,fastest_lap_average_speed,fastest_lap_average_speed_units,fastest_lap_lap,fastest_lap_rank,fastest_lap_time,grid_position,laps,milliseconds,points,position,position_text,round,status,time,year
Maserati,maserati,Italian,,fangio,Juan Fangio,Argentine,2,1957-buenos-aires,Argentine Grand Prix,,,,,,2,100,10855900,8.0,1,1,1,Finished,3:00:55.900,1957
Maserati,maserati,Italian,,behra,Jean Behra,French,6,1957-buenos-aires,Argentine Grand Prix,,,,,,3,100,10874200,6.0,2,2,1,Finished,+18.300,1957
Maserati,maserati,Italian,,menditeguy,Carlos Menditeguy,Argentine,8,1957-buenos-aires,Argentine Grand Prix,,,,,,8,99,,4.0,3,3,1,+1 Lap,,1957
Maserati,maserati,Italian,,schell,Harry Schell,American,22,1957-buenos-aires,Argentine Grand Prix,,,,,,9,98,,3.0,4,4,1,+2 Laps,,1957
Ferrari,ferrari,Italian,,portago,Alfonso de Portago,Spanish,20,1957-buenos-aires,Argentine Grand Prix,,,,,,10,98,,1.0,5,5,1,+2 Laps,,1957
Ferrari,ferrari,Italian,,gonzalez,José Froilán González,Argentine,20,1957-buenos-aires,Argentine Grand Prix,,,,,,10,98,,1.0,5,5,1,+2 Laps,,1957
Ferrari,ferrari,Italian,,trips,Wolfgang von Trips,German,18,1957-buenos-aires,Argentine Grand Prix,,,,,,11,98,,0.0,6,6,1,+2 Laps,,1957
Ferrari,ferrari,Italian,,collins,Peter Collins,British,18,1957-buenos-aires,Argentine Grand Prix,,,,,,11,98,,0.0,6,6,1,+2 Laps,,1957
Ferrari,ferrari,Italian,,perdisa,Cesare Perdisa,Italian,18,1957-buenos-aires,Argentine Grand Prix,,,,,,11,98,,0.0,6,6,1,+2 Laps,,1957
Maserati,maserati,Italian,,bonnier,Jo Bonnier,Swedish,24,1957-buenos-aires,Argentine Grand Prix,,,,,,13,95,,0.0,7,7,1,+5 Laps,,1957
Maserati,maserati,Italian,,moss,Stirling Moss,British,4,1957-buenos-aires,Argentine Grand Prix,,,,,,1,93,,1.0,8,8,1,+7 Laps,,1957
Ferrari,ferrari,Italian,,tomaso,Alessandro de Tomaso,Argentine,26,1957-buenos-aires,Argentine Grand Prix,,,,,,12,91,,0.0,9,9,1,+9 Laps,,1957
Maserati,maserati,Italian,,piotti,Luigi Piotti,Italian,28,1957-buenos-aires,Argentine Grand Prix,,,,,,14,90,,0.0,10,10,1,+10 Laps,,1957
Ferrari,ferrari,Italian,,castellotti,Eugenio Castellotti,Italian,14,1957-buenos-aires,Argentine Grand Prix,,,,,,4,75,,0.0,11,R,1,Wheel,,1957
Ferrari,ferrari,Italian,,hawthorn,Mike Hawthorn,British,16,1957-buenos-aires,Argentine Grand Prix,,,,,,7,35,,0.0,12,R,1,Clutch,,1957
Ferrari,ferrari,Italian,,musso,Luigi Musso,Italian,12,1957-buenos-aires,Argentine Grand Prix,,,,,,6,31,,0.0,13,R,1,Clutch,,1957
Ferrari,ferrari,Italian,,collins,Peter Collins,British,10,1957-buenos-aires,Argentine Grand Prix,,,,,,5,26,,0.0,14,R,1,Clutch,,1957
Maserati,maserati,Italian,,fangio,Juan Fangio,Argentine,32,1957-monte-carlo,Monaco Grand Prix,,,,,,1,105,11412800,9.0,1,1,2,Finished,3:10:12.800,1957
Vanwall,vanwall,British,,brooks,Tony Brooks,British,20,1957-monte-carlo,Monaco Grand Prix,,,,,,4,105,11438000,6.0,2,2,2,Finished,+25.200,1957
Maserati,maserati,Italian,,gregory,Masten Gregory,American,2,1957-monte-carlo,Monaco Grand Prix,,,,,,10,103,,4.0,3,3,2,+2 Laps,,1957
Connaught,connaught,British,,lewis-evans,Stuart Lewis-Evans,British,10,1957-monte-carlo,Monaco Grand Prix,,,,,,13,102,,3.0,4,4,2,+3 Laps,,1957
Ferrari,ferrari,Italian,,trintignant,Maurice Trintignant,French,30,1957-monte-carlo,Monaco Grand Prix,,,,,,6,100,,2.0,5,5,2,+5 Laps,,1957
Cooper,cooper,British,,jack_brabham,Jack Brabham,Australian,14,1957-monte-carlo,Monaco Grand Prix,,,,,,15,100,,0.0,6,6,2,+5 Laps,,1957
Ferrari,ferrari,Italian,,hawthorn,Mike Hawthorn,British,24,1957-monte-carlo,Monaco Grand Prix,,,,,,9,95,,0.0,7,R,2,Engine,,1957
Ferrari,ferrari,Italian,,trips,Wolfgang von Trips,German,24,1957-monte-carlo,Monaco Grand Prix,,,,,,9,95,,0.0,7,R,2,Engine,,1957
Maserati,maserati,Italian,,schell,Harry Schell,American,34,1957-monte-carlo,Monaco Grand Prix,,,,,,14,64,,0.0,8,R,2,Oil leak,,1957
Maserati,maserati,Italian,,scarlatti,Giorgio Scarlatti,Italian,34,1957-monte-carlo,Monaco Grand Prix,,,,,,14,64,,0.0,8,R,2,Oil leak,,1957
BRM,brm,British,,flockhart,Ron Flockhart,British,6,1957-monte-carlo,Monaco Grand Prix,,,,,,11,60,,0.0,9,R,2,Engine,,1957
Maserati,maserati,Italian,,menditeguy,Carlos Menditeguy,Argentine,36,1957-monte-carlo,Monaco Grand Prix,,,,,,7,51,,0.0,10,R,2,Spun off,,1957
Connaught,connaught,British,,bueb,Ivor Bueb,British,12,1957-monte-carlo,Monaco Grand Prix,,,,,,16,47,,0.0,11,R,2,Fuel leak,,1957
Maserati,maserati,Italian,,schell,Harry Schell,American,38,1957-monte-carlo,Monaco Grand Prix,,,,,,8,23,,0.0,12,R,2,Suspension,,1957
Maserati,maserati,Italian,,gould,Horace Gould,British,22,1957-monte-carlo,Monaco Grand Prix,,,,,,12,10,,0.0,13,R,2,Accident,,1957
Ferrari,ferrari,Italian,,collins,Peter Collins,British,26,1957-monte-carlo,Monaco Grand Prix,,,,,,2,4,,0.0,14,R,2,Accident,,1957
Vanwall,vanwall,British,,moss,Stirling Moss,British,18,1957-monte-carlo,Monaco Grand Prix,,,,,,3,4,,0.0,15,R,2,Accident,,1957
Ferrari,ferrari,Italian,,hawthorn,Mike Hawthorn,British,28,1957-monte-carlo,Monaco Grand Prix,,,,,,5,4,,0.0,16,R,2,Accident,,1957
Epperly,epperly,American,,hanks,Sam Hanks,American,9,1957-indianapolis,Indianapolis 500,,,,,,13,200,13274250,8.0,1,1,3,Finished,3:41:14.250,1957
Epperly,epperly,American,,rathmann,Jim Rathmann,American,26,1957-indianapolis,Indianapolis 500,,,,,,32,200,13295710,7.0,2,2,3,Finished,+21.460,1957
Kuzma,kuzma,American,,bryan,Jimmy Bryan,American,1,1957-indianapolis,Indianapolis 500,,,,,,15,200,13408220,4.0,3,3,3,Finished,+2:13.970,1957
Kurtis Kraft,kurtis_kraft,American,,paul_russo,Paul Russo,American,54,1957-indianapolis,Indianapolis 500,,,,,,10,200,13451110,3.0,4,4,3,Finished,+2:56.860,1957
