circuit_id,circuit_name,circuit_url,country,date,event_id,event_name,event_slug,latitude,locality,longitude,round,season,time,url,year
albert_park,Albert Park Grand Prix Circuit,https://en.wikipedia.org/wiki/Albert_Park_Circuit,Australia,2004-03-07,2004-melbourne,Australian Grand Prix,melbourne,-37.8497,Melbourne,144.968,1,2004,,https://en.wikipedia.org/wiki/2004_Australian_Grand_Prix,2004
sepang,Sepang International Circuit,https://en.wikipedia.org/wiki/Sepang_International_Circuit,Malaysia,2004-03-21,2004-kuala-lumpur,Malaysian Grand Prix,kuala-lumpur,2.76083,Kuala Lumpur,101.738,2,2004,,https://en.wikipedia.org/wiki/2004_Malaysian_Grand_Prix,2004
bahrain,Bahrain International Circuit,https://en.wikipedia.org/wiki/Bahrain_International_Circuit,Bahrain,2004-04-04,2004-sakhir,Bahrain Grand Prix,sakhir,26.0325,Sakhir,50.5106,3,2004,,https://en.wikipedia.org/wiki/2004_Bahrain_Grand_Prix,2004
imola,Autodromo Enzo e Dino Ferrari,https://en.wikipedia.org/wiki/Imola_Circuit,Italy,2004-04-25,2004-imola,San Marino Grand Prix,imola,44.3439,Imola,11.7167,4,2004,,https://en.wikipedia.org/wiki/2004_San_Marino_Grand_Prix,2004
catalunya,Circuit de Barcelona-Catalunya,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Spain,2004-05-09,2004-barcelona,Spanish Grand Prix,barcelona,41.57,Barcelona,2.26111,5,2004,,https://en.wikipedia.org/wiki/2004_Spanish_Grand_Prix,2004
monaco,Circuit de Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Monaco,2004-05-23,2004-monte-carlo,Monaco Grand Prix,monte-carlo,43.7347,Monte Carlo,7.42056,6,2004,,https://en.wikipedia.org/wiki/2004_Monaco_Grand_Prix,2004
nurburgring,Nürburgring,https://en.wikipedia.org/wiki/N%C3%BCrburgring,Germany,2004-05-30,2004-n-rburg,European Grand Prix,n-rburg,50.3356,Nürburg,6.9475,7,2004,,https://en.wikipedia.org/wiki/2004_European_Grand_Prix,2004
villeneuve,Circuit Gilles Villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Canada,2004-06-13,2004-montreal,Canadian Grand Prix,montreal,45.5,Montreal,-73.5228,8,2004,,https://en.wikipedia.org/wiki/2004_Canadian_Grand_Prix,2004
indianapolis,Indianapolis Motor Speedway,https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,USA,2004-06-20,2004-indianapolis,United States Grand Prix,indianapolis,39.795,Indianapolis,-86.2347,9,2004,,https://en.wikipedia.org/wiki/2004_United_States_Grand_Prix,2004
magny_cours,Circuit de Nevers Magny-Cours,https://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours,France,2004-07-04,2004-magny-cours,French Grand Prix,magny-cours,46.8642,Magny Cours,3.16361,10,2004,,https://en.wikipedia.org/wiki/2004_French_Grand_Prix,2004
silverstone,Silverstone Circuit,https://en.wikipedia.org/wiki/Silverstone_Circuit,UK,2004-07-11,2004-silverstone,British Grand Prix,silverstone,52.0786,Silverstone,-1.01694,11,2004,,https://en.wikipedia.org/wiki/2004_British_Grand_Prix,2004
hockenheimring,Hockenheimring,https://en.wikipedia.org/wiki/Hockenheimring,Germany,2004-07-25,2004-hockenheim,German Grand Prix,hockenheim,49.3278,Hockenheim,8.56583,12,2004,,https://en.wikipedia.org/wiki/2004_German_Grand_Prix,2004
hungaroring,Hungaroring,https://en.wikipedia.org/wiki/Hungaroring,Hungary,2004-08-15,2004-budapest,Hungarian Grand Prix,budapest,47.5789,Budapest,19.2486,13,2004,,https://en.wikipedia.org/wiki/2004_Hungarian_Grand_Prix,2004
spa,Circuit de Spa-Francorchamps,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Belgium,2004-08-29,2004-spa,Belgian Grand Prix,spa,50.4372,Spa,5.97139,14,2004,,https://en.wikipedia.org/wiki/2004_Belgian_Grand_Prix,2004
monza,Autodromo Nazionale di Monza,https://en.wikipedia.org/wiki/Monza_Circuit,Italy,2004-09-12,2004-monza,Italian Grand Prix,monza,45.6156,Monza,9.28111,15,2004,,https://en.wikipedia.org/wiki/2004_Italian_Grand_Prix,2004
shanghai,Shanghai International Circuit,https://en.wikipedia.org/wiki/Shanghai_International_Circuit,China,2004-09-26,2004-shanghai,Chinese Grand Prix,shanghai,31.3389,Shanghai,121.22,16,2004,,https://en.wikipedia.org/wiki/2004_Chinese_Grand_Prix,2004
suzuka,Suzuka Circuit,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,Japan,2004-10-10,2004-suzuka,Japanese Grand Prix,suzuka,34.8431,Suzuka,136.541,17,2004,,https://en.wikipedia.org/wiki/2004_Japanese_Grand_Prix,2004
interlagos,Autódromo José Carlos Pace,https://en.wikipedia.org/wiki/Interlagos_Circuit,Brazil,2004-10-24,2004-s-o-paulo,Brazilian Grand Prix,s-o-paulo,-23.7036,São Paulo,-46.6997,18,2004,,https://en.wikipedia.org/wiki/2004_Brazilian_Grand_Prix,2004
