year,round,event_name,official_event_name,country,location,circuit_key,circuit_short_name,event_format,event_date,event_slug,event_id
2010,1,Bahrain Grand Prix,,Bahrain,Sakhir,,,conventional,2010-03-14T12:00:00,sakhir,2010-sakhir
2010,2,Australian Grand Prix,,Australia,Melbourne,,,conventional,2010-03-28T06:00:00,melbourne,2010-melbourne
2010,3,Malaysian Grand Prix,,Malaysia,Kuala Lumpur,,,conventional,2010-04-04T08:00:00,kuala-lumpur,2010-kuala-lumpur
2010,4,Chinese Grand Prix,,China,Shanghai,,,conventional,2010-04-18T06:00:00,shanghai,2010-shanghai
2010,5,Spanish Grand Prix,,Spain,Barcelona,,,conventional,2010-05-09T12:00:00,barcelona,2010-barcelona
2010,6,Monaco Grand Prix,,Monaco,Monte Carlo,,,conventional,2010-05-16T12:00:00,monte-carlo,2010-monte-carlo
2010,7,Turkish Grand Prix,,Turkey,Istanbul,,,conventional,2010-05-30T11:00:00,istanbul,2010-istanbul
2010,8,Canadian Grand Prix,,Canada,Montreal,,,conventional,2010-06-13T16:00:00,montreal,2010-montreal
2010,9,European Grand Prix,,Spain,Valencia,,,conventional,2010-06-27T12:00:00,valencia,2010-valencia
2010,10,British Grand Prix,,UK,Silverstone,,,conventional,2010-07-11T12:00:00,silverstone,2010-silverstone
2010,11,German Grand Prix,,Germany,Hockenheim,,,conventional,2010-07-25T12:00:00,hockenheim,2010-hockenheim
2010,12,Hungarian Grand Prix,,Hungary,Budapest,,,conventional,2010-08-01T12:00:00,budapest,2010-budapest
2010,13,Belgian Grand Prix,,Belgium,Spa,,,conventional,2010-08-29T12:00:00,spa,2010-spa
2010,14,Italian Grand Prix,,Italy,Monza,,,conventional,2010-09-12T12:00:00,monza,2010-monza
2010,15,Singapore Grand Prix,,Singapore,Marina Bay,,,conventional,2010-09-26T12:00:00,marina-bay,2010-marina-bay
2010,16,Japanese Grand Prix,,Japan,Suzuka,,,conventional,2010-10-10T06:00:00,suzuka,2010-suzuka
2010,17,Korean Grand Prix,,Korea,Yeongam County,,,conventional,2010-10-24T05:00:00,yeongam-county,2010-yeongam-county
2010,18,Brazilian Grand Prix,,Brazil,São Paulo,,,conventional,2010-11-07T16:00:00,s-o-paulo,2010-s-o-paulo
2010,19,Abu Dhabi Grand Prix,,UAE,Abu Dhabi,,,conventional,2010-11-14T13:00:00,abu-dhabi,2010-abu-dhabi
