constructor,constructor_id,constructor_nationality,constructor_url,points,position,position_text,wins,year
Mercedes,mercedes,German,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,765.0,1,1,19,2016
Red Bull,red_bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing,468.0,2,2,2,2016
Ferrari,ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari,398.0,3,3,0,2016
Force India,force_india,Indian,https://en.wikipedia.org/wiki/Racing_Point_Force_India,173.0,4,4,0,2016
Williams,williams,British,https://en.wikipedia.org/wiki/Williams_Racing,138.0,5,5,0,2016
McLaren,mclaren,British,https://en.wikipedia.org/wiki/McLaren,76.0,6,6,0,2016
Toro Rosso,toro_rosso,Italian,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,63.0,7,7,0,2016
Haas F1 Team,haas,American,https://en.wikipedia.org/wiki/Haas_F1_Team,29.0,8,8,0,2016
Renault,renault,French,https://en.wikipedia.org/wiki/Renault_in_Formula_One,8.0,9,9,0,2016
Sauber,sauber,Swiss,https://en.wikipedia.org/wiki/Sauber_Motorsport,2.0,10,10,0,2016
Manor Marussia,manor,British,https://en.wikipedia.org/wiki/Manor_Motorsport,1.0,11,11,0,2016
