Driver,DriverNumber,Team,LapNumber,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsAccurate,TrackStatus,Deleted,DeletedReason,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds
NOR,4,McLaren,1,,1.0,0 days 00:14:16.306000,,,0 days 00:00:37.116000,0 days 00:00:32.914000,262.0,286.0,316.0,136.0,SOFT,1.0,True,False,1,,,,,37.116,32.914
NOR,4,McLaren,2,0 days 00:01:19.911000,1.0,,,0 days 00:00:26.484000,0 days 00:00:26.898000,0 days 00:00:26.529000,325.0,337.0,307.0,346.0,SOFT,2.0,True,True,1,,,79.911,26.484,26.898,26.529
NOR,4,McLaren,3,0 days 00:01:51.021000,1.0,,0 days 00:19:18.770000,0 days 00:00:32.371000,0 days 00:00:38.291000,0 days 00:00:40.359000,217.0,231.0,,256.0,SOFT,3.0,True,False,1,,,111.021,32.371,38.291,40.359
NOR,4,McLaren,4,,2.0,0 days 00:41:40.139000,,,0 days 00:00:39.008000,0 days 00:00:31.591000,256.0,143.0,319.0,197.0,SOFT,1.0,True,False,12,,,,,39.008,31.591
NOR,4,McLaren,5,0 days 00:01:19.727000,2.0,,,0 days 00:00:26.395000,0 days 00:00:26.865000,0 days 00:00:26.467000,325.0,337.0,314.0,349.0,SOFT,2.0,True,True,1,,,79.727,26.395,26.865,26.467
NOR,4,McLaren,6,0 days 00:01:49.446000,2.0,,0 days 00:46:34.663000,0 days 00:00:31.980000,0 days 00:00:37.478000,0 days 00:00:39.988000,246.0,195.0,,255.0,SOFT,3.0,True,False,1,,,109.446,31.98,37.478,39.988
NOR,4,McLaren,7,,3.0,0 days 01:03:43.411000,,,0 days 00:00:36.182000,0 days 00:00:31.355000,243.0,283.0,317.0,104.0,SOFT,1.0,True,False,1,,,,,36.182,31.355
NOR,4,McLaren,8,0 days 00:01:19.401000,3.0,,,0 days 00:00:26.400000,0 days 00:00:26.748000,0 days 00:00:26.253000,324.0,338.0,315.0,346.0,SOFT,2.0,True,True,1,,,79.401,26.4,26.748,26.253
NOR,4,McLaren,9,0 days 00:01:47.128000,3.0,,0 days 01:08:48.763000,0 days 00:00:30.949000,0 days 00:00:34.968000,0 days 00:00:41.211000,264.0,257.0,,263.0,SOFT,3.0,True,False,1,,,107.128,30.949,34.968,41.211
NOR,4,McLaren,10,,4.0,0 days 01:11:57.071000,,,0 days 00:00:35.668000,0 days 00:00:30.242000,229.0,289.0,316.0,101.0,SOFT,1.0,True,False,1,,,,,35.668,30.242
NOR,4,McLaren,11,0 days 00:01:19.327000,4.0,,,0 days 00:00:26.492000,0 days 00:00:26.579000,0 days 00:00:26.256000,324.0,338.0,315.0,346.0,SOFT,2.0,True,True,1,,,79.327,26.492,26.579,26.256
NOR,4,McLaren,12,,4.0,,0 days 01:17:01.169000,0 days 00:00:33.633000,0 days 00:00:38.149000,,218.0,202.0,,235.0,SOFT,3.0,True,False,1,,,,33.633,38.149,
PIA,81,McLaren,1,,1.0,0 days 00:14:20.318000,,,0 days 00:00:36.502000,0 days 00:00:31.998000,266.0,312.0,315.0,113.0,SOFT,1.0,True,False,1,,,,,36.502,31.998
PIA,81,McLaren,2,0 days 00:01:50.311000,1.0,,,0 days 00:00:35.502000,0 days 00:00:41.647000,0 days 00:00:33.162000,154.0,294.0,317.0,343.0,SOFT,2.0,True,True,1,,,110.311,35.502,41.647,33.162
PIA,81,McLaren,3,0 days 00:01:20.488000,1.0,,,0 days 00:00:26.735000,0 days 00:00:26.969000,0 days 00:00:26.784000,325.0,334.0,310.0,345.0,SOFT,3.0,True,True,1,,,80.488,26.735,26.969,26.784
PIA,81,McLaren,4,0 days 00:01:50.151000,1.0,,0 days 00:21:18.741000,0 days 00:00:35.141000,0 days 00:00:34.520000,0 days 00:00:40.490000,265.0,272.0,,218.0,SOFT,4.0,True,False,1,,,110.151,35.141,34.52,40.49
PIA,81,McLaren,5,,2.0,0 days 00:25:52.790000,,,0 days 00:00:38.791000,0 days 00:00:32.482000,242.0,298.0,315.0,173.0,SOFT,5.0,False,False,1,,,,,38.791,32.482
PIA,81,McLaren,6,0 days 00:01:20.076000,2.0,,,0 days 00:00:26.529000,0 days 00:00:26.915000,0 days 00:00:26.632000,324.0,338.0,314.0,346.0,SOFT,6.0,False,True,12,,,80.076,26.529,26.915,26.632
PIA,81,McLaren,7,0 days 00:01:50.213000,2.0,,0 days 00:30:57.191000,0 days 00:00:33.981000,0 days 00:00:36.853000,0 days 00:00:39.379000,249.0,257.0,,218.0,SOFT,7.0,False,False,1,,,110.213,33.981,36.853,39.379
PIA,81,McLaren,8,,3.0,0 days 00:41:28.981000,,,0 days 00:00:36.598000,0 days 00:00:33.197000,247.0,311.0,316.0,225.0,SOFT,1.0,True,False,1,,,,,36.598,33.197
