rank,driver,team,best_lap_seconds,gap_to_pole_seconds,best_lap_number,sector1_seconds,sector2_seconds,sector3_seconds,laps_counted
1,NOR,McLaren,79.327,0.0,11,26.492,26.579,26.256,4
2,PIA,McLaren,79.436,0.109,15,26.407,26.643,26.386,7
3,RUS,Mercedes,79.44,0.113,17,26.296,26.844,26.3,6
4,LEC,Ferrari,79.461,0.134,20,26.373,26.732,26.356,7
5,SAI,Ferrari,79.467,0.14,17,26.223,26.823,26.421,6
6,HAM,Mercedes,79.513,0.186,17,26.428,26.672,26.413,6
7,VER,Red Bull Racing,79.662,0.335,11,26.389,26.656,26.617,6
8,PER,Red Bull Racing,80.062,0.735,14,26.488,27.042,26.532,5
9,ALB,Williams,80.299,0.972,17,26.395,27.12,26.784,6
10,HUL,Haas F1 Team,80.339,1.012,17,26.479,27.074,26.786,6
11,ALO,Aston Martin,80.421,1.094,10,26.463,27.131,26.827,3
12,RIC,RB,80.479,1.152,11,26.363,27.141,26.975,4
13,MAG,Haas F1 Team,80.698,1.371,7,26.466,27.107,27.125,3
14,GAS,Alpine,80.738,1.411,11,26.563,27.263,26.912,6
15,OCO,Alpine,80.764,1.437,5,26.504,27.264,26.996,6
16,TSU,RB,80.945,1.618,5,26.572,27.406,26.967,2
17,STR,Aston Martin,81.013,1.686,2,26.648,27.18,27.185,2
18,COL,Williams,81.061,1.734,2,26.613,27.42,27.028,2
19,BOT,Kick Sauber,81.101,1.774,2,26.706,27.446,26.949,2
20,ZHO,Kick Sauber,81.445,2.118,8,26.5,27.485,27.46,3
