Driver,DriverNumber,Team,LapNumber,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsAccurate,TrackStatus,Deleted,DeletedReason,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds
LEC,16,Ferrari,1,0 days 00:01:28.179000,1.0,,,,0 days 00:00:29.989000,0 days 00:00:28.398000,316.0,313.0,311.0,300.0,MEDIUM,1.0,True,False,1,,,88.179,,29.989,28.398
LEC,16,Ferrari,2,0 days 00:01:25.396000,1.0,,,0 days 00:00:27.707000,0 days 00:00:29.265000,0 days 00:00:28.424000,315.0,325.0,312.0,325.0,MEDIUM,2.0,True,True,1,,,85.396,27.707,29.265,28.424
LEC,16,Ferrari,3,0 days 00:01:25.179000,1.0,,,0 days 00:00:27.679000,0 days 00:00:29.001000,0 days 00:00:28.499000,313.0,324.0,313.0,328.0,MEDIUM,3.0,True,True,1,,,85.179,27.679,29.001,28.499
LEC,16,Ferrari,4,0 days 00:01:24.810000,1.0,,,0 days 00:00:27.653000,0 days 00:00:28.883000,0 days 00:00:28.274000,314.0,324.0,312.0,327.0,MEDIUM,4.0,True,True,1,,,84.81,27.653,28.883,28.274
LEC,16,Ferrari,5,0 days 00:01:24.603000,1.0,,,0 days 00:00:27.630000,0 days 00:00:28.790000,0 days 00:00:28.183000,313.0,325.0,312.0,321.0,MEDIUM,5.0,True,True,1,,,84.603,27.63,28.79,28.183
LEC,16,Ferrari,6,0 days 00:01:24.663000,1.0,,,0 days 00:00:27.596000,0 days 00:00:28.945000,0 days 00:00:28.122000,315.0,325.0,312.0,325.0,MEDIUM,6.0,True,True,1,,,84.663,27.596,28.945,28.122
LEC,16,Ferrari,7,0 days 00:01:24.434000,1.0,,,0 days 00:00:27.645000,0 days 00:00:28.701000,0 days 00:00:28.088000,314.0,326.0,312.0,329.0,MEDIUM,7.0,True,True,1,,,84.434,27.645,28.701,28.088
LEC,16,Ferrari,8,0 days 00:01:24.569000,1.0,,,0 days 00:00:27.557000,0 days 00:00:28.771000,0 days 00:00:28.241000,,325.0,313.0,333.0,MEDIUM,8.0,True,True,1,,,84.569,27.557,28.771,28.241
LEC,16,Ferrari,9,0 days 00:01:24.362000,1.0,,,0 days 00:00:27.542000,0 days 00:00:28.781000,0 days 00:00:28.039000,,326.0,312.0,,MEDIUM,9.0,True,True,1,,,84.362,27.542,28.781,28.039
LEC,16,Ferrari,10,0 days 00:01:24.432000,1.0,,,0 days 00:00:27.515000,0 days 00:00:28.840000,0 days 00:00:28.077000,,325.0,311.0,334.0,MEDIUM,10.0,True,True,1,,,84.432,27.515,28.84,28.077
LEC,16,Ferrari,11,0 days 00:01:24.846000,1.0,,,0 days 00:00:27.633000,0 days 00:00:28.951000,0 days 00:00:28.262000,313.0,316.0,311.0,323.0,MEDIUM,11.0,True,True,1,,,84.846,27.633,28.951,28.262
LEC,16,Ferrari,12,0 days 00:01:24.916000,1.0,,,0 days 00:00:27.680000,0 days 00:00:28.971000,0 days 00:00:28.265000,312.0,316.0,311.0,321.0,MEDIUM,12.0,True,True,1,,,84.916,27.68,28.971,28.265
LEC,16,Ferrari,13,0 days 00:01:25.529000,1.0,,,0 days 00:00:27.812000,0 days 00:00:29.177000,0 days 00:00:28.540000,311.0,315.0,309.0,,MEDIUM,13.0,True,True,1,,,85.529,27.812,29.177,28.54
LEC,16,Ferrari,14,0 days 00:01:25.606000,1.0,,,0 days 00:00:27.839000,0 days 00:00:29.217000,0 days 00:00:28.550000,312.0,314.0,310.0,320.0,MEDIUM,14.0,True,True,1,,,85.606,27.839,29.217,28.55
LEC,16,Ferrari,15,0 days 00:01:30.192000,1.0,,0 days 01:17:08.772000,0 days 00:00:28.034000,0 days 00:00:29.361000,0 days 00:00:32.797000,,314.0,,318.0,MEDIUM,15.0,True,False,1,,,90.192,28.034,29.361,32.797
LEC,16,Ferrari,16,0 days 00:01:44.888000,2.0,0 days 01:17:33.191000,,0 days 00:00:47.985000,0 days 00:00:28.750000,0 days 00:00:28.153000,313.0,314.0,313.0,284.0,HARD,1.0,True,False,1,,,104.888,47.985,28.75,28.153
LEC,16,Ferrari,17,0 days 00:01:24.270000,2.0,,,0 days 00:00:27.458000,0 days 00:00:28.730000,0 days 00:00:28.082000,314.0,318.0,314.0,322.0,HARD,2.0,True,True,1,,,84.27,27.458,28.73,28.082
LEC,16,Ferrari,18,0 days 00:01:23.875000,2.0,,,0 days 00:00:27.408000,0 days 00:00:28.571000,0 days 00:00:27.896000,316.0,327.0,315.0,329.0,HARD,3.0,True,True,1,,,83.875,27.408,28.571,27.896
LEC,16,Ferrari,19,0 days 00:01:24.203000,2.0,,,0 days 00:00:27.354000,0 days 00:00:28.722000,0 days 00:00:28.127000,317.0,327.0,315.0,336.0,HARD,4.0,True,True,1,,,84.203,27.354,28.722,28.127
LEC,16,Ferrari,20,0 days 00:01:23.826000,2.0,,,0 days 00:00:27.483000,0 days 00:00:28.623000,0 days 00:00:27.720000,315.0,327.0,315.0,325.0,HARD,5.0,True,True,1,,,83.826,27.483,28.623,27.72
LEC,16,Ferrari,21,0 days 00:01:23.880000,2.0,,,0 days 00:00:27.423000,0 days 00:00:28.725000,0 days 00:00:27.732000,,318.0,315.0,335.0,HARD,6.0,True,True,1,,,83.88,27.423,28.725,27.732
LEC,16,Ferrari,22,0 days 00:01:23.768000,2.0,,,0 days 00:00:27.358000,0 days 00:00:28.484000,0 days 00:00:27.926000,316.0,328.0,316.0,327.0,HARD,7.0,True,True,1,,,83.768,27.358,28.484,27.926
LEC,16,Ferrari,23,0 days 00:01:23.864000,2.0,,,0 days 00:00:27.438000,0 days 00:00:28.501000,0 days 00:00:27.925000,318.0,319.0,315.0,326.0,HARD,8.0,True,True,1,,,83.864,27.438,28.501,27.925
LEC,16,Ferrari,24,0 days 00:01:23.640000,2.0,,,0 days 00:00:27.347000,0 days 00:00:28.551000,0 days 00:00:27.742000,317.0,319.0,315.0,327.0,HARD,9.0,True,True,1,,,83.64,27.347,28.551,27.742
LEC,16,Ferrari,25,0 days 00:01:23.590000,2.0,,,0 days 00:00:27.380000,0 days 00:00:28.445000,0 days 00:00:27.765000,316.0,319.0,314.0,326.0,HARD,10.0,True,True,1,,,83.59,27.38,28.445,27.765
