rank,driver,team,laps_counted,average_lap_seconds,gap_to_best_avg_seconds,median_lap_seconds,best_lap_seconds,consistency_std_seconds
1,PIA,McLaren,48,83.542,0.0,83.468,81.943,0.941
2,NOR,McLaren,48,83.608,0.066,83.591,81.432,1.033
3,HAM,Mercedes,48,83.897,0.355,83.656,81.512,1.171
4,LEC,Ferrari,50,83.949,0.407,83.716,83.226,0.623
5,RUS,Mercedes,48,83.984,0.442,84.28,82.036,1.163
6,VER,Red Bull Racing,48,84.124,0.582,83.619,81.745,1.11
7,SAI,Ferrari,50,84.236,0.694,83.926,83.219,0.775
8,PER,Red Bull Racing,48,84.499,0.957,84.524,82.971,1.003
9,ALO,Aston Martin,48,84.74,1.198,84.887,82.944,1.025
10,MAG,Haas F1 Team,50,84.963,1.421,84.796,83.437,0.893
11,HUL,Haas F1 Team,47,85.058,1.516,85.194,83.275,1.099
12,ALB,Williams,50,85.175,1.633,85.059,83.918,0.76
13,RIC,RB,50,85.238,1.696,85.04,84.219,0.606
14,STR,Aston Martin,45,85.27,1.728,85.064,82.232,1.224
15,GAS,Alpine,47,85.324,1.782,85.229,83.755,0.888
16,COL,Williams,50,85.372,1.83,85.066,83.728,0.911
17,OCO,Alpine,49,85.765,2.223,86.013,84.343,0.818
18,BOT,Kick Sauber,49,86.024,2.482,86.31,83.609,1.094
19,ZHO,Kick Sauber,49,86.181,2.639,85.942,85.092,0.842
20,TSU,RB,5,88.223,4.681,87.538,86.198,2.154
