Driver,DriverNumber,Team,LapNumber,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsAccurate,TrackStatus,Deleted,DeletedReason,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds
RUS,63,Mercedes,1,,1.0,0 days 00:13:30.333000,,,0 days 00:00:43.698000,0 days 00:00:31.100000,286.0,237.0,236.0,256.0,INTERMEDIATE,1.0,True,False,1,,,,,43.698,31.1
RUS,63,Mercedes,2,0 days 00:01:37.800000,1.0,,,0 days 00:00:30.831000,0 days 00:00:39.784000,0 days 00:00:27.185000,291.0,246.0,232.0,298.0,INTERMEDIATE,2.0,True,True,1,,,97.8,30.831,39.784,27.185
RUS,63,Mercedes,3,0 days 00:02:07.395000,1.0,,,0 days 00:00:42.237000,0 days 00:00:53.886000,0 days 00:00:31.272000,215.0,179.0,236.0,278.0,INTERMEDIATE,3.0,True,True,1,,,127.395,42.237,53.886,31.272
RUS,63,Mercedes,4,0 days 00:01:37.215000,1.0,,,0 days 00:00:30.704000,0 days 00:00:39.456000,0 days 00:00:27.055000,293.0,247.0,230.0,299.0,INTERMEDIATE,4.0,True,True,1,,,97.215,30.704,39.456,27.055
RUS,63,Mercedes,5,0 days 00:01:47.968000,1.0,,0 days 00:22:24.033000,0 days 00:00:35.889000,0 days 00:00:44.201000,0 days 00:00:27.878000,267.0,230.0,,283.0,INTERMEDIATE,5.0,True,False,1,,,107.968,35.889,44.201,27.878
RUS,63,Mercedes,6,,2.0,0 days 00:23:04.104000,0 days 00:25:04.455000,,,,,,,,SOFT,1.0,True,False,125,,,,,,
RUS,63,Mercedes,7,,3.0,0 days 00:33:04.674000,,,0 days 00:00:42.067000,0 days 00:00:28.051000,283.0,230.0,241.0,272.0,SOFT,1.0,True,False,1,,,,,42.067,28.051
RUS,63,Mercedes,8,0 days 00:01:36.993000,3.0,,,0 days 00:00:29.055000,0 days 00:00:42.133000,0 days 00:00:25.805000,,254.0,248.0,294.0,SOFT,2.0,True,True,1,,,96.993,29.055,42.133,25.805
RUS,63,Mercedes,9,0 days 00:01:32.640000,3.0,,,0 days 00:00:29.677000,0 days 00:00:37.805000,0 days 00:00:25.158000,288.0,257.0,249.0,297.0,SOFT,3.0,True,True,1,,,92.64,29.677,37.805,25.158
RUS,63,Mercedes,10,0 days 00:01:30.106000,3.0,,,0 days 00:00:28.970000,0 days 00:00:36.277000,0 days 00:00:24.859000,291.0,262.0,251.0,300.0,SOFT,4.0,True,True,1,,,90.106,28.97,36.277,24.859
RUS,63,Mercedes,11,0 days 00:01:42.832000,3.0,,0 days 00:41:09.032000,0 days 00:00:34.563000,0 days 00:00:41.238000,0 days 00:00:27.031000,267.0,251.0,,283.0,SOFT,5.0,True,False,1,,,102.832,34.563,41.238,27.031
RUS,63,Mercedes,12,,4.0,0 days 00:48:33.777000,,,0 days 00:00:44.146000,0 days 00:00:33.037000,293.0,247.0,248.0,192.0,SOFT,6.0,False,False,1,,,,,44.146,33.037
RUS,63,Mercedes,13,0 days 00:01:29.771000,4.0,,,0 days 00:00:28.526000,0 days 00:00:36.502000,0 days 00:00:24.743000,307.0,262.0,250.0,310.0,SOFT,7.0,False,True,1,,,89.771,28.526,36.502,24.743
RUS,63,Mercedes,14,0 days 00:01:28.105000,4.0,,,0 days 00:00:28.401000,0 days 00:00:35.690000,0 days 00:00:24.014000,312.0,264.0,251.0,320.0,SOFT,8.0,False,True,1,,,88.105,28.401,35.69,24.014
RUS,63,Mercedes,15,0 days 00:01:35.383000,4.0,,0 days 00:54:55.482000,0 days 00:00:29.921000,0 days 00:00:39.910000,0 days 00:00:25.552000,284.0,252.0,,306.0,SOFT,9.0,False,False,1,,,95.383,29.921,39.91,25.552
RUS,63,Mercedes,16,,5.0,0 days 00:56:17.073000,,,0 days 00:00:42.605000,0 days 00:00:28.337000,296.0,227.0,253.0,300.0,SOFT,1.0,True,False,1,,,,,42.605,28.337
RUS,63,Mercedes,17,0 days 00:01:26.766000,5.0,,,0 days 00:00:28.063000,0 days 00:00:35.087000,0 days 00:00:23.616000,312.0,267.0,252.0,321.0,SOFT,2.0,True,True,1,,,86.766,28.063,35.087,23.616
