rank,driver,team,best_lap_seconds,gap_to_pole_seconds,best_lap_number,sector1_seconds,sector2_seconds,sector3_seconds,laps_counted
1,RUS,Mercedes,85.819,0.0,25,28.016,34.508,23.295,13
2,HAM,Mercedes,85.99,0.171,24,27.99,34.618,23.382,12
3,NOR,McLaren,86.03,0.211,19,28.025,34.567,23.438,10
4,VER,Red Bull Racing,86.203,0.384,23,28.136,34.587,23.48,12
5,PIA,McLaren,86.237,0.418,20,28.043,34.701,23.493,12
6,HUL,Haas F1 Team,86.338,0.519,16,27.886,34.783,23.669,7
7,SAI,Ferrari,86.509,0.69,20,28.009,34.891,23.609,11
8,STR,Aston Martin,86.585,0.766,23,27.892,34.941,23.752,12
9,ALB,Williams,86.64,0.821,22,28.004,34.999,23.637,10
10,ALO,Aston Martin,86.73,0.911,18,28.136,34.915,23.679,11
11,LEC,Ferrari,87.097,1.278,17,28.117,35.16,23.82,8
12,SAR,Williams,87.175,1.356,17,28.251,35.129,23.795,11
13,TSU,RB,87.269,1.45,16,28.115,35.163,23.991,8
14,ZHO,Kick Sauber,87.867,2.048,19,28.252,35.594,24.021,13
15,RIC,RB,87.949,2.13,17,28.418,35.594,23.937,9
16,BOT,Kick Sauber,92.431,6.612,8,29.149,37.552,25.73,5
17,MAG,Haas F1 Team,92.905,7.086,5,29.587,37.446,25.872,2
18,OCO,Alpine,94.557,8.738,9,30.569,38.201,25.787,6
19,PER,Red Bull Racing,98.348,12.529,2,31.119,39.482,27.747,2
20,GAS,Alpine,99.804,13.985,2,31.617,40.506,27.681,3
