Driver,DriverNumber,Team,LapNumber,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsAccurate,TrackStatus,Deleted,DeletedReason,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds
HAM,44,Mercedes,1,0 days 00:01:36.034000,1.0,,,,0 days 00:00:37.703000,0 days 00:00:25.484000,299.0,257.0,244.0,299.0,MEDIUM,1.0,True,False,1,,,96.034,,37.703,25.484
HAM,44,Mercedes,2,0 days 00:01:31.420000,1.0,,,0 days 00:00:29.249000,0 days 00:00:37.314000,0 days 00:00:24.857000,313.0,258.0,246.0,319.0,MEDIUM,2.0,True,True,1,,,91.42,29.249,37.314,24.857
HAM,44,Mercedes,3,0 days 00:01:31.716000,1.0,,,0 days 00:00:29.287000,0 days 00:00:37.133000,0 days 00:00:25.296000,307.0,257.0,246.0,294.0,MEDIUM,3.0,True,True,1,,,91.716,29.287,37.133,25.296
HAM,44,Mercedes,4,0 days 00:01:31.988000,1.0,,,0 days 00:00:29.554000,0 days 00:00:37.258000,0 days 00:00:25.176000,291.0,257.0,246.0,295.0,MEDIUM,4.0,True,True,1,,,91.988,29.554,37.258,25.176
HAM,44,Mercedes,5,0 days 00:01:31.677000,1.0,,,0 days 00:00:29.469000,0 days 00:00:37.231000,0 days 00:00:24.977000,295.0,258.0,246.0,297.0,MEDIUM,5.0,True,True,1,,,91.677,29.469,37.231,24.977
HAM,44,Mercedes,6,0 days 00:01:31.746000,1.0,,,0 days 00:00:29.486000,0 days 00:00:37.195000,0 days 00:00:25.065000,296.0,257.0,246.0,299.0,MEDIUM,6.0,True,True,1,,,91.746,29.486,37.195,25.065
HAM,44,Mercedes,7,0 days 00:01:31.675000,1.0,,,0 days 00:00:29.518000,0 days 00:00:37.064000,0 days 00:00:25.093000,295.0,258.0,246.0,296.0,MEDIUM,7.0,True,True,1,,,91.675,29.518,37.064,25.093
HAM,44,Mercedes,8,0 days 00:01:31.760000,1.0,,,0 days 00:00:29.475000,0 days 00:00:37.201000,0 days 00:00:25.084000,296.0,257.0,245.0,298.0,MEDIUM,8.0,True,True,1,,,91.76,29.475,37.201,25.084
HAM,44,Mercedes,9,0 days 00:01:31.564000,1.0,,,0 days 00:00:29.496000,0 days 00:00:36.954000,0 days 00:00:25.114000,294.0,258.0,245.0,294.0,MEDIUM,9.0,True,True,1,,,91.564,29.496,36.954,25.114
HAM,44,Mercedes,10,0 days 00:01:31.515000,1.0,,,0 days 00:00:29.484000,0 days 00:00:36.923000,0 days 00:00:25.108000,295.0,258.0,246.0,297.0,MEDIUM,10.0,True,True,1,,,91.515,29.484,36.923,25.108
HAM,44,Mercedes,11,0 days 00:01:31.487000,1.0,,,0 days 00:00:29.412000,0 days 00:00:37.003000,0 days 00:00:25.072000,298.0,258.0,246.0,300.0,MEDIUM,11.0,True,True,1,,,91.487,29.412,37.003,25.072
HAM,44,Mercedes,12,0 days 00:01:31.563000,1.0,,,0 days 00:00:29.429000,0 days 00:00:36.937000,0 days 00:00:25.197000,295.0,258.0,246.0,298.0,MEDIUM,12.0,True,True,1,,,91.563,29.429,36.937,25.197
HAM,44,Mercedes,13,0 days 00:01:31.881000,1.0,,,0 days 00:00:29.817000,0 days 00:00:37.067000,0 days 00:00:24.997000,298.0,258.0,246.0,303.0,MEDIUM,13.0,True,True,1,,,91.881,29.817,37.067,24.997
HAM,44,Mercedes,14,0 days 00:01:31.609000,1.0,,,0 days 00:00:29.552000,0 days 00:00:37.045000,0 days 00:00:25.012000,296.0,259.0,246.0,299.0,MEDIUM,14.0,True,True,1,,,91.609,29.552,37.045,25.012
HAM,44,Mercedes,15,0 days 00:01:31.563000,1.0,,,0 days 00:00:29.520000,0 days 00:00:37.024000,0 days 00:00:25.019000,,259.0,247.0,297.0,MEDIUM,15.0,True,True,1,,,91.563,29.52,37.024,25.019
HAM,44,Mercedes,16,0 days 00:01:31.931000,1.0,,,0 days 00:00:29.491000,0 days 00:00:36.755000,0 days 00:00:25.685000,294.0,260.0,247.0,299.0,MEDIUM,16.0,True,True,1,,,91.931,29.491,36.755,25.685
HAM,44,Mercedes,17,0 days 00:01:33.721000,1.0,,,0 days 00:00:29.743000,0 days 00:00:36.945000,0 days 00:00:27.033000,290.0,255.0,244.0,300.0,MEDIUM,17.0,True,True,1,,,93.721,29.743,36.945,27.033
HAM,44,Mercedes,18,0 days 00:01:35.071000,1.0,,,0 days 00:00:29.752000,0 days 00:00:37.612000,0 days 00:00:27.707000,311.0,262.0,207.0,318.0,MEDIUM,18.0,True,True,1,,,95.071,29.752,37.612,27.707
HAM,44,Mercedes,19,0 days 00:01:43.711000,1.0,,,0 days 00:00:34.046000,0 days 00:00:40.683000,0 days 00:00:28.982000,289.0,226.0,216.0,298.0,MEDIUM,19.0,True,True,1,,,103.711,34.046,40.683,28.982
HAM,44,Mercedes,20,0 days 00:01:40.021000,1.0,,,0 days 00:00:33.695000,0 days 00:00:39.257000,0 days 00:00:27.069000,293.0,243.0,245.0,304.0,MEDIUM,20.0,True,True,1,,,100.021,33.695,39.257,27.069
HAM,44,Mercedes,21,0 days 00:01:32.156000,1.0,,,0 days 00:00:29.881000,0 days 00:00:37.046000,0 days 00:00:25.229000,291.0,258.0,249.0,298.0,MEDIUM,21.0,True,True,1,,,92.156,29.881,37.046,25.229
HAM,44,Mercedes,22,0 days 00:01:31.095000,1.0,,,0 days 00:00:29.387000,0 days 00:00:36.821000,0 days 00:00:24.887000,293.0,259.0,250.0,306.0,MEDIUM,22.0,True,True,1,,,91.095,29.387,36.821,24.887
HAM,44,Mercedes,23,0 days 00:01:31.107000,1.0,,,0 days 00:00:29.369000,0 days 00:00:36.814000,0 days 00:00:24.924000,297.0,259.0,249.0,305.0,MEDIUM,23.0,True,True,1,,,91.107,29.369,36.814,24.924
HAM,44,Mercedes,24,0 days 00:01:31.635000,1.0,,,0 days 00:00:29.344000,0 days 00:00:36.872000,0 days 00:00:25.419000,294.0,259.0,247.0,299.0,MEDIUM,24.0,True,True,1,,,91.635,29.344,36.872,25.419
HAM,44,Mercedes,25,0 days 00:01:34.988000,1.0,,,0 days 00:00:29.923000,0 days 00:00:38.568000,0 days 00:00:26.497000,295.0,253.0,237.0,298.0,MEDIUM,25.0,True,True,1,,,94.988,29.923,38.568,26.497
HAM,44,Mercedes,26,0 days 00:01:40.792000,1.0,,,0 days 00:00:30.114000,0 days 00:00:42.065000,0 days 00:00:28.613000,294.0,250.0,211.0,302.0,MEDIUM,26.0,True,True,1,,,100.792,30.114,42.065,28.613
HAM,44,Mercedes,27,0 days 00:01:45.183000,1.0,,0 days 01:40:20.422000,0 days 00:00:31.477000,0 days 00:00:45.498000,0 days 00:00:28.208000,297.0,242.0,,302.0,MEDIUM,27.0,True,False,1,,,105.183,31.477,45.498,28.208
HAM,44,Mercedes,28,0 days 00:02:00.866000,2.0,0 days 01:40:49.411000,,0 days 00:00:52.668000,0 days 00:00:40.319000,0 days 00:00:27.879000,295.0,249.0,218.0,292.0,INTERMEDIATE,1.0,True,False,1,,,120.866,52.668,40.319,27.879
HAM,44,Mercedes,29,0 days 00:01:40.420000,2.0,,,0 days 00:00:31.690000,0 days 00:00:40.569000,0 days 00:00:28.161000,291.0,243.0,222.0,299.0,INTERMEDIATE,2.0,True,True,1,,,100.42,31.69,40.569,28.161
HAM,44,Mercedes,30,0 days 00:01:40.467000,2.0,,,0 days 00:00:31.833000,0 days 00:00:40.400000,0 days 00:00:28.234000,294.0,240.0,227.0,298.0,INTERMEDIATE,3.0,True,True,1,,,100.467,31.833,40.4,28.234
