pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VET,Ferrari,5,47,103.41,103.385,100.867,1.092,0.0
2,HAM,Mercedes,44,47,103.633,103.597,101.357,1.012,0.223
3,VER,Red Bull Racing,33,47,103.658,103.638,101.909,1.119,0.248
4,RIC,Red Bull Racing,3,47,103.788,103.861,101.249,1.292,0.378
5,BOT,Mercedes,77,45,104.033,104.1,100.953,1.149,0.623
6,SAI,Renault,55,47,104.836,104.267,101.351,1.859,1.426
7,PER,Racing Point,11,47,105.18,104.795,102.816,1.439,1.77
8,LEC,Sauber,16,47,105.337,104.869,102.876,1.516,1.927
9,MAG,Haas F1 Team,20,46,106.046,105.52,102.822,1.66,2.636
10,ALO,McLaren,14,46,106.042,106.308,102.393,1.654,2.632
11,GAS,Toro Rosso,10,39,106.911,106.386,103.988,4.054,3.501
12,STR,Williams,18,46,106.524,106.402,104.033,1.311,3.114
13,OCO,Racing Point,31,37,106.775,106.545,103.591,4.573,3.365
14,GRO,Haas F1 Team,8,46,106.101,106.546,103.195,1.522,2.691
15,SIR,Williams,35,46,106.767,107.047,103.831,1.58,3.357
16,HAR,Toro Rosso,28,47,106.786,107.048,104.174,1.27,3.376
17,VAN,McLaren,2,46,106.461,107.114,103.249,1.622,3.051
18,ERI,Sauber,9,20,109.809,107.366,106.077,7.868,6.399
19,RAI,Ferrari,7,3,121.768,115.382,105.198,20.522,18.358
