Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
HAM,44,Mercedes,1.0,0 days 00:01:34.233000,94.233,,0 days 00:00:23.820000,0 days 00:00:35.564000,nan,,,,,1.0,False,
RAI,7,Ferrari,1.0,0 days 00:01:35.474000,95.474,,0 days 00:00:23.858000,0 days 00:00:36.343000,nan,,,,,2.0,False,
VET,5,Ferrari,1.0,0 days 00:01:36.194000,96.194,,0 days 00:00:24.142000,0 days 00:00:36.352000,nan,,,,,3.0,False,
MAG,20,Haas F1 Team,1.0,0 days 00:01:37.107000,97.107,,0 days 00:00:24.172000,0 days 00:00:36.683000,nan,,,,,4.0,False,
VER,33,Red Bull Racing,1.0,0 days 00:01:37.684000,97.684,,0 days 00:00:24.474000,0 days 00:00:36.592000,nan,,,,,5.0,False,
GRO,8,Haas F1 Team,1.0,0 days 00:01:38.450000,98.45,,0 days 00:00:24.627000,0 days 00:00:36.832000,nan,,,,,6.0,False,
HUL,27,Renault,1.0,0 days 00:01:39.077000,99.077,,0 days 00:00:24.679000,0 days 00:00:36.881000,nan,,,,,7.0,False,
RIC,3,Red Bull Racing,1.0,0 days 00:01:39.600000,99.6,,0 days 00:00:24.880000,0 days 00:00:36.745000,nan,,,,,8.0,False,
SAI,55,Renault,1.0,0 days 00:01:40.565000,100.565,,0 days 00:00:24.762000,0 days 00:00:37.444000,nan,,,,,9.0,False,
ALO,14,McLaren,1.0,0 days 00:01:41.528000,101.528,,0 days 00:00:24.692000,0 days 00:00:38.129000,nan,,,,,10.0,False,
VAN,2,McLaren,1.0,0 days 00:01:41.951000,101.951,,0 days 00:00:24.842000,0 days 00:00:38.046000,nan,,,,,11.0,False,
PER,11,Force India,1.0,0 days 00:01:42.341000,102.341,,0 days 00:00:24.934000,0 days 00:00:37.810000,nan,,,,,12.0,False,
OCO,31,Force India,1.0,0 days 00:01:42.906000,102.906,,0 days 00:00:25.175000,0 days 00:00:37.589000,nan,,,,,13.0,False,
STR,18,Williams,1.0,0 days 00:01:43.434000,103.434,,0 days 00:00:25.292000,0 days 00:00:38.288000,nan,,,,,14.0,False,
BOT,77,Mercedes,1.0,0 days 00:01:43.824000,103.824,,0 days 00:00:25.298000,0 days 00:00:38.132000,nan,,,,,15.0,False,
ERI,9,Sauber,1.0,0 days 00:01:44.674000,104.674,,0 days 00:00:25.152000,0 days 00:00:38.541000,nan,,,,,16.0,False,
GAS,10,Toro Rosso,1.0,0 days 00:01:45.060000,105.06,,0 days 00:00:25.495000,0 days 00:00:37.955000,nan,,,,,17.0,False,
LEC,16,Sauber,1.0,0 days 00:01:45.584000,105.584,,0 days 00:00:25.641000,0 days 00:00:37.954000,nan,,,,,18.0,False,
SIR,35,Williams,1.0,0 days 00:01:46.494000,106.494,,0 days 00:00:26.394000,0 days 00:00:38.117000,nan,,,,,19.0,False,
HAR,28,Toro Rosso,1.0,0 days 00:02:05.584000,125.584,,0 days 00:00:26.123000,0 days 00:00:58.018000,nan,,,,0 days 00:08:55.152000,20.0,False,
HAM,44,Mercedes,2.0,0 days 00:01:30.265000,90.265,0 days 00:00:30.261000,0 days 00:00:24.081000,0 days 00:00:35.923000,nan,,,,,1.0,True,
RAI,7,Ferrari,2.0,0 days 00:01:30.266000,90.266,0 days 00:00:29.958000,0 days 00:00:24.047000,0 days 00:00:36.261000,ULTRASOFT,4.0,1.0,,,2.0,True,
VET,5,Ferrari,2.0,0 days 00:01:30.562000,90.562,0 days 00:00:30.174000,0 days 00:00:23.995000,0 days 00:00:36.393000,ULTRASOFT,4.0,1.0,,,3.0,True,
MAG,20,Haas F1 Team,2.0,0 days 00:01:30.830000,90.83,0 days 00:00:30.350000,0 days 00:00:24.353000,0 days 00:00:36.127000,ULTRASOFT,4.0,1.0,,,4.0,True,
VER,33,Red Bull Racing,2.0,0 days 00:01:30.942000,90.942,0 days 00:00:30.368000,0 days 00:00:24.093000,0 days 00:00:36.481000,SUPERSOFT,4.0,1.0,,,5.0,True,
GRO,8,Haas F1 Team,2.0,0 days 00:01:31.033000,91.033,0 days 00:00:30.519000,0 days 00:00:24.231000,0 days 00:00:36.283000,ULTRASOFT,4.0,1.0,,,6.0,True,
HUL,27,Renault,2.0,0 days 00:01:31.310000,91.31,0 days 00:00:30.586000,0 days 00:00:24.299000,0 days 00:00:36.425000,ULTRASOFT,4.0,1.0,,,7.0,True,
RIC,3,Red Bull Racing,2.0,0 days 00:01:31.264000,91.264,0 days 00:00:30.571000,0 days 00:00:24.323000,0 days 00:00:36.370000,SUPERSOFT,4.0,1.0,,,8.0,True,
SAI,55,Renault,2.0,0 days 00:01:31.322000,91.322,0 days 00:00:30.437000,0 days 00:00:24.592000,0 days 00:00:36.293000,ULTRASOFT,4.0,1.0,,,9.0,True,
ALO,14,McLaren,2.0,0 days 00:01:31.565000,91.565,0 days 00:00:30.482000,0 days 00:00:24.593000,0 days 00:00:36.490000,ULTRASOFT,1.0,1.0,,,10.0,True,
VAN,2,McLaren,2.0,0 days 00:01:32.173000,92.173,0 days 00:00:31.130000,0 days 00:00:24.448000,0 days 00:00:36.595000,ULTRASOFT,1.0,1.0,,,11.0,True,
PER,11,Force India,2.0,0 days 00:01:32.896000,92.896,0 days 00:00:31.283000,0 days 00:00:24.566000,0 days 00:00:37.047000,ULTRASOFT,1.0,1.0,,,12.0,True,
OCO,31,Force India,2.0,0 days 00:01:32.955000,92.955,0 days 00:00:31.293000,0 days 00:00:24.552000,0 days 00:00:37.110000,ULTRASOFT,1.0,1.0,,,13.0,True,
STR,18,Williams,2.0,0 days 00:01:33.137000,93.137,0 days 00:00:31.289000,0 days 00:00:24.676000,0 days 00:00:37.172000,SUPERSOFT,1.0,1.0,,,14.0,True,
BOT,77,Mercedes,2.0,0 days 00:01:33.264000,93.264,0 days 00:00:31.344000,0 days 00:00:24.700000,0 days 00:00:37.220000,ULTRASOFT,4.0,1.0,,,15.0,True,
ERI,9,Sauber,2.0,0 days 00:01:33.177000,93.177,0 days 00:00:31.039000,0 days 00:00:24.734000,0 days 00:00:37.404000,SUPERSOFT,1.0,1.0,,,16.0,True,
GAS,10,Toro Rosso,2.0,0 days 00:01:33.372000,93.372,0 days 00:00:31.357000,0 days 00:00:24.825000,0 days 00:00:37.190000,ULTRASOFT,1.0,1.0,,,17.0,True,
LEC,16,Sauber,2.0,0 days 00:01:33.775000,93.775,0 days 00:00:31.554000,0 days 00:00:25.095000,0 days 00:00:37.126000,SUPERSOFT,1.0,1.0,,,18.0,True,
SIR,35,Williams,2.0,0 days 00:01:34.137000,94.137,0 days 00:00:31.407000,0 days 00:00:24.920000,0 days 00:00:37.810000,SUPERSOFT,1.0,1.0,,,19.0,True,
HAR,28,Toro Rosso,2.0,0 days 00:01:37.241000,97.241,0 days 00:00:36.075000,0 days 00:00:24.421000,0 days 00:00:36.745000,SOFT,1.0,1.0,0 days 00:09:17.019000,,20.0,False,
HAM,44,Mercedes,3.0,0 days 00:01:29.809000,89.809,0 days 00:00:30.055000,0 days 00:00:24.031000,0 days 00:00:35.723000,ULTRASOFT,4.0,1.0,,,1.0,True,
RAI,7,Ferrari,3.0,0 days 00:01:29.856000,89.856,0 days 00:00:30.015000,0 days 00:00:23.968000,0 days 00:00:35.873000,ULTRASOFT,5.0,1.0,,,2.0,True,
VET,5,Ferrari,3.0,0 days 00:01:30.177000,90.177,0 days 00:00:30.157000,0 days 00:00:23.966000,0 days 00:00:36.054000,ULTRASOFT,5.0,1.0,,,3.0,True,
MAG,20,Haas F1 Team,3.0,0 days 00:01:31.235000,91.235,0 days 00:00:30.430000,0 days 00:00:24.433000,0 days 00:00:36.372000,ULTRASOFT,5.0,1.0,,,4.0,False,
VER,33,Red Bull Racing,3.0,0 days 00:01:30.904000,90.904,0 days 00:00:30.261000,0 days 00:00:24.402000,0 days 00:00:36.241000,SUPERSOFT,5.0,1.0,,,5.0,True,
GRO,8,Haas F1 Team,3.0,0 days 00:01:31.150000,91.15,0 days 00:00:30.587000,0 days 00:00:24.346000,0 days 00:00:36.217000,ULTRASOFT,5.0,1.0,,,6.0,False,
HUL,27,Renault,3.0,0 days 00:01:31.081000,91.081,0 days 00:00:30.513000,0 days 00:00:24.360000,0 days 00:00:36.208000,ULTRASOFT,5.0,1.0,,,7.0,True,
RIC,3,Red Bull Racing,3.0,0 days 00:01:31.162000,91.162,0 days 00:00:30.582000,0 days 00:00:24.249000,0 days 00:00:36.331000,SUPERSOFT,5.0,1.0,,,8.0,True,
SAI,55,Renault,3.0,0 days 00:01:31.267000,91.267,0 days 00:00:30.587000,0 days 00:00:24.378000,0 days 00:00:36.302000,ULTRASOFT,5.0,1.0,,,9.0,True,
ALO,14,McLaren,3.0,0 days 00:01:31.304000,91.304,0 days 00:00:30.619000,0 days 00:00:24.376000,0 days 00:00:36.309000,ULTRASOFT,2.0,1.0,,,10.0,True,
VAN,2,McLaren,3.0,0 days 00:01:31.560000,91.56,0 days 00:00:30.526000,0 days 00:00:24.506000,0 days 00:00:36.528000,ULTRASOFT,2.0,1.0,,,11.0,True,
PER,11,Force India,3.0,0 days 00:01:32.004000,92.004,0 days 00:00:30.911000,0 days 00:00:24.442000,0 days 00:00:36.651000,ULTRASOFT,2.0,1.0,,,12.0,True,
OCO,31,Force India,3.0,0 days 00:01:32.581000,92.581,0 days 00:00:31.034000,0 days 00:00:24.662000,0 days 00:00:36.885000,ULTRASOFT,2.0,1.0,,,13.0,True,
STR,18,Williams,3.0,0 days 00:01:32.654000,92.654,0 days 00:00:31.087000,0 days 00:00:24.698000,0 days 00:00:36.869000,SUPERSOFT,2.0,1.0,,,14.0,True,
BOT,77,Mercedes,3.0,0 days 00:01:32.580000,92.58,0 days 00:00:31.142000,0 days 00:00:24.674000,0 days 00:00:36.764000,ULTRASOFT,5.0,1.0,,,15.0,True,
ERI,9,Sauber,3.0,0 days 00:01:32.746000,92.746,0 days 00:00:31.083000,0 days 00:00:24.646000,0 days 00:00:37.017000,SUPERSOFT,2.0,1.0,,,16.0,True,
GAS,10,Toro Rosso,3.0,0 days 00:01:32.861000,92.861,0 days 00:00:31.160000,0 days 00:00:24.725000,0 days 00:00:36.976000,ULTRASOFT,2.0,1.0,,,17.0,True,
