stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,HAM,Mercedes,SUPERSOFT,3.0,54.0,62.0,9,67.872,67.996,67.241
2,VET,Ferrari,SOFT,2.0,17.0,71.0,55,68.157,68.273,67.082
3,RAI,Ferrari,SOFT,2.0,17.0,71.0,54,68.203,68.361,66.957
4,VER,Red Bull Racing,SOFT,2.0,17.0,71.0,55,68.285,68.371,67.442
5,RIC,Red Bull Racing,SUPERSOFT,3.0,40.0,53.0,14,68.358,68.459,67.591
6,HAM,Mercedes,SOFT,2.0,27.0,51.0,25,68.616,68.496,67.923
7,RIC,Red Bull Racing,SOFT,2.0,17.0,37.0,21,68.637,68.676,68.201
8,HAM,Mercedes,SUPERSOFT,1.0,3.0,24.0,20,69.04,69.012,68.343
9,HAM,Mercedes,nan,,2.0,2.0,1,69.252,69.252,69.252
10,MAG,Haas F1 Team,SOFT,2.0,30.0,70.0,41,69.312,69.36,68.476
11,PER,Force India,SOFT,2.0,29.0,69.0,41,69.316,69.291,68.504
12,VER,Red Bull Racing,SUPERSOFT,1.0,4.0,14.0,10,69.418,69.36,69.133
13,ERI,Sauber,SUPERSOFT,2.0,47.0,70.0,24,69.424,69.125,68.216
14,BOT,Mercedes,SUPERSOFT,1.0,2.0,13.0,12,69.454,69.405,69.044
15,SIR,Williams,ULTRASOFT,3.0,62.0,69.0,8,69.489,69.156,68.971
16,VAN,McLaren,SOFT,2.0,42.0,64.0,23,69.56,69.443,68.894
17,GRO,Haas F1 Team,SOFT,2.0,17.0,70.0,53,69.564,69.522,69.071
18,VET,Ferrari,ULTRASOFT,1.0,4.0,14.0,10,69.568,69.52,69.232
19,SAI,Renault,SUPERSOFT,3.0,36.0,70.0,35,69.616,69.495,68.766
20,RAI,Ferrari,ULTRASOFT,1.0,3.0,14.0,11,69.631,69.837,68.954
21,RIC,Red Bull Racing,SUPERSOFT,1.0,4.0,14.0,11,69.636,69.683,69.135
22,ALO,McLaren,SOFT,2.0,17.0,70.0,54,69.682,69.583,68.661
23,OCO,Force India,SOFT,2.0,17.0,70.0,53,69.709,69.759,68.85
24,STR,Williams,SUPERSOFT,3.0,67.0,69.0,3,69.736,69.229,69.203
25,LEC,Sauber,SOFT,2.0,17.0,70.0,53,69.784,69.63,69.006
26,GAS,Toro Rosso,SOFT,2.0,17.0,70.0,53,69.964,69.872,69.295
27,SAI,Renault,SOFT,2.0,17.0,33.0,16,70.06,69.812,69.189
28,MAG,Haas F1 Team,ULTRASOFT,1.0,3.0,27.0,23,70.111,70.072,69.274
29,GRO,Haas F1 Team,ULTRASOFT,1.0,4.0,14.0,11,70.187,70.214,69.937
30,SIR,Williams,SOFT,2.0,26.0,59.0,34,70.24,70.044,69.102
31,STR,Williams,SOFT,2.0,17.0,64.0,46,70.369,70.248,69.549
32,PER,Force India,SUPERSOFT,1.0,2.0,26.0,23,70.394,70.341,69.4
33,ERI,Sauber,SOFT,1.0,3.0,44.0,40,70.461,70.398,69.17
34,OCO,Force India,SUPERSOFT,1.0,4.0,14.0,11,70.647,70.593,70.376
35,SAI,Renault,ULTRASOFT,1.0,3.0,14.0,11,70.706,70.63,70.216
36,HAR,Toro Rosso,SUPERSOFT,1.0,2.0,53.0,51,70.726,70.314,69.171
37,LEC,Sauber,SUPERSOFT,1.0,3.0,13.0,11,71.076,71.132,70.439
38,STR,Williams,ULTRASOFT,1.0,3.0,14.0,12,71.089,70.984,70.763
39,SIR,Williams,SUPERSOFT,1.0,2.0,23.0,19,71.166,71.057,70.136
40,VAN,McLaren,SOFT,1.0,3.0,39.0,34,71.197,70.774,69.82
41,HUL,Renault,ULTRASOFT,1.0,2.0,11.0,10,71.2,70.718,70.38
42,GAS,Toro Rosso,SUPERSOFT,1.0,3.0,13.0,11,71.423,71.29,70.827
43,ALO,McLaren,SUPERSOFT,1.0,3.0,13.0,9,71.454,71.255,71.086
