Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
VET,5,Ferrari,1.0,0 days 00:02:29.572000,149.572,,0 days 00:01:09.227000,0 days 00:00:46.208000,nan,,,,0 days 00:21:00.165000,1.0,False,124
HAM,44,Mercedes,1.0,0 days 00:02:31.397000,151.397,,0 days 00:01:11.064000,0 days 00:00:46.124000,nan,,,,0 days 00:21:01.945000,2.0,False,124
PER,11,Racing Point,1.0,0 days 00:02:32.527000,152.527,,0 days 00:01:13.003000,0 days 00:00:45.275000,nan,,,,0 days 00:21:02.944000,3.0,False,124
OCO,31,Racing Point,1.0,0 days 00:02:33.245000,153.245,,0 days 00:01:13.719000,0 days 00:00:45.366000,nan,,,,0 days 00:21:03.850000,4.0,False,124
VER,33,Red Bull Racing,1.0,0 days 00:02:34.928000,154.928,,0 days 00:01:14.197000,0 days 00:00:46.029000,nan,,,,0 days 00:21:05.134000,5.0,False,124
GRO,8,Haas F1 Team,1.0,0 days 00:02:36.224000,156.224,,0 days 00:01:15.900000,0 days 00:00:45.619000,nan,,,,0 days 00:21:06.226000,6.0,False,124
MAG,20,Haas F1 Team,1.0,0 days 00:02:37.550000,157.55,,0 days 00:01:16.912000,0 days 00:00:45.534000,nan,,,,0 days 00:21:07.835000,7.0,False,124
GAS,10,Toro Rosso,1.0,0 days 00:02:39.935000,159.935,,0 days 00:01:17.731000,0 days 00:00:46.429000,nan,,,,0 days 00:21:09.867000,8.0,False,124
ERI,9,Sauber,1.0,0 days 00:02:41.049000,161.049,,0 days 00:01:18.846000,0 days 00:00:45.940000,nan,,,,0 days 00:21:11.617000,9.0,False,124
SIR,35,Williams,1.0,0 days 00:02:42.542000,162.542,,0 days 00:01:19.198000,0 days 00:00:46.665000,nan,,,,0 days 00:21:12.992000,10.0,False,124
STR,18,Williams,1.0,0 days 00:02:43.592000,163.592,,0 days 00:01:19.392000,0 days 00:00:47.090000,nan,,,,0 days 00:21:14.008000,11.0,False,124
RIC,3,Red Bull Racing,1.0,0 days 00:02:44.752000,164.752,,0 days 00:01:20.784000,0 days 00:00:46.815000,nan,,,,0 days 00:21:15.463000,12.0,False,124
HAR,28,Toro Rosso,1.0,0 days 00:02:47.144000,167.144,,0 days 00:01:21.887000,0 days 00:00:47.932000,nan,,,,0 days 00:21:17.227000,13.0,False,124
