Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
ALO,McLaren,15,16.0,SOFT,MEDIUM
SIR,Williams,16,17.0,SOFT,MEDIUM
STR,Williams,17,18.0,SOFT,MEDIUM
BOT,Mercedes,18,19.0,SUPERSOFT,MEDIUM
ERI,Sauber,18,19.0,SUPERSOFT,MEDIUM
HAM,Mercedes,19,20.0,SUPERSOFT,MEDIUM
ERI,Sauber,20,,MEDIUM,
GAS,Toro Rosso,22,23.0,SUPERSOFT,MEDIUM
SAI,Renault,25,26.0,SOFT,MEDIUM
VET,Ferrari,27,28.0,SOFT,MEDIUM
VAN,McLaren,28,29.0,SOFT,MEDIUM
RAI,Ferrari,31,32.0,SOFT,MEDIUM
GRO,Haas F1 Team,32,33.0,SUPERSOFT,MEDIUM
HUL,Renault,32,,SOFT,
LEC,Sauber,35,36.0,SUPERSOFT,MEDIUM
VER,Red Bull Racing,35,36.0,SUPERSOFT,SOFT
PER,Racing Point,39,40.0,SUPERSOFT,SOFT
RIC,Red Bull Racing,39,40.0,SUPERSOFT,SOFT
OCO,Racing Point,40,41.0,SOFT,SUPERSOFT
MAG,Haas F1 Team,41,42.0,SOFT,SUPERSOFT
SAI,Renault,48,49.0,MEDIUM,SUPERSOFT
HAR,Toro Rosso,49,50.0,MEDIUM,SUPERSOFT
VET,Ferrari,53,54.0,MEDIUM,SUPERSOFT
ALO,McLaren,54,55.0,MEDIUM,SUPERSOFT
OCO,Racing Point,57,58.0,SUPERSOFT,SUPERSOFT
BOT,Mercedes,59,60.0,MEDIUM,SOFT
STR,Williams,65,66.0,MEDIUM,SUPERSOFT
