stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,VET,Ferrari,SUPERSOFT,2.0,39.0,70.0,32,74.694,74.608,73.964
2,BOT,Mercedes,SUPERSOFT,2.0,38.0,70.0,33,74.702,74.677,73.992
3,VER,Red Bull Racing,SUPERSOFT,2.0,18.0,70.0,53,74.922,74.817,73.864
4,RAI,Ferrari,SUPERSOFT,2.0,34.0,70.0,37,75.009,75.026,74.075
5,RIC,Red Bull Racing,SUPERSOFT,2.0,19.0,70.0,52,75.097,75.08,73.835
6,HAM,Mercedes,SUPERSOFT,2.0,18.0,70.0,53,75.164,75.058,74.183
7,VET,Ferrari,ULTRASOFT,1.0,5.0,36.0,32,75.602,75.504,75.059
8,PER,Force India,SUPERSOFT,3.0,46.0,69.0,24,75.701,75.632,75.1
9,BOT,Mercedes,ULTRASOFT,1.0,5.0,35.0,31,75.788,75.65,75.258
10,GRO,Haas F1 Team,SUPERSOFT,2.0,50.0,69.0,20,76.064,75.829,75.47
11,RAI,Ferrari,ULTRASOFT,1.0,5.0,31.0,27,76.213,76.051,75.408
12,VAN,McLaren,HYPERSOFT,2.0,50.0,68.0,19,76.33,76.086,75.765
13,HUL,Renault,SUPERSOFT,2.0,15.0,69.0,55,76.535,76.506,75.488
14,LEC,Sauber,SUPERSOFT,2.0,21.0,69.0,49,76.547,76.464,75.351
15,VER,Red Bull Racing,HYPERSOFT,1.0,5.0,15.0,11,76.557,76.452,76.054
16,SAI,Renault,SUPERSOFT,2.0,16.0,69.0,54,76.577,76.644,75.666
17,GAS,Toro Rosso,SUPERSOFT,2.0,25.0,69.0,45,76.581,76.519,75.699
18,OCO,Force India,SUPERSOFT,2.0,13.0,69.0,57,76.603,76.526,75.498
19,MAG,Haas F1 Team,SUPERSOFT,2.0,24.0,69.0,46,76.616,76.648,75.401
20,RIC,Red Bull Racing,HYPERSOFT,1.0,5.0,16.0,12,76.664,76.419,75.807
21,HAM,Mercedes,ULTRASOFT,1.0,5.0,15.0,11,76.709,76.556,76.226
22,ALO,McLaren,SUPERSOFT,2.0,20.0,40.0,21,76.717,76.496,76.18
23,PER,Force India,SUPERSOFT,2.0,11.0,43.0,33,77.042,76.778,76.243
24,GRO,Haas F1 Team,ULTRASOFT,1.0,5.0,47.0,43,77.288,77.092,76.305
25,HUL,Renault,HYPERSOFT,1.0,5.0,12.0,8,77.362,76.959,75.914
26,SAI,Renault,HYPERSOFT,1.0,5.0,13.0,9,77.405,77.03,76.6
27,SIR,Williams,ULTRASOFT,2.0,28.0,68.0,41,77.457,76.952,75.924
28,OCO,Force India,HYPERSOFT,1.0,5.0,10.0,6,77.686,77.164,76.86
29,ERI,Sauber,SUPERSOFT,1.0,7.0,68.0,62,77.744,77.711,76.403
30,GAS,Toro Rosso,HYPERSOFT,1.0,5.0,22.0,18,77.744,77.438,76.911
31,LEC,Sauber,ULTRASOFT,1.0,5.0,18.0,14,77.905,77.8,77.094
32,MAG,Haas F1 Team,ULTRASOFT,1.0,5.0,21.0,17,78.009,77.74,77.046
33,VAN,McLaren,SUPERSOFT,1.0,7.0,47.0,41,78.014,78.062,76.715
34,SIR,Williams,SUPERSOFT,1.0,5.0,25.0,21,78.894,78.463,77.806
35,PER,Force India,HYPERSOFT,1.0,5.0,8.0,4,79.536,78.524,77.419
36,ALO,McLaren,ULTRASOFT,1.0,3.0,17.0,15,83.346,77.901,77.105
