Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
HAR,Toro Rosso,10,11.0,ULTRASOFT,ULTRASOFT
OCO,Force India,11,12.0,SOFT,SOFT
PER,Force India,12,13.0,ULTRASOFT,ULTRASOFT
SAI,Renault,12,13.0,ULTRASOFT,ULTRASOFT
HUL,Renault,13,14.0,ULTRASOFT,ULTRASOFT
GRO,Haas F1 Team,16,17.0,ULTRASOFT,ULTRASOFT
RIC,Red Bull Racing,17,18.0,ULTRASOFT,ULTRASOFT
VER,Red Bull Racing,17,18.0,ULTRASOFT,ULTRASOFT
HAM,Mercedes,18,19.0,SOFT,SOFT
BOT,Mercedes,19,20.0,SOFT,SOFT
GAS,Toro Rosso,20,21.0,MEDIUM,MEDIUM
VET,Ferrari,20,21.0,SOFT,SOFT
LEC,Sauber,21,22.0,SOFT,SOFT
VAN,McLaren,22,23.0,SOFT,SOFT
STR,Williams,23,24.0,SOFT,SOFT
MAG,Haas F1 Team,24,25.0,SOFT,SOFT
RAI,Ferrari,27,28.0,SOFT,SOFT
SIR,Williams,28,29.0,SOFT,SOFT
ALO,McLaren,29,30.0,SOFT,SOFT
ERI,Sauber,29,30.0,SOFT,SOFT
HAR,Toro Rosso,30,33.0,ULTRASOFT,ULTRASOFT
GAS,Toro Rosso,31,33.0,MEDIUM,MEDIUM
HUL,Renault,31,33.0,ULTRASOFT,ULTRASOFT
OCO,Force India,31,32.0,SOFT,SOFT
RIC,Red Bull Racing,31,34.0,ULTRASOFT,ULTRASOFT
SAI,Renault,31,33.0,ULTRASOFT,ULTRASOFT
VER,Red Bull Racing,31,34.0,ULTRASOFT,ULTRASOFT
PER,Force India,32,33.0,ULTRASOFT,ULTRASOFT
SIR,Williams,33,34.0,SOFT,SOFT
GRO,Haas F1 Team,46,47.0,ULTRASOFT,ULTRASOFT
HAR,Toro Rosso,51,,SOFT,
