stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,RIC,Red Bull Racing,SOFT,2.0,48.0,56.0,9,96.681,96.741,95.785
2,VER,Red Bull Racing,SOFT,2.0,47.0,56.0,10,96.718,96.697,96.206
3,RAI,Ferrari,MEDIUM,2.0,48.0,56.0,9,97.034,97.144,96.456
4,BOT,Mercedes,MEDIUM,2.0,48.0,56.0,9,97.202,97.228,96.987
5,HUL,Renault,SOFT,2.0,47.0,56.0,10,97.32,97.398,96.881
6,HAM,Mercedes,MEDIUM,2.0,47.0,56.0,10,97.473,97.254,96.978
7,ALO,McLaren,MEDIUM,2.0,48.0,56.0,9,97.605,97.451,97.234
8,GRO,Haas F1 Team,ULTRASOFT,2.0,48.0,56.0,9,97.827,97.811,97.41
9,SAI,Renault,SOFT,2.0,47.0,56.0,10,98.069,97.89,97.754
10,RIC,Red Bull Racing,ULTRASOFT,1.0,2.0,47.0,39,98.261,98.045,95.983
11,BOT,Mercedes,SOFT,1.0,2.0,47.0,40,98.379,98.572,97.011
12,VER,Red Bull Racing,ULTRASOFT,1.0,2.0,46.0,37,98.388,98.386,96.671
13,OCO,Force India,ULTRASOFT,2.0,47.0,56.0,10,98.427,98.25,97.985
14,PER,Force India,SOFT,2.0,47.0,56.0,10,98.428,98.108,97.673
15,VAN,McLaren,MEDIUM,2.0,47.0,56.0,10,98.504,98.441,98.137
16,VET,Ferrari,MEDIUM,2.0,47.0,56.0,10,98.53,98.227,97.841
17,HAM,Mercedes,SOFT,1.0,2.0,46.0,38,98.576,98.786,96.878
18,VET,Ferrari,SOFT,1.0,3.0,46.0,37,98.577,98.62,97.479
19,MAG,Haas F1 Team,MEDIUM,2.0,47.0,56.0,10,98.663,98.475,98.152
20,ERI,Sauber,MEDIUM,2.0,47.0,56.0,10,98.681,98.635,98.386
21,STR,Williams,MEDIUM,2.0,47.0,56.0,10,98.798,98.779,98.5
22,GAS,Toro Rosso,ULTRASOFT,2.0,47.0,56.0,10,98.824,98.791,98.367
23,SIR,Williams,SOFT,2.0,47.0,56.0,10,98.83,98.747,98.624
24,RAI,Ferrari,SOFT,1.0,2.0,47.0,40,98.999,99.228,96.673
25,VET,Ferrari,nan,,1.0,2.0,2,99.372,99.372,98.417
26,HUL,Renault,ULTRASOFT,1.0,2.0,46.0,38,99.468,99.578,97.729
27,SAI,Renault,ULTRASOFT,1.0,2.0,46.0,38,99.789,99.775,98.161
28,HAR,Toro Rosso,SOFT,2.0,47.0,50.0,4,100.005,99.93,99.376
29,OCO,Force India,SOFT,1.0,2.0,46.0,38,100.023,99.933,98.035
30,LEC,Sauber,MEDIUM,2.0,47.0,56.0,10,100.023,99.953,99.628
31,PER,Force India,ULTRASOFT,1.0,2.0,46.0,38,100.087,99.975,97.882
32,GAS,Toro Rosso,MEDIUM,1.0,3.0,46.0,39,100.681,101.178,98.521
33,HAR,Toro Rosso,ULTRASOFT,1.0,2.0,46.0,38,100.754,100.426,99.806
34,MAG,Haas F1 Team,SOFT,1.0,2.0,46.0,40,100.85,100.01,98.198
35,SIR,Williams,SOFT,1.0,2.0,46.0,38,100.949,101.074,99.005
36,ALO,McLaren,SOFT,1.0,2.0,47.0,41,101.008,100.249,97.961
37,ERI,Sauber,SOFT,1.0,3.0,46.0,39,101.049,101.25,98.691
38,LEC,Sauber,SOFT,1.0,2.0,46.0,39,101.126,101.28,98.808
39,GRO,Haas F1 Team,ULTRASOFT,1.0,2.0,45.0,39,101.161,100.095,98.699
40,VAN,McLaren,SOFT,1.0,2.0,46.0,40,101.406,100.66,98.61
41,STR,Williams,SOFT,1.0,2.0,46.0,40,101.589,100.828,98.925
42,VER,Red Bull Racing,nan,,1.0,1.0,1,102.561,102.561,102.561
43,RAI,Ferrari,nan,,1.0,1.0,1,103.61,103.61,103.61
44,HAM,Mercedes,nan,,1.0,1.0,1,104.362,104.362,104.362
45,HUL,Renault,nan,,1.0,1.0,1,105.727,105.727,105.727
46,SAI,Renault,nan,,1.0,1.0,1,106.138,106.138,106.138
47,GRO,Haas F1 Team,nan,,1.0,1.0,1,106.682,106.682,106.682
48,MAG,Haas F1 Team,nan,,1.0,1.0,1,107.34,107.34,107.34
49,ALO,McLaren,nan,,1.0,1.0,1,108.139,108.139,108.139
50,STR,Williams,nan,,1.0,1.0,1,108.995,108.995,108.995
51,OCO,Force India,nan,,1.0,1.0,1,109.72,109.72,109.72
52,PER,Force India,nan,,1.0,1.0,1,110.081,110.081,110.081
53,SIR,Williams,nan,,1.0,1.0,1,110.776,110.776,110.776
54,VAN,McLaren,nan,,1.0,1.0,1,111.03,111.03,111.03
