Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
ALO,McLaren,1,2,nan,SOFT
BOT,Mercedes,1,2,nan,SOFT
SIR,Williams,1,2,nan,ULTRASOFT
STR,Williams,1,2,nan,SOFT
VET,Ferrari,1,2,nan,SOFT
VER,Red Bull Racing,25,26,SUPERSOFT,SOFT
SAI,Renault,26,27,ULTRASOFT,SOFT
MAG,Haas F1 Team,28,29,ULTRASOFT,SOFT
RIC,Red Bull Racing,28,29,SUPERSOFT,SOFT
LEC,Sauber,31,32,ULTRASOFT,SUPERSOFT
HAM,Mercedes,33,34,SUPERSOFT,SOFT
GRO,Haas F1 Team,34,35,ULTRASOFT,SUPERSOFT
RAI,Ferrari,34,35,ULTRASOFT,SUPERSOFT
ERI,Sauber,35,36,SUPERSOFT,ULTRASOFT
HUL,Renault,37,38,SOFT,ULTRASOFT
HAR,Toro Rosso,38,39,ULTRASOFT,SUPERSOFT
BOT,Mercedes,39,40,SOFT,SUPERSOFT
VAN,McLaren,40,41,SUPERSOFT,ULTRASOFT
VET,Ferrari,40,41,SOFT,ULTRASOFT
ALO,McLaren,46,47,SOFT,ULTRASOFT
