Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
VET,5,Ferrari,1.0,0 days 00:01:20.821000,80.821,,0 days 00:00:36.398000,0 days 00:00:23.913000,nan,,,,,1.0,False,
BOT,77,Mercedes,1.0,0 days 00:01:21.972000,81.972,,0 days 00:00:36.658000,0 days 00:00:24.074000,nan,,,,,2.0,False,
RAI,7,Ferrari,1.0,0 days 00:01:23.317000,83.317,,0 days 00:00:37.309000,0 days 00:00:24.243000,nan,,,,,3.0,False,
VER,33,Red Bull Racing,1.0,0 days 00:01:24.084000,84.084,,0 days 00:00:37.250000,0 days 00:00:24.607000,nan,,,,,4.0,False,
MAG,20,Haas F1 Team,1.0,0 days 00:01:25.505000,85.505,,0 days 00:00:37.396000,0 days 00:00:25.182000,nan,,,,,5.0,False,
HUL,27,Renault,1.0,0 days 00:01:26.342000,86.342,,0 days 00:00:37.739000,0 days 00:00:25.252000,nan,,,,,6.0,False,
GRO,8,Haas F1 Team,1.0,0 days 00:01:26.939000,86.939,,0 days 00:00:37.873000,0 days 00:00:25.371000,nan,,,,,7.0,False,
PER,11,Force India,1.0,0 days 00:01:27.480000,87.48,,0 days 00:00:37.955000,0 days 00:00:25.341000,nan,,,,,8.0,False,
SAI,55,Renault,1.0,0 days 00:01:28.232000,88.232,,0 days 00:00:38.920000,0 days 00:00:25.498000,nan,,,,,9.0,False,
LEC,16,Sauber,1.0,0 days 00:01:28.866000,88.866,,0 days 00:00:39.014000,0 days 00:00:25.904000,nan,,,,,10.0,False,
ALO,14,McLaren,1.0,0 days 00:01:29.421000,89.421,,0 days 00:00:38.749000,0 days 00:00:26.346000,nan,,,,,11.0,False,
OCO,31,Force India,1.0,0 days 00:01:29.935000,89.935,,0 days 00:00:38.722000,0 days 00:00:26.116000,nan,,,,,12.0,False,
HAM,44,Mercedes,1.0,0 days 00:01:30.059000,90.059,,0 days 00:00:38.607000,0 days 00:00:25.958000,nan,,,,,13.0,False,
