pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VET,Ferrari,5,46,84.242,84.37,82.505,1.133,0.0
2,VER,Red Bull Racing,33,48,84.57,84.376,83.609,0.699,0.328
3,HAM,Mercedes,44,48,84.362,84.452,82.497,0.693,0.12
4,RAI,Ferrari,7,48,84.535,84.56,83.515,0.667,0.293
5,BOT,Mercedes,77,48,84.612,84.672,82.907,1.014,0.37
6,GRO,Haas F1 Team,8,48,85.378,85.305,84.243,0.688,1.136
7,OCO,Racing Point,31,48,85.436,85.471,84.179,0.825,1.194
8,PER,Racing Point,11,48,85.352,85.498,83.529,1.032,1.11
9,RIC,Red Bull Racing,3,20,86.176,85.764,85.229,0.994,1.934
10,SAI,Renault,55,48,85.821,85.982,84.056,0.829,1.579
11,VAN,McLaren,2,47,86.301,86.105,84.772,1.051,2.059
12,SIR,Williams,35,47,86.094,86.212,83.768,0.896,1.852
13,STR,Williams,18,47,85.973,86.278,84.58,0.859,1.731
14,GAS,Toro Rosso,10,47,86.417,86.417,84.767,1.015,2.175
15,LEC,Sauber,16,47,86.111,86.472,84.504,1.152,1.869
16,HUL,Renault,27,45,86.247,86.504,84.059,0.942,2.005
17,ERI,Sauber,9,45,86.226,86.546,83.768,1.077,1.984
18,MAG,Haas F1 Team,20,47,87.215,87.028,85.692,1.053,2.973
19,ALO,McLaren,14,7,97.135,88.291,87.009,16.055,12.893
