stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,VET,Ferrari,SUPERSOFT,2.0,31.0,53.0,23,83.229,83.199,82.505
2,BOT,Mercedes,SOFT,2.0,38.0,53.0,16,83.803,83.581,82.907
3,VER,Red Bull Racing,SOFT,2.0,28.0,53.0,26,84.003,83.956,83.609
4,PER,Racing Point,SOFT,2.0,41.0,53.0,13,84.075,83.946,83.529
5,HAM,Mercedes,SOFT,2.0,30.0,53.0,24,84.077,84.178,82.497
6,ERI,Sauber,SUPERSOFT,2.0,44.0,52.0,9,84.204,84.276,83.768
7,RAI,Ferrari,SOFT,2.0,22.0,53.0,32,84.425,84.238,83.515
8,OCO,Racing Point,SOFT,2.0,40.0,53.0,14,84.432,84.427,84.179
9,SAI,Renault,SOFT,2.0,41.0,53.0,13,84.637,84.612,84.056
10,HAM,Mercedes,SUPERSOFT,1.0,4.0,27.0,24,84.646,84.692,83.611
11,LEC,Sauber,SUPERSOFT,2.0,36.0,52.0,17,84.744,84.757,84.504
12,RAI,Ferrari,SUPERSOFT,1.0,4.0,19.0,16,84.755,84.714,84.5
13,HUL,Renault,SUPERSOFT,2.0,43.0,52.0,10,84.768,84.468,84.059
14,GRO,Haas F1 Team,SOFT,2.0,25.0,53.0,29,84.943,84.902,84.243
15,STR,Williams,SOFT,2.0,37.0,52.0,16,85.008,84.946,84.58
16,BOT,Mercedes,SUPERSOFT,1.0,4.0,35.0,32,85.017,85.073,83.847
17,SIR,Williams,SOFT,2.0,39.0,52.0,14,85.08,84.845,83.768
18,VER,Red Bull Racing,SUPERSOFT,1.0,4.0,25.0,22,85.24,85.14,84.904
19,VET,Ferrari,SOFT,1.0,4.0,28.0,23,85.255,85.108,84.47
20,GAS,Toro Rosso,SOFT,2.0,36.0,52.0,17,85.461,85.278,84.767
21,VAN,McLaren,SOFT,2.0,26.0,52.0,27,85.672,85.437,84.772
22,PER,Racing Point,SUPERSOFT,1.0,4.0,38.0,35,85.826,85.642,84.875
23,OCO,Racing Point,SUPERSOFT,1.0,4.0,37.0,34,85.85,85.742,85.125
24,GRO,Haas F1 Team,SUPERSOFT,1.0,4.0,22.0,19,86.041,85.976,85.604
25,RIC,Red Bull Racing,SUPERSOFT,1.0,4.0,23.0,20,86.176,85.764,85.229
26,SAI,Renault,SUPERSOFT,1.0,4.0,38.0,35,86.261,86.238,85.612
27,STR,Williams,SUPERSOFT,1.0,4.0,34.0,31,86.472,86.43,85.713
28,SIR,Williams,SUPERSOFT,1.0,4.0,36.0,33,86.524,86.342,85.803
29,HUL,Renault,SOFT,1.0,4.0,39.0,35,86.669,86.597,86.147
30,ERI,Sauber,SUPERSOFT,1.0,4.0,40.0,36,86.731,86.738,86.143
31,LEC,Sauber,SOFT,1.0,4.0,33.0,30,86.886,86.77,86.215
32,GAS,Toro Rosso,SUPERSOFT,1.0,4.0,33.0,30,86.959,86.742,85.976
33,VAN,McLaren,SUPERSOFT,1.0,4.0,23.0,20,87.149,86.989,86.586
34,MAG,Haas F1 Team,MEDIUM,2.0,6.0,52.0,47,87.215,87.028,85.692
35,ALO,McLaren,SUPERSOFT,1.0,3.0,8.0,6,93.413,87.912,87.009
36,ALO,McLaren,nan,,1.0,1.0,1,119.468,119.468,119.468
