stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,HAM,Mercedes,nan,,1.0,2.0,2,94.499,94.499,94.467
2,STR,Williams,SUPERSOFT,3.0,41.0,52.0,12,94.516,94.542,93.354
3,VER,Red Bull Racing,SOFT,2.0,23.0,53.0,31,94.669,93.95,93.367
4,LEC,Sauber,SOFT,3.0,37.0,38.0,2,94.752,94.752,94.515
5,HAM,Mercedes,MEDIUM,2.0,26.0,53.0,28,94.775,94.254,92.785
6,RIC,Red Bull Racing,MEDIUM,2.0,25.0,53.0,29,94.835,94.144,93.187
7,SIR,Williams,SUPERSOFT,3.0,41.0,52.0,12,94.954,94.807,93.985
8,BOT,Mercedes,MEDIUM,2.0,25.0,53.0,29,95.017,94.443,93.11
9,VET,Ferrari,SOFT,2.0,28.0,53.0,26,95.248,94.552,92.318
10,RAI,Ferrari,MEDIUM,2.0,19.0,53.0,35,95.757,94.991,94.223
11,PER,Racing Point,SOFT,2.0,26.0,53.0,28,95.803,95.17,94.073
12,HUL,Renault,SOFT,2.0,32.0,36.0,5,95.842,95.337,94.934
13,BOT,Mercedes,nan,,1.0,1.0,1,95.872,95.872,95.872
14,OCO,Racing Point,MEDIUM,2.0,28.0,53.0,26,95.972,95.08,94.67
15,GRO,Haas F1 Team,MEDIUM,2.0,31.0,53.0,23,96.098,95.115,94.786
16,SAI,Renault,MEDIUM,2.0,34.0,52.0,19,96.324,95.091,94.197
17,HAM,Mercedes,SOFT,1.0,3.0,23.0,18,96.686,94.77,94.013
18,GAS,Toro Rosso,SOFT,2.0,31.0,52.0,22,97.075,96.179,94.133
19,BOT,Mercedes,SOFT,1.0,2.0,22.0,18,97.167,95.203,94.32
20,VAN,McLaren,MEDIUM,2.0,25.0,52.0,28,97.256,96.255,95.023
21,STR,Williams,MEDIUM,2.0,16.0,38.0,23,97.264,97.034,95.82
22,ALO,McLaren,MEDIUM,2.0,28.0,52.0,25,97.426,97.159,93.943
23,HAR,Toro Rosso,SOFT,2.0,30.0,52.0,23,97.7,97.196,94.857
24,VER,Red Bull Racing,SUPERSOFT,1.0,2.0,20.0,16,97.723,95.348,95.093
25,ERI,Sauber,MEDIUM,2.0,8.0,52.0,44,97.725,97.505,96.294
26,RIC,Red Bull Racing,SOFT,1.0,2.0,22.0,18,97.825,95.426,94.448
27,LEC,Sauber,MEDIUM,2.0,8.0,34.0,27,97.847,97.711,96.44
28,SIR,Williams,MEDIUM,2.0,8.0,37.0,30,98.133,97.679,97.178
29,VER,Red Bull Racing,nan,,1.0,1.0,1,98.437,98.437,98.437
30,GRO,Haas F1 Team,SOFT,1.0,2.0,28.0,24,98.506,96.956,96.333
31,SAI,Renault,SOFT,1.0,2.0,31.0,27,98.829,97.395,96.335
32,GAS,Toro Rosso,SUPERSOFT,1.0,2.0,28.0,24,98.836,97.357,96.843
33,ERI,Sauber,SOFT,1.0,2.0,3.0,2,98.977,98.977,98.659
34,VET,Ferrari,nan,,1.0,1.0,1,98.979,98.979,98.979
35,LEC,Sauber,SOFT,1.0,2.0,3.0,2,98.986,98.986,98.366
36,RAI,Ferrari,SUPERSOFT,1.0,2.0,16.0,12,99.002,96.178,95.475
37,OCO,Racing Point,SUPERSOFT,1.0,2.0,25.0,21,99.057,97.402,96.574
38,VET,Ferrari,SUPERSOFT,1.0,2.0,25.0,21,99.162,96.859,95.284
39,PER,Racing Point,SUPERSOFT,1.0,2.0,23.0,19,99.203,97.462,96.48
40,HAR,Toro Rosso,SUPERSOFT,1.0,2.0,27.0,23,99.462,97.555,97.131
41,RAI,Ferrari,nan,,1.0,1.0,1,99.547,99.547,99.547
42,ALO,McLaren,SOFT,1.0,2.0,25.0,21,99.697,97.882,97.293
43,GRO,Haas F1 Team,nan,,1.0,1.0,1,99.816,99.816,99.816
44,SIR,Williams,SOFT,1.0,2.0,3.0,2,100.225,100.225,99.124
45,VAN,McLaren,SOFT,1.0,2.0,22.0,18,100.728,98.698,97.314
46,GAS,Toro Rosso,nan,,1.0,1.0,1,100.876,100.876,100.876
47,HUL,Renault,MEDIUM,1.0,2.0,29.0,26,101.109,98.0,97.307
48,PER,Racing Point,nan,,1.0,1.0,1,101.385,101.385,101.385
49,OCO,Racing Point,nan,,1.0,1.0,1,101.973,101.973,101.973
50,HAR,Toro Rosso,nan,,1.0,1.0,1,102.637,102.637,102.637
51,SAI,Renault,nan,,1.0,1.0,1,102.915,102.915,102.915
52,STR,Williams,SOFT,1.0,2.0,13.0,9,103.181,99.509,98.185
53,MAG,Haas F1 Team,nan,,1.0,1.0,1,103.721,103.721,103.721
54,LEC,Sauber,nan,,1.0,1.0,1,103.921,103.921,103.921
55,RIC,Red Bull Racing,nan,,1.0,1.0,1,104.16,104.16,104.16
56,ALO,McLaren,nan,,1.0,1.0,1,105.182,105.182,105.182
57,HUL,Renault,nan,,1.0,1.0,1,106.289,106.289,106.289
58,STR,Williams,nan,,1.0,1.0,1,106.399,106.399,106.399
59,VAN,McLaren,nan,,1.0,1.0,1,107.455,107.455,107.455
60,ERI,Sauber,nan,,1.0,1.0,1,107.771,107.771,107.771
61,MAG,Haas F1 Team,MEDIUM,2.0,4.0,7.0,4,120.99,120.69,99.908
