stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,BOT,Mercedes,HYPERSOFT,4.0,64.0,70.0,7,80.569,80.383,78.741
2,VER,Red Bull Racing,SUPERSOFT,3.0,50.0,71.0,21,80.942,80.099,79.186
3,VET,Ferrari,SUPERSOFT,2.0,19.0,46.0,26,81.096,81.072,80.112
4,VER,Red Bull Racing,SUPERSOFT,2.0,15.0,47.0,31,81.2,81.137,80.299
5,VET,Ferrari,ULTRASOFT,3.0,49.0,71.0,22,81.374,80.376,79.522
6,RIC,Red Bull Racing,SUPERSOFT,2.0,14.0,61.0,46,81.53,81.45,79.462
7,VER,Red Bull Racing,ULTRASOFT,1.0,1.0,12.0,11,81.79,81.249,80.923
8,HAM,Mercedes,SUPERSOFT,2.0,13.0,46.0,32,81.91,81.839,81.032
9,BOT,Mercedes,SUPERSOFT,2.0,13.0,47.0,33,81.936,81.748,81.236
10,RAI,Ferrari,SUPERSOFT,2.0,19.0,71.0,50,81.958,81.396,80.334
11,HAM,Mercedes,ULTRASOFT,1.0,1.0,10.0,9,82.064,81.62,80.995
12,RIC,Red Bull Racing,ULTRASOFT,1.0,1.0,11.0,10,82.29,81.786,81.322
13,GRO,Haas F1 Team,HYPERSOFT,3.0,62.0,68.0,7,82.401,82.166,81.438
14,VET,Ferrari,ULTRASOFT,1.0,1.0,16.0,15,82.451,82.127,81.799
15,BOT,Mercedes,ULTRASOFT,3.0,50.0,60.0,11,82.576,82.011,81.669
16,HAM,Mercedes,ULTRASOFT,3.0,49.0,71.0,22,83.058,82.695,80.728
17,BOT,Mercedes,ULTRASOFT,1.0,1.0,10.0,9,83.142,82.572,81.987
18,SAI,Renault,HYPERSOFT,1.0,2.0,10.0,8,83.394,83.504,82.386
19,RAI,Ferrari,ULTRASOFT,1.0,1.0,16.0,15,83.457,83.142,81.727
20,STR,Williams,ULTRASOFT,2.0,12.0,22.0,11,84.275,84.29,83.573
21,GRO,Haas F1 Team,ULTRASOFT,2.0,46.0,59.0,14,84.285,84.33,81.37
22,HUL,Renault,SUPERSOFT,2.0,14.0,69.0,53,84.295,84.108,80.637
23,HUL,Renault,HYPERSOFT,1.0,1.0,11.0,10,84.303,83.608,82.839
24,VAN,McLaren,SUPERSOFT,2.0,14.0,69.0,52,84.333,84.429,81.921
25,GAS,Toro Rosso,SUPERSOFT,2.0,7.0,25.0,19,84.377,83.974,82.896
26,OCO,Racing Point,ULTRASOFT,3.0,32.0,69.0,36,84.445,84.498,83.358
27,LEC,Sauber,SUPERSOFT,2.0,15.0,69.0,52,84.448,84.5,80.537
28,HAR,Toro Rosso,SUPERSOFT,3.0,26.0,69.0,40,84.456,84.39,82.438
29,GAS,Toro Rosso,SUPERSOFT,3.0,28.0,69.0,39,84.494,83.926,82.755
30,SAI,Renault,SUPERSOFT,2.0,13.0,28.0,16,84.516,84.483,83.75
31,PER,Racing Point,SUPERSOFT,1.0,2.0,29.0,27,84.583,84.37,83.545
32,OCO,Racing Point,SUPERSOFT,2.0,3.0,29.0,25,84.632,84.849,82.629
33,ERI,Sauber,SUPERSOFT,2.0,18.0,69.0,49,84.649,84.351,82.44
34,STR,Williams,SUPERSOFT,3.0,25.0,69.0,42,84.813,84.39,82.983
35,LEC,Sauber,HYPERSOFT,1.0,1.0,12.0,11,84.919,83.965,83.341
36,SIR,Williams,SUPERSOFT,2.0,13.0,69.0,54,85.006,84.371,82.64
37,MAG,Haas F1 Team,ULTRASOFT,2.0,45.0,69.0,24,85.13,84.435,81.874
38,GRO,Haas F1 Team,SUPERSOFT,1.0,2.0,43.0,39,85.26,85.131,83.701
39,HAR,Toro Rosso,ULTRASOFT,2.0,3.0,23.0,21,85.268,84.913,82.528
40,MAG,Haas F1 Team,SUPERSOFT,1.0,1.0,42.0,39,85.412,85.005,83.303
41,PER,Racing Point,ULTRASOFT,2.0,32.0,37.0,6,85.639,85.338,84.174
42,STR,Williams,ULTRASOFT,1.0,1.0,9.0,8,85.726,84.44,83.29
43,ERI,Sauber,HYPERSOFT,1.0,1.0,15.0,14,85.944,85.357,83.708
44,SIR,Williams,ULTRASOFT,1.0,1.0,10.0,9,86.349,84.854,84.033
45,GAS,Toro Rosso,HYPERSOFT,1.0,2.0,4.0,3,86.383,86.566,84.876
46,VAN,McLaren,ULTRASOFT,1.0,1.0,11.0,11,87.286,84.867,83.545
47,ALO,McLaren,ULTRASOFT,1.0,1.0,3.0,3,87.985,85.044,84.197
