Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
BOT,77,Mercedes,1.0,0 days 00:01:40.335000,100.335,,0 days 00:00:34.090000,0 days 00:00:29.248000,nan,,,,,1.0,False,12
HAM,44,Mercedes,1.0,0 days 00:01:41.711000,101.711,,0 days 00:00:34.767000,0 days 00:00:29.295000,nan,,,,,2.0,False,12
VET,5,Ferrari,1.0,0 days 00:01:42.879000,102.879,,0 days 00:00:35.264000,0 days 00:00:29.635000,nan,,,,,3.0,False,12
RAI,7,Ferrari,1.0,0 days 00:01:44.094000,104.094,,0 days 00:00:35.517000,0 days 00:00:30.102000,nan,,,,,4.0,False,12
MAG,20,Haas F1 Team,1.0,0 days 00:01:45.923000,105.923,,0 days 00:00:36.504000,0 days 00:00:30.409000,nan,,,,,5.0,False,12
LEC,16,Sauber,1.0,0 days 00:01:46.649000,106.649,,0 days 00:00:36.553000,0 days 00:00:30.556000,nan,,,,,6.0,False,12
OCO,31,Racing Point,1.0,0 days 00:01:47.304000,107.304,,0 days 00:00:36.473000,0 days 00:00:31.170000,nan,,,,,7.0,False,12
PER,11,Racing Point,1.0,0 days 00:01:47.890000,107.89,,0 days 00:00:36.624000,0 days 00:00:30.998000,nan,,,,,8.0,False,12
GRO,8,Haas F1 Team,1.0,0 days 00:01:48.369000,108.369,,0 days 00:00:36.713000,0 days 00:00:31.072000,nan,,,,,9.0,False,12
ERI,9,Sauber,1.0,0 days 00:01:49.037000,109.037,,0 days 00:00:37.505000,0 days 00:00:30.952000,nan,,,,,10.0,False,12
SAI,55,Renault,1.0,0 days 00:01:50.022000,110.022,,0 days 00:00:37.344000,0 days 00:00:31.539000,nan,,,,,11.0,False,12
HUL,27,Renault,1.0,0 days 00:01:50.656000,110.656,,0 days 00:00:37.597000,0 days 00:00:31.516000,nan,,,,,12.0,False,12
VER,33,Red Bull Racing,1.0,0 days 00:01:51.135000,111.135,,0 days 00:00:38.267000,0 days 00:00:31.028000,nan,,,,,13.0,False,12
STR,18,Williams,1.0,0 days 00:01:52.244000,112.244,,0 days 00:00:38.934000,0 days 00:00:31.856000,nan,,,,,14.0,False,12
SIR,35,Williams,1.0,0 days 00:01:53.321000,113.321,,0 days 00:00:39.377000,0 days 00:00:31.959000,nan,,,,,15.0,False,12
ALO,14,McLaren,1.0,0 days 00:01:53.670000,113.67,,0 days 00:00:39.320000,0 days 00:00:32.040000,nan,,,,,16.0,False,12
VAN,2,McLaren,1.0,0 days 00:01:54.333000,114.333,,0 days 00:00:39.371000,0 days 00:00:32.387000,nan,,,,,17.0,False,12
RIC,3,Red Bull Racing,1.0,0 days 00:01:54.891000,114.891,,0 days 00:00:39.630000,0 days 00:00:32.642000,nan,,,,,18.0,False,12
HAR,28,Toro Rosso,1.0,0 days 00:01:55.199000,115.199,,0 days 00:00:39.009000,0 days 00:00:33.046000,nan,,,,,19.0,False,12
GAS,10,Toro Rosso,1.0,0 days 00:01:55.680000,115.68,,0 days 00:00:39.879000,0 days 00:00:32.873000,nan,,,,,20.0,False,12
BOT,77,Mercedes,2.0,0 days 00:01:40.109000,100.109,0 days 00:00:35.925000,0 days 00:00:34.417000,0 days 00:00:29.767000,nan,,,,,1.0,True,1
HAM,44,Mercedes,2.0,0 days 00:01:40.132000,100.132,0 days 00:00:35.884000,0 days 00:00:34.653000,0 days 00:00:29.595000,ULTRASOFT,4.0,1.0,,,2.0,True,1
VET,5,Ferrari,2.0,0 days 00:01:40.317000,100.317,0 days 00:00:35.755000,0 days 00:00:34.832000,0 days 00:00:29.730000,ULTRASOFT,4.0,1.0,,,3.0,True,1
RAI,7,Ferrari,2.0,0 days 00:01:40.972000,100.972,0 days 00:00:35.818000,0 days 00:00:35.141000,0 days 00:00:30.013000,ULTRASOFT,4.0,1.0,,,4.0,True,1
LEC,16,Sauber,2.0,0 days 00:01:42.210000,102.21,0 days 00:00:36.519000,0 days 00:00:35.728000,0 days 00:00:29.963000,HYPERSOFT,4.0,1.0,,,5.0,True,1
MAG,20,Haas F1 Team,2.0,0 days 00:01:44.252000,104.252,0 days 00:00:38.129000,0 days 00:00:36.214000,0 days 00:00:29.909000,HYPERSOFT,4.0,1.0,,,6.0,True,1
OCO,31,Racing Point,2.0,0 days 00:01:43.928000,103.928,0 days 00:00:36.918000,0 days 00:00:36.801000,0 days 00:00:30.209000,HYPERSOFT,4.0,1.0,,,7.0,True,1
PER,11,Racing Point,2.0,0 days 00:01:44.146000,104.146,0 days 00:00:36.570000,0 days 00:00:36.810000,0 days 00:00:30.766000,HYPERSOFT,4.0,1.0,,,8.0,True,1
GRO,8,Haas F1 Team,2.0,0 days 00:01:44.614000,104.614,0 days 00:00:36.990000,0 days 00:00:36.590000,0 days 00:00:31.034000,HYPERSOFT,4.0,1.0,,,9.0,True,1
ERI,9,Sauber,2.0,0 days 00:01:44.518000,104.518,0 days 00:00:36.780000,0 days 00:00:36.771000,0 days 00:00:30.967000,HYPERSOFT,4.0,1.0,,,10.0,True,1
VER,33,Red Bull Racing,2.0,0 days 00:01:42.825000,102.825,0 days 00:00:35.895000,,,SOFT,1.0,1.0,,,11.0,True,1
SAI,55,Renault,2.0,0 days 00:01:44.804000,104.804,0 days 00:00:36.770000,0 days 00:00:36.282000,0 days 00:00:31.752000,SOFT,1.0,1.0,,,12.0,True,1
HUL,27,Renault,2.0,0 days 00:01:44.783000,104.783,0 days 00:00:37.347000,0 days 00:00:36.206000,0 days 00:00:31.230000,SOFT,1.0,1.0,,,13.0,True,1
STR,18,Williams,2.0,0 days 00:01:44.323000,104.323,0 days 00:00:36.778000,0 days 00:00:36.433000,0 days 00:00:31.112000,ULTRASOFT,1.0,1.0,,,14.0,True,1
SIR,35,Williams,2.0,0 days 00:01:44.593000,104.593,0 days 00:00:37.117000,0 days 00:00:36.340000,0 days 00:00:31.136000,ULTRASOFT,1.0,1.0,,,15.0,True,1
RIC,3,Red Bull Racing,2.0,0 days 00:01:43.473000,103.473,0 days 00:00:36.667000,0 days 00:00:36.045000,0 days 00:00:30.761000,SOFT,1.0,1.0,,,16.0,True,1
ALO,14,McLaren,2.0,0 days 00:01:45.694000,105.694,0 days 00:00:37.293000,0 days 00:00:36.637000,0 days 00:00:31.764000,ULTRASOFT,1.0,1.0,,,17.0,True,1
VAN,2,McLaren,2.0,0 days 00:01:45.885000,105.885,0 days 00:00:37.111000,0 days 00:00:37.313000,0 days 00:00:31.461000,ULTRASOFT,1.0,1.0,,,18.0,True,1
HAR,28,Toro Rosso,2.0,0 days 00:01:45.852000,105.852,0 days 00:00:36.784000,0 days 00:00:37.134000,0 days 00:00:31.934000,HYPERSOFT,1.0,1.0,,,19.0,True,1
GAS,10,Toro Rosso,2.0,0 days 00:01:45.883000,105.883,0 days 00:00:37.031000,0 days 00:00:37.148000,0 days 00:00:31.704000,SOFT,1.0,1.0,,,20.0,True,1
BOT,77,Mercedes,3.0,0 days 00:01:39.849000,99.849,0 days 00:00:35.982000,0 days 00:00:34.465000,0 days 00:00:29.402000,ULTRASOFT,4.0,1.0,,,1.0,True,1
HAM,44,Mercedes,3.0,0 days 00:01:39.916000,99.916,0 days 00:00:35.784000,0 days 00:00:34.589000,0 days 00:00:29.543000,ULTRASOFT,5.0,1.0,,,2.0,True,1
VET,5,Ferrari,3.0,0 days 00:01:40.119000,100.119,0 days 00:00:35.690000,0 days 00:00:34.783000,0 days 00:00:29.646000,ULTRASOFT,5.0,1.0,,,3.0,True,1
RAI,7,Ferrari,3.0,0 days 00:01:40.357000,100.357,0 days 00:00:35.846000,0 days 00:00:34.731000,0 days 00:00:29.780000,ULTRASOFT,5.0,1.0,,,4.0,True,1
LEC,16,Sauber,3.0,0 days 00:01:41.845000,101.845,0 days 00:00:36.494000,0 days 00:00:35.322000,0 days 00:00:30.029000,HYPERSOFT,5.0,1.0,,,5.0,True,1
MAG,20,Haas F1 Team,3.0,0 days 00:01:41.658000,101.658,0 days 00:00:36.359000,0 days 00:00:35.355000,0 days 00:00:29.944000,HYPERSOFT,5.0,1.0,,,6.0,True,1
OCO,31,Racing Point,3.0,0 days 00:01:42.179000,102.179,0 days 00:00:36.148000,0 days 00:00:35.695000,0 days 00:00:30.336000,HYPERSOFT,5.0,1.0,,,7.0,True,1
PER,11,Racing Point,3.0,0 days 00:01:42.362000,102.362,0 days 00:00:36.532000,0 days 00:00:35.700000,0 days 00:00:30.130000,HYPERSOFT,5.0,1.0,,,8.0,True,1
VER,33,Red Bull Racing,3.0,0 days 00:01:41.713000,101.713,0 days 00:00:36.137000,0 days 00:00:35.544000,0 days 00:00:30.032000,SOFT,2.0,1.0,,,9.0,True,1
GRO,8,Haas F1 Team,3.0,0 days 00:01:43.912000,103.912,0 days 00:00:36.357000,0 days 00:00:36.382000,0 days 00:00:31.173000,HYPERSOFT,5.0,1.0,,,10.0,True,1
ERI,9,Sauber,3.0,0 days 00:01:43.938000,103.938,0 days 00:00:36.896000,0 days 00:00:35.929000,0 days 00:00:31.113000,HYPERSOFT,5.0,1.0,,,11.0,True,1
SAI,55,Renault,3.0,0 days 00:01:43.522000,103.522,0 days 00:00:36.239000,0 days 00:00:36.346000,0 days 00:00:30.937000,SOFT,2.0,1.0,,,12.0,True,1
HUL,27,Renault,3.0,0 days 00:01:43.588000,103.588,0 days 00:00:36.199000,0 days 00:00:35.956000,0 days 00:00:31.433000,SOFT,2.0,1.0,,,13.0,True,1
RIC,3,Red Bull Racing,3.0,0 days 00:01:41.298000,101.298,0 days 00:00:35.892000,0 days 00:00:35.143000,0 days 00:00:30.263000,SOFT,2.0,1.0,,,14.0,True,1
