stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,VER,Red Bull Racing,ULTRASOFT,2.0,45.0,53.0,9,97.325,97.234,96.283
2,HAM,Mercedes,SOFT,2.0,16.0,53.0,38,97.884,98.014,95.916
3,RAI,Ferrari,SOFT,2.0,20.0,53.0,34,97.899,97.776,96.611
4,BOT,Mercedes,SOFT,2.0,14.0,53.0,39,98.001,98.145,95.861
5,VET,Ferrari,SOFT,2.0,15.0,53.0,38,98.043,98.194,95.99
6,RIC,Red Bull Racing,ULTRASOFT,2.0,41.0,53.0,13,98.143,98.012,96.345
7,VER,Red Bull Racing,SOFT,1.0,4.0,42.0,39,99.09,99.148,97.561
8,ERI,Sauber,ULTRASOFT,3.0,39.0,52.0,14,99.549,99.657,97.931
9,LEC,Sauber,SOFT,2.0,12.0,53.0,42,99.808,99.8,98.107
10,HAM,Mercedes,ULTRASOFT,1.0,2.0,13.0,10,99.896,99.872,99.553
11,HUL,Renault,ULTRASOFT,2.0,37.0,52.0,15,99.899,99.523,99.108
12,BOT,Mercedes,ULTRASOFT,1.0,3.0,11.0,8,99.944,99.952,99.517
13,RIC,Red Bull Racing,SOFT,1.0,3.0,38.0,35,99.948,99.644,98.21
14,VET,Ferrari,ULTRASOFT,1.0,2.0,12.0,10,100.028,100.066,99.546
15,BOT,Mercedes,nan,,2.0,2.0,1,100.109,100.109,100.109
16,MAG,Haas F1 Team,SOFT,2.0,11.0,52.0,42,100.116,100.033,98.015
17,OCO,Racing Point,SOFT,2.0,12.0,52.0,41,100.14,99.873,98.366
18,PER,Racing Point,SOFT,2.0,14.0,52.0,39,100.15,99.908,98.3
19,RAI,Ferrari,ULTRASOFT,1.0,3.0,17.0,14,100.313,100.249,100.009
20,GRO,Haas F1 Team,SOFT,2.0,10.0,52.0,42,100.316,100.086,98.244
21,ERI,Sauber,SOFT,2.0,13.0,36.0,24,100.723,100.992,99.225
22,STR,Williams,SOFT,2.0,9.0,52.0,44,101.226,100.98,99.435
23,HUL,Renault,SOFT,1.0,3.0,34.0,32,101.307,100.834,100.033
24,VAN,McLaren,SOFT,2.0,13.0,51.0,38,101.326,101.164,99.922
25,SAI,Renault,ULTRASOFT,2.0,34.0,50.0,17,101.359,101.297,99.731
26,ALO,McLaren,SOFT,2.0,7.0,52.0,46,101.396,101.42,99.59
27,SIR,Williams,SOFT,2.0,12.0,51.0,40,101.504,101.534,99.838
28,LEC,Sauber,HYPERSOFT,1.0,2.0,9.0,6,102.015,102.024,101.502
29,PER,Racing Point,HYPERSOFT,1.0,3.0,11.0,8,102.328,102.604,101.143
30,MAG,Haas F1 Team,HYPERSOFT,1.0,3.0,8.0,5,102.448,102.54,101.658
31,OCO,Racing Point,HYPERSOFT,1.0,3.0,8.0,6,102.66,102.68,102.179
32,SAI,Renault,SOFT,1.0,2.0,31.0,29,102.805,102.785,101.126
33,GRO,Haas F1 Team,HYPERSOFT,1.0,3.0,7.0,5,103.222,102.889,102.659
34,ERI,Sauber,HYPERSOFT,1.0,3.0,10.0,7,103.399,103.465,102.653
35,ALO,McLaren,ULTRASOFT,1.0,4.0,4.0,1,104.369,104.369,104.369
36,STR,Williams,ULTRASOFT,1.0,2.0,4.0,3,104.523,104.505,104.323
37,GAS,Toro Rosso,SOFT,1.0,2.0,3.0,2,104.977,104.977,104.071
38,VAN,McLaren,ULTRASOFT,1.0,2.0,10.0,8,105.015,104.95,104.493
39,SIR,Williams,ULTRASOFT,1.0,2.0,9.0,6,105.259,104.876,104.247
40,HAR,Toro Rosso,HYPERSOFT,1.0,2.0,2.0,1,105.852,105.852,105.852
41,HAR,Toro Rosso,nan,,1.0,1.0,1,115.199,115.199,115.199
42,GAS,Toro Rosso,nan,,1.0,1.0,1,115.68,115.68,115.68
