stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,HAM,Mercedes,SOFT,2.0,17.0,61.0,44,104.994,105.112,102.913
2,VER,Red Bull Racing,SOFT,2.0,19.0,61.0,42,105.059,105.198,103.345
3,RIC,Red Bull Racing,ULTRASOFT,2.0,29.0,61.0,32,105.668,105.649,103.12
4,ALO,McLaren,SOFT,2.0,40.0,61.0,22,105.688,105.532,103.164
5,VET,Ferrari,ULTRASOFT,2.0,17.0,61.0,44,105.815,105.664,104.669
6,RAI,Ferrari,SOFT,2.0,24.0,61.0,37,105.895,105.795,104.715
7,BOT,Mercedes,SOFT,2.0,18.0,61.0,43,106.001,105.843,104.72
8,SAI,Renault,SOFT,2.0,39.0,60.0,21,106.473,106.327,105.211
9,STR,Williams,ULTRASOFT,2.0,42.0,60.0,19,106.596,106.594,106.033
10,PER,Racing Point,SOFT,3.0,35.0,38.0,4,106.598,105.872,105.602
11,LEC,Sauber,HYPERSOFT,2.0,40.0,60.0,21,106.614,106.351,105.203
12,PER,Racing Point,SOFT,4.0,41.0,60.0,20,106.644,106.392,105.389
13,HAM,Mercedes,HYPERSOFT,1.0,5.0,14.0,9,106.68,107.519,104.403
14,VER,Red Bull Racing,HYPERSOFT,1.0,6.0,16.0,11,106.829,107.186,105.216
15,RIC,Red Bull Racing,HYPERSOFT,1.0,6.0,26.0,21,106.897,106.684,105.688
16,RAI,Ferrari,HYPERSOFT,1.0,6.0,21.0,16,106.979,106.872,105.547
17,MAG,Haas F1 Team,HYPERSOFT,3.0,38.0,58.0,19,107.069,106.645,101.905
18,VAN,McLaren,SOFT,2.0,59.0,60.0,2,107.256,107.256,106.793
19,BOT,Mercedes,HYPERSOFT,1.0,5.0,15.0,10,107.289,107.353,105.839
20,VET,Ferrari,HYPERSOFT,1.0,5.0,13.0,9,107.293,107.427,105.352
21,HAR,Toro Rosso,HYPERSOFT,3.0,38.0,59.0,21,107.324,106.84,104.889
22,ERI,Sauber,HYPERSOFT,2.0,57.0,60.0,4,107.43,107.356,107.228
23,GAS,Toro Rosso,ULTRASOFT,2.0,28.0,60.0,31,107.436,106.75,106.063
24,HUL,Renault,ULTRASOFT,2.0,17.0,60.0,44,107.671,107.675,106.093
25,MAG,Haas F1 Team,SOFT,2.0,28.0,34.0,7,107.688,106.77,106.309
26,GRO,Haas F1 Team,SOFT,2.0,18.0,60.0,41,107.843,107.979,105.904
27,ALO,McLaren,ULTRASOFT,1.0,5.0,37.0,31,107.855,107.202,106.699
28,SAI,Renault,ULTRASOFT,1.0,5.0,36.0,31,108.076,107.41,106.667
29,ERI,Sauber,ULTRASOFT,1.0,6.0,56.0,48,108.178,108.068,105.169
30,VAN,McLaren,ULTRASOFT,1.0,6.0,58.0,51,108.219,108.283,105.555
31,LEC,Sauber,ULTRASOFT,1.0,7.0,37.0,31,108.438,108.787,106.438
32,PER,Racing Point,HYPERSOFT,1.0,5.0,15.0,10,108.605,108.451,107.968
33,HAR,Toro Rosso,ULTRASOFT,2.0,16.0,35.0,20,108.7,108.452,106.657
34,PER,Racing Point,ULTRASOFT,2.0,19.0,32.0,14,108.816,108.821,107.508
35,HUL,Renault,HYPERSOFT,1.0,7.0,14.0,8,109.265,109.18,108.749
36,GAS,Toro Rosso,HYPERSOFT,1.0,5.0,25.0,21,109.372,109.276,108.363
37,STR,Williams,SOFT,1.0,6.0,39.0,34,109.379,109.201,108.581
38,MAG,Haas F1 Team,ULTRASOFT,1.0,5.0,25.0,21,109.578,109.364,108.568
39,GRO,Haas F1 Team,HYPERSOFT,1.0,5.0,15.0,11,109.584,109.355,108.623
40,SIR,Williams,SOFT,2.0,5.0,58.0,51,110.079,109.621,105.902
41,HAR,Toro Rosso,HYPERSOFT,1.0,5.0,13.0,9,110.095,109.847,109.054
