Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
RAI,7,Ferrari,1.0,0 days 00:01:39.389000,99.389,,0 days 00:00:39.399000,0 days 00:00:33.028000,ULTRASOFT,4.0,1.0,,,1.0,False,12
HAM,44,Mercedes,1.0,0 days 00:01:41.297000,101.297,,0 days 00:00:39.875000,0 days 00:00:33.637000,SUPERSOFT,6.0,1.0,,,2.0,False,12
BOT,77,Mercedes,1.0,0 days 00:01:42.538000,102.538,,0 days 00:00:40.075000,0 days 00:00:34.187000,SUPERSOFT,4.0,1.0,,,3.0,False,12
RIC,3,Red Bull Racing,1.0,0 days 00:01:43.674000,103.674,,0 days 00:00:40.975000,0 days 00:00:33.959000,SUPERSOFT,4.0,1.0,,,4.0,False,12
HUL,27,Renault,1.0,0 days 00:01:45.337000,105.337,,0 days 00:00:41.139000,0 days 00:00:34.728000,ULTRASOFT,4.0,1.0,,,5.0,False,12
SAI,55,Renault,1.0,0 days 00:01:46.134000,106.134,,0 days 00:00:40.839000,0 days 00:00:35.267000,SUPERSOFT,1.0,1.0,,,6.0,False,12
OCO,31,Racing Point,1.0,0 days 00:01:47.251000,107.251,,0 days 00:00:42.149000,0 days 00:00:34.930000,ULTRASOFT,4.0,1.0,,,7.0,False,12
PER,11,Racing Point,1.0,0 days 00:01:48.598000,108.598,,0 days 00:00:42.409000,0 days 00:00:35.245000,ULTRASOFT,4.0,1.0,,,8.0,False,12
VER,33,Red Bull Racing,1.0,0 days 00:01:49.681000,109.681,,0 days 00:00:42.561000,0 days 00:00:35.050000,SOFT,1.0,1.0,,,9.0,False,12
MAG,20,Haas F1 Team,1.0,0 days 00:01:49.847000,109.847,,0 days 00:00:42.750000,0 days 00:00:35.851000,SUPERSOFT,1.0,1.0,,,10.0,False,12
SIR,35,Williams,1.0,0 days 00:01:50.827000,110.827,,0 days 00:00:43.383000,0 days 00:00:35.741000,SUPERSOFT,1.0,1.0,,,11.0,False,12
HAR,28,Toro Rosso,1.0,0 days 00:01:51.551000,111.551,,0 days 00:00:42.682000,0 days 00:00:35.701000,SUPERSOFT,1.0,1.0,,,12.0,False,12
VAN,2,McLaren,1.0,0 days 00:01:52.198000,112.198,,0 days 00:00:43.301000,0 days 00:00:36.430000,SUPERSOFT,1.0,1.0,,,13.0,False,12
GAS,10,Toro Rosso,1.0,0 days 00:01:52.851000,112.851,,0 days 00:00:43.282000,0 days 00:00:36.885000,SUPERSOFT,1.0,1.0,,,14.0,False,12
