Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
ALO,McLaren,1,,SUPERSOFT,
GRO,Haas F1 Team,1,2.0,ULTRASOFT,ULTRASOFT
LEC,Sauber,1,2.0,ULTRASOFT,ULTRASOFT
STR,Williams,1,2.0,SUPERSOFT,SUPERSOFT
GRO,Haas F1 Team,2,,ULTRASOFT,
STR,Williams,5,6.0,SOFT,None
GAS,Toro Rosso,10,11.0,SUPERSOFT,SOFT
SIR,Williams,10,11.0,SUPERSOFT,SOFT
VAN,McLaren,10,11.0,SUPERSOFT,SOFT
HAM,Mercedes,11,12.0,SUPERSOFT,SOFT
RAI,Ferrari,21,22.0,ULTRASOFT,SOFT
OCO,Racing Point,22,23.0,ULTRASOFT,SOFT
VER,Red Bull Racing,22,23.0,SOFT,SUPERSOFT
BOT,Mercedes,23,24.0,SUPERSOFT,SOFT
HUL,Renault,23,24.0,ULTRASOFT,SOFT
SAI,Renault,24,25.0,SUPERSOFT,SOFT
PER,Racing Point,25,26.0,ULTRASOFT,SOFT
VET,Ferrari,26,27.0,SUPERSOFT,SOFT
HAR,Toro Rosso,27,28.0,SUPERSOFT,SOFT
SIR,Williams,29,30.0,SOFT,SUPERSOFT
ERI,Sauber,30,31.0,SOFT,SUPERSOFT
MAG,Haas F1 Team,30,31.0,SUPERSOFT,SOFT
LEC,Sauber,31,,SOFT,
GAS,Toro Rosso,36,37.0,SOFT,ULTRASOFT
HAM,Mercedes,37,38.0,SOFT,SOFT
STR,Williams,38,39.0,None,ULTRASOFT
VAN,McLaren,40,41.0,SOFT,SOFT
