stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,VET,Ferrari,MEDIUM,3.0,40.0,55.0,16,101.33,101.28,100.128
2,BOT,Mercedes,HARD,2.0,31.0,55.0,25,101.442,101.403,99.715
3,LEC,Ferrari,SOFT,3.0,40.0,55.0,16,101.485,101.467,100.442
4,HAM,Mercedes,HARD,2.0,28.0,55.0,28,101.65,101.644,99.283
5,VER,Red Bull Racing,HARD,2.0,27.0,55.0,29,101.849,101.775,101.119
6,RIC,Renault,SOFT,3.0,44.0,54.0,11,101.919,101.676,101.19
7,SAI,McLaren,MEDIUM,3.0,43.0,54.0,12,102.456,102.234,101.294
8,HAM,Mercedes,MEDIUM,1.0,2.0,25.0,22,102.728,102.76,102.229
9,LEC,Ferrari,HARD,2.0,14.0,37.0,23,102.905,102.951,101.938
10,ALB,Red Bull Racing,HARD,2.0,15.0,55.0,39,103.073,103.028,102.219
11,VER,Red Bull Racing,MEDIUM,1.0,2.0,24.0,21,103.163,103.19,102.834
12,KVY,Toro Rosso,MEDIUM,2.0,42.0,54.0,13,103.187,103.109,102.222
13,VET,Ferrari,HARD,2.0,14.0,37.0,22,103.223,103.076,102.707
14,LEC,Ferrari,MEDIUM,1.0,2.0,11.0,9,103.251,103.272,103.061
15,PER,Racing Point,HARD,2.0,39.0,54.0,16,103.347,103.14,102.639
16,VET,Ferrari,SOFT,1.0,2.0,11.0,10,103.79,103.854,103.234
17,RAI,Alfa Romeo Racing,HARD,2.0,24.0,54.0,31,103.865,103.609,103.142
18,BOT,Mercedes,MEDIUM,1.0,3.0,28.0,25,103.952,104.139,102.518
19,RUS,Williams,MEDIUM,2.0,34.0,54.0,21,104.011,103.973,103.074
20,ALB,Red Bull Racing,MEDIUM,1.0,2.0,12.0,11,104.148,104.11,103.826
21,HUL,Renault,MEDIUM,2.0,20.0,53.0,34,104.233,104.262,103.274
22,NOR,McLaren,HARD,2.0,10.0,53.0,43,104.262,104.235,103.026
23,GIO,Alfa Romeo Racing,MEDIUM,3.0,28.0,54.0,27,104.323,104.172,103.256
24,SAI,McLaren,HARD,2.0,14.0,40.0,26,104.487,104.468,103.649
25,MAG,Haas F1 Team,HARD,2.0,22.0,54.0,33,104.504,104.23,103.79
26,RIC,Renault,HARD,2.0,13.0,41.0,28,104.619,104.534,103.738
27,GRO,Haas F1 Team,HARD,2.0,20.0,54.0,34,104.647,104.057,103.666
28,GAS,Toro Rosso,HARD,2.0,3.0,53.0,48,104.719,104.723,102.414
29,KVY,Toro Rosso,HARD,1.0,4.0,39.0,36,104.753,104.83,103.294
30,STR,Racing Point,SOFT,3.0,25.0,43.0,19,104.762,104.308,103.326
31,PER,Racing Point,MEDIUM,1.0,3.0,36.0,33,104.87,104.736,104.127
32,HUL,Renault,SOFT,1.0,2.0,17.0,15,105.157,105.338,104.202
33,NOR,McLaren,SOFT,1.0,2.0,7.0,6,105.26,105.258,105.062
34,SAI,McLaren,SOFT,1.0,2.0,11.0,9,105.461,105.526,105.227
35,RIC,Renault,SOFT,1.0,3.0,10.0,8,105.487,105.466,105.358
36,KUB,Williams,MEDIUM,2.0,26.0,53.0,27,105.658,105.419,104.5
37,GIO,Alfa Romeo Racing,HARD,2.0,10.0,25.0,14,105.702,105.577,104.94
38,STR,Racing Point,HARD,2.0,7.0,22.0,16,105.748,105.215,104.81
39,RAI,Alfa Romeo Racing,MEDIUM,1.0,4.0,21.0,18,105.807,105.69,105.222
40,MAG,Haas F1 Team,MEDIUM,1.0,3.0,19.0,16,105.903,105.798,105.425
41,GRO,Haas F1 Team,MEDIUM,1.0,3.0,17.0,15,106.184,106.048,105.33
42,GIO,Alfa Romeo Racing,SOFT,1.0,2.0,7.0,6,106.585,106.458,106.218
43,RUS,Williams,HARD,1.0,3.0,30.0,28,106.807,106.721,105.446
44,KUB,Williams,HARD,1.0,3.0,23.0,21,106.946,106.87,106.279
45,STR,Racing Point,MEDIUM,1.0,2.0,4.0,3,107.171,106.776,106.69
