pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,BOT,Mercedes,77,53,87.825,87.659,85.58,0.719,0.0
2,VER,Red Bull Racing,33,53,88.191,88.06,86.256,0.913,0.366
3,HAM,Mercedes,44,53,88.158,88.196,86.057,0.77,0.333
4,VET,Ferrari,5,53,88.822,88.702,87.954,0.489,0.997
5,LEC,Ferrari,16,53,88.757,88.921,86.926,1.007,0.932
6,MAG,Haas F1 Team,20,53,89.246,89.002,88.182,0.8,1.421
7,HUL,Renault,27,52,89.391,89.046,88.444,0.807,1.566
8,STR,Racing Point,18,52,89.357,89.054,87.568,1.044,1.532
9,KVY,Toro Rosso,26,52,89.259,89.056,87.448,1.231,1.434
10,RAI,Alfa Romeo Racing,7,52,89.34,89.106,88.27,0.799,1.515
11,GAS,Red Bull Racing,10,52,89.331,89.181,87.229,1.139,1.506
12,PER,Racing Point,11,52,90.084,89.926,88.485,0.985,2.259
13,ALB,Toro Rosso,23,52,90.101,89.933,88.188,0.957,2.276
14,RIC,Renault,3,24,90.362,90.242,89.848,0.376,2.537
15,NOR,McLaren,4,52,90.117,90.392,88.555,0.96,2.292
16,GIO,Alfa Romeo Racing,99,52,90.293,90.453,88.479,1.338,2.468
17,GRO,Haas F1 Team,8,25,90.307,90.636,88.462,0.784,2.482
18,SAI,McLaren,55,8,91.466,91.392,90.899,0.451,3.641
19,RUS,Williams,63,49,91.217,91.605,88.713,1.329,3.392
20,KUB,Williams,88,46,91.844,92.25,89.284,1.616,4.019
