Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
KUB,Williams,1,2,HARD,MEDIUM
RIC,Renault,1,2,SOFT,HARD
RAI,Alfa Romeo Racing,12,13,SOFT,MEDIUM
HUL,Renault,13,14,SOFT,HARD
PER,Racing Point,13,14,SOFT,HARD
ALB,Toro Rosso,14,15,SOFT,MEDIUM
MAG,Haas F1 Team,14,15,SOFT,MEDIUM
VET,Ferrari,14,15,SOFT,MEDIUM
GRO,Haas F1 Team,15,16,SOFT,MEDIUM
HAM,Mercedes,15,16,SOFT,MEDIUM
NOR,McLaren,15,16,SOFT,HARD
BOT,Mercedes,23,24,SOFT,MEDIUM
VER,Red Bull Racing,25,26,SOFT,MEDIUM
KVY,Toro Rosso,26,27,MEDIUM,HARD
RUS,Williams,26,27,MEDIUM,SOFT
GIO,Alfa Romeo Racing,27,28,MEDIUM,SOFT
STR,Racing Point,27,28,MEDIUM,HARD
KUB,Williams,28,29,MEDIUM,SOFT
LEC,Ferrari,28,29,SOFT,HARD
GAS,Red Bull Racing,37,38,MEDIUM,SOFT
RUS,Williams,42,43,SOFT,HARD
KUB,Williams,44,45,SOFT,SOFT
