pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VET,Ferrari,5,35,108.41,108.238,106.409,1.152,0.15
2,HAM,Mercedes,44,37,108.26,108.251,106.58,1.118,0.0
3,LEC,Ferrari,16,37,108.305,108.546,106.664,0.968,0.045
4,BOT,Mercedes,77,37,108.56,109.133,106.465,1.287,0.3
5,NOR,McLaren,4,36,109.841,109.445,108.321,0.973,1.581
6,PER,Racing Point,11,37,110.194,109.812,108.781,1.086,1.934
7,STR,Racing Point,18,35,110.43,110.17,108.357,1.366,2.17
8,HUL,Renault,27,35,110.309,110.254,108.349,1.254,2.049
9,ALB,Red Bull Racing,23,37,110.138,110.287,107.507,1.654,1.878
10,KVY,Toro Rosso,26,37,110.428,110.534,108.143,1.224,2.168
11,GIO,Alfa Romeo Racing,99,35,110.612,110.723,107.56,1.366,2.352
12,GAS,Toro Rosso,10,37,110.977,111.051,109.7,0.852,2.717
13,GRO,Haas F1 Team,8,36,111.301,111.096,109.274,0.981,3.041
14,RIC,Renault,3,37,111.662,111.187,110.451,1.099,3.402
15,MAG,Haas F1 Team,20,36,111.169,111.677,108.677,1.779,2.909
16,RAI,Alfa Romeo Racing,7,35,111.762,112.201,108.753,1.462,3.502
17,KUB,Williams,88,35,112.003,112.204,109.22,1.24,3.743
18,RUS,Williams,63,36,111.698,112.218,108.86,1.653,3.438
