stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,VET,Ferrari,SOFT,3.0,35.0,43.0,9,107.188,106.785,106.409
2,HAM,Mercedes,MEDIUM,2.0,24.0,44.0,21,107.401,107.398,106.58
3,LEC,Ferrari,MEDIUM,2.0,23.0,44.0,22,107.644,107.398,106.664
4,BOT,Mercedes,MEDIUM,2.0,25.0,44.0,20,107.697,107.411,106.465
5,VET,Ferrari,MEDIUM,2.0,17.0,32.0,16,108.29,108.116,107.087
6,ALB,Red Bull Racing,SOFT,2.0,25.0,44.0,20,108.928,108.72,107.507
7,NOR,McLaren,MEDIUM,2.0,21.0,42.0,22,109.18,109.169,108.321
8,HUL,Renault,SOFT,3.0,33.0,44.0,12,109.231,109.006,108.349
9,GIO,Alfa Romeo Racing,SOFT,2.0,31.0,42.0,12,109.26,108.676,107.56
10,LEC,Ferrari,SOFT,1.0,5.0,20.0,15,109.275,109.305,108.917
11,STR,Racing Point,SOFT,3.0,32.0,44.0,13,109.307,109.07,108.357
12,HAM,Mercedes,SOFT,1.0,6.0,21.0,16,109.387,109.321,108.746
13,KVY,Toro Rosso,SOFT,2.0,26.0,44.0,19,109.49,109.311,108.143
14,BOT,Mercedes,SOFT,1.0,6.0,22.0,17,109.575,109.462,109.133
15,MAG,Haas F1 Team,MEDIUM,2.0,27.0,43.0,17,109.615,109.205,108.677
16,RUS,Williams,SOFT,2.0,32.0,43.0,12,109.625,109.318,108.86
17,VET,Ferrari,SOFT,1.0,5.0,14.0,10,109.7,109.71,109.237
18,PER,Racing Point,MEDIUM,2.0,17.0,43.0,27,109.721,109.629,108.781
19,RAI,Alfa Romeo Racing,SOFT,4.0,33.0,43.0,11,109.983,109.774,108.753
20,HUL,Renault,MEDIUM,2.0,13.0,30.0,18,110.478,110.309,109.466
21,KUB,Williams,SOFT,2.0,33.0,43.0,11,110.527,110.384,109.22
22,STR,Racing Point,MEDIUM,2.0,16.0,29.0,14,110.593,110.212,109.556
23,GAS,Toro Rosso,MEDIUM,2.0,15.0,44.0,30,110.782,110.804,109.7
24,NOR,McLaren,SOFT,1.0,5.0,18.0,14,110.878,110.673,109.979
25,GRO,Haas F1 Team,MEDIUM,2.0,18.0,43.0,25,111.253,110.899,109.274
26,GIO,Alfa Romeo Racing,MEDIUM,1.0,6.0,28.0,23,111.317,110.963,110.356
27,GRO,Haas F1 Team,SOFT,1.0,5.0,15.0,11,111.41,111.291,110.783
28,KVY,Toro Rosso,MEDIUM,1.0,6.0,23.0,18,111.418,111.153,110.534
29,PER,Racing Point,SOFT,1.0,5.0,14.0,10,111.47,111.363,110.155
30,ALB,Red Bull Racing,MEDIUM,1.0,6.0,22.0,17,111.562,111.648,110.287
31,RIC,Renault,SOFT,2.0,5.0,41.0,37,111.662,111.187,110.451
32,GAS,Toro Rosso,SOFT,1.0,6.0,12.0,7,111.81,112.155,110.616
33,STR,Racing Point,SOFT,1.0,6.0,13.0,8,111.97,112.122,110.851
34,HUL,Renault,SOFT,1.0,6.0,10.0,5,112.289,112.211,111.683
35,MAG,Haas F1 Team,SOFT,1.0,5.0,24.0,19,112.559,112.445,111.373
36,RAI,Alfa Romeo Racing,MEDIUM,3.0,6.0,30.0,24,112.577,112.484,111.828
37,KUB,Williams,MEDIUM,1.0,7.0,30.0,24,112.68,112.518,112.024
38,RUS,Williams,MEDIUM,1.0,5.0,29.0,24,112.735,112.454,111.983
