Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
VER,33,Red Bull Racing,1.0,0 days 00:01:16.111000,76.111,,0 days 00:00:37.140000,0 days 00:00:16.756000,SOFT,4.0,1.0,,,1.0,False,1
HAM,44,Mercedes,1.0,0 days 00:01:17.453000,77.453,,0 days 00:00:37.932000,0 days 00:00:16.752000,SOFT,4.0,1.0,,,2.0,False,1
VET,5,Ferrari,1.0,0 days 00:01:17.964000,77.964,,0 days 00:00:38.296000,0 days 00:00:16.737000,SOFT,4.0,1.0,,,3.0,False,1
BOT,77,Mercedes,1.0,0 days 00:01:18.822000,78.822,,0 days 00:00:38.822000,0 days 00:00:16.800000,SOFT,4.0,1.0,,,4.0,False,1
ALB,23,Red Bull Racing,1.0,0 days 00:01:19.671000,79.671,,0 days 00:00:39.231000,0 days 00:00:16.867000,SOFT,4.0,1.0,,,5.0,False,1
GAS,10,Toro Rosso,1.0,0 days 00:01:20.480000,80.48,,0 days 00:00:39.742000,0 days 00:00:16.899000,SOFT,4.0,1.0,,,6.0,False,1
GRO,8,Haas F1 Team,1.0,0 days 00:01:21.293000,81.293,,0 days 00:00:39.819000,0 days 00:00:17.181000,SOFT,4.0,1.0,,,7.0,False,1
RAI,7,Alfa Romeo Racing,1.0,0 days 00:01:21.488000,81.488,,0 days 00:00:39.874000,0 days 00:00:16.900000,SOFT,4.0,1.0,,,8.0,False,1
MAG,20,Haas F1 Team,1.0,0 days 00:01:22.322000,82.322,,0 days 00:00:40.266000,0 days 00:00:17.334000,SOFT,4.0,1.0,,,9.0,False,1
GIO,99,Alfa Romeo Racing,1.0,0 days 00:01:22.733000,82.733,,0 days 00:00:40.561000,0 days 00:00:17.217000,SOFT,1.0,1.0,,,10.0,False,1
LEC,16,Ferrari,1.0,0 days 00:01:23.300000,83.3,,0 days 00:00:40.543000,0 days 00:00:17.442000,MEDIUM,4.0,1.0,,,11.0,False,1
NOR,4,McLaren,1.0,0 days 00:01:23.435000,83.435,,0 days 00:00:41.100000,0 days 00:00:17.509000,SOFT,1.0,1.0,,,12.0,False,1
RIC,3,Renault,1.0,0 days 00:01:23.440000,83.44,,0 days 00:00:41.180000,0 days 00:00:17.139000,MEDIUM,1.0,1.0,,,13.0,False,1
STR,18,Racing Point,1.0,0 days 00:01:23.924000,83.924,,0 days 00:00:40.873000,0 days 00:00:17.133000,SOFT,1.0,1.0,,,14.0,False,1
PER,11,Racing Point,1.0,0 days 00:01:24.260000,84.26,,0 days 00:00:41.394000,0 days 00:00:17.130000,SOFT,1.0,1.0,,,15.0,False,1
HUL,27,Renault,1.0,0 days 00:01:24.845000,84.845,,0 days 00:00:41.584000,0 days 00:00:17.428000,MEDIUM,1.0,1.0,,,16.0,False,1
KVY,26,Toro Rosso,1.0,0 days 00:01:25.602000,85.602,,0 days 00:00:41.454000,0 days 00:00:18.002000,MEDIUM,1.0,1.0,,,17.0,False,1
SAI,55,McLaren,1.0,0 days 00:01:25.639000,85.639,,0 days 00:00:41.339000,0 days 00:00:17.586000,SOFT,1.0,1.0,,,18.0,False,1
KUB,88,Williams,1.0,0 days 00:01:25.993000,85.993,,0 days 00:00:41.600000,0 days 00:00:17.759000,MEDIUM,1.0,1.0,,,19.0,False,1
RUS,63,Williams,1.0,0 days 00:01:26.374000,86.374,,0 days 00:00:42.051000,0 days 00:00:17.327000,MEDIUM,1.0,1.0,,,20.0,False,1
VER,33,Red Bull Racing,2.0,0 days 00:01:13.099000,73.099,0 days 00:00:19.026000,0 days 00:00:37.303000,0 days 00:00:16.770000,SOFT,5.0,1.0,,,1.0,True,1
HAM,44,Mercedes,2.0,0 days 00:01:13.458000,73.458,0 days 00:00:19.037000,0 days 00:00:37.631000,0 days 00:00:16.790000,SOFT,5.0,1.0,,,2.0,True,1
VET,5,Ferrari,2.0,0 days 00:01:14.104000,74.104,0 days 00:00:19.197000,0 days 00:00:37.963000,0 days 00:00:16.944000,SOFT,5.0,1.0,,,3.0,True,1
BOT,77,Mercedes,2.0,0 days 00:01:14.106000,74.106,0 days 00:00:19.069000,0 days 00:00:38.083000,0 days 00:00:16.954000,SOFT,5.0,1.0,,,4.0,True,1
ALB,23,Red Bull Racing,2.0,0 days 00:01:13.891000,73.891,0 days 00:00:19.068000,0 days 00:00:37.907000,0 days 00:00:16.916000,SOFT,5.0,1.0,,,5.0,True,1
GAS,10,Toro Rosso,2.0,0 days 00:01:14.873000,74.873,0 days 00:00:19.324000,0 days 00:00:38.434000,0 days 00:00:17.115000,SOFT,5.0,1.0,,,6.0,True,1
GRO,8,Haas F1 Team,2.0,0 days 00:01:15.041000,75.041,0 days 00:00:19.430000,0 days 00:00:38.501000,0 days 00:00:17.110000,SOFT,5.0,1.0,,,7.0,True,1
RAI,7,Alfa Romeo Racing,2.0,0 days 00:01:15.125000,75.125,0 days 00:00:19.318000,0 days 00:00:38.904000,0 days 00:00:16.903000,SOFT,5.0,1.0,,,8.0,True,1
MAG,20,Haas F1 Team,2.0,0 days 00:01:15.667000,75.667,0 days 00:00:19.380000,0 days 00:00:38.993000,0 days 00:00:17.294000,SOFT,5.0,1.0,,,9.0,True,1
LEC,16,Ferrari,2.0,0 days 00:01:15.127000,75.127,0 days 00:00:19.449000,0 days 00:00:38.838000,0 days 00:00:16.840000,MEDIUM,5.0,1.0,,,10.0,True,1
GIO,99,Alfa Romeo Racing,2.0,0 days 00:01:15.757000,75.757,0 days 00:00:19.397000,0 days 00:00:38.936000,0 days 00:00:17.424000,SOFT,2.0,1.0,,,11.0,True,1
NOR,4,McLaren,2.0,0 days 00:01:16.013000,76.013,0 days 00:00:19.741000,0 days 00:00:39.019000,0 days 00:00:17.253000,SOFT,2.0,1.0,,,12.0,True,1
RIC,3,Renault,2.0,0 days 00:01:17.024000,77.024,0 days 00:00:19.817000,0 days 00:00:39.734000,0 days 00:00:17.473000,MEDIUM,2.0,1.0,,,13.0,True,1
STR,18,Racing Point,2.0,0 days 00:01:16.514000,76.514,0 days 00:00:19.634000,0 days 00:00:40.116000,0 days 00:00:16.764000,SOFT,2.0,1.0,,,14.0,True,1
PER,11,Racing Point,2.0,0 days 00:01:16.981000,76.981,0 days 00:00:19.742000,0 days 00:00:40.195000,0 days 00:00:17.044000,SOFT,2.0,1.0,,,15.0,True,1
HUL,27,Renault,2.0,0 days 00:01:16.883000,76.883,0 days 00:00:19.580000,0 days 00:00:40.234000,0 days 00:00:17.069000,MEDIUM,2.0,1.0,,,16.0,True,1
SAI,55,McLaren,2.0,0 days 00:01:16.183000,76.183,0 days 00:00:19.497000,0 days 00:00:39.772000,0 days 00:00:16.914000,SOFT,2.0,1.0,,,17.0,True,1
KVY,26,Toro Rosso,2.0,0 days 00:01:17.027000,77.027,0 days 00:00:19.597000,0 days 00:00:40.258000,0 days 00:00:17.172000,MEDIUM,2.0,1.0,,,18.0,True,1
KUB,88,Williams,2.0,0 days 00:01:17.965000,77.965,0 days 00:00:20.081000,0 days 00:00:40.449000,0 days 00:00:17.435000,MEDIUM,2.0,1.0,,,19.0,True,1
RUS,63,Williams,2.0,0 days 00:01:18.033000,78.033,0 days 00:00:20.176000,0 days 00:00:40.621000,0 days 00:00:17.236000,MEDIUM,2.0,1.0,,,20.0,True,1
VER,33,Red Bull Racing,3.0,0 days 00:01:13.007000,73.007,0 days 00:00:18.991000,0 days 00:00:37.266000,0 days 00:00:16.750000,SOFT,6.0,1.0,,,1.0,True,1
HAM,44,Mercedes,3.0,0 days 00:01:13.363000,73.363,0 days 00:00:18.923000,0 days 00:00:37.609000,0 days 00:00:16.831000,SOFT,6.0,1.0,,,2.0,True,1
VET,5,Ferrari,3.0,0 days 00:01:13.454000,73.454,0 days 00:00:18.893000,0 days 00:00:37.656000,0 days 00:00:16.905000,SOFT,6.0,1.0,,,3.0,True,1
BOT,77,Mercedes,3.0,0 days 00:01:13.822000,73.822,0 days 00:00:18.884000,0 days 00:00:37.967000,0 days 00:00:16.971000,SOFT,6.0,1.0,,,4.0,True,1
ALB,23,Red Bull Racing,3.0,0 days 00:01:14.164000,74.164,0 days 00:00:18.871000,0 days 00:00:38.323000,0 days 00:00:16.970000,SOFT,6.0,1.0,,,5.0,False,1
