pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,33,61,74.879,72.876,70.862,8.758,1.349
2,HAM,Mercedes,44,61,75.041,73.124,71.082,8.531,1.511
3,VET,Ferrari,5,58,74.702,73.28,71.384,6.547,1.172
4,ALB,Red Bull Racing,23,63,76.005,73.891,71.087,7.802,2.475
5,BOT,Mercedes,77,44,73.53,73.941,70.698,0.837,0.0
6,LEC,Ferrari,16,58,74.066,73.992,71.423,2.219,0.536
7,RIC,Renault,3,63,76.011,74.217,72.733,5.465,2.481
8,RAI,Alfa Romeo Racing,7,63,76.116,74.285,73.135,5.438,2.586
9,GAS,Toro Rosso,10,63,75.968,74.376,72.425,5.857,2.438
10,PER,Racing Point,11,63,76.328,74.417,72.84,5.468,2.798
11,GIO,Alfa Romeo Racing,99,63,76.218,74.418,73.02,5.432,2.688
12,SAI,McLaren,55,65,76.384,75.056,73.158,5.484,2.854
13,NOR,McLaren,4,63,75.753,75.101,72.328,3.572,2.223
14,GRO,Haas F1 Team,8,63,76.18,75.157,73.619,4.478,2.65
15,STR,Racing Point,18,58,75.172,75.158,72.603,1.706,1.642
16,MAG,Haas F1 Team,20,61,75.961,75.218,73.262,3.514,2.431
17,KVY,Toro Rosso,26,63,76.481,75.252,72.385,5.457,2.951
18,HUL,Renault,27,61,75.755,75.262,72.934,2.954,2.225
19,RUS,Williams,63,61,76.221,76.121,73.752,2.134,2.691
20,KUB,Williams,88,58,76.882,76.562,74.553,1.985,3.352
