stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,VER,Red Bull Racing,MEDIUM,3.0,46.0,53.0,8,71.703,71.843,70.962
2,VET,Ferrari,MEDIUM,2.0,27.0,48.0,22,72.724,72.687,72.259
3,VER,Red Bull Racing,SOFT,2.0,23.0,43.0,21,72.788,72.747,72.448
4,BOT,Mercedes,HARD,2.0,28.0,40.0,13,72.818,72.728,72.39
5,ALB,Red Bull Racing,MEDIUM,2.0,26.0,49.0,24,72.965,72.872,72.505
6,HAM,Mercedes,SOFT,2.0,22.0,42.0,21,72.983,73.027,72.455
7,BOT,Mercedes,MEDIUM,3.0,43.0,51.0,9,73.07,73.397,70.698
8,LEC,Ferrari,HARD,2.0,31.0,53.0,23,73.214,73.044,72.428
9,VER,Red Bull Racing,SOFT,1.0,1.0,20.0,20,73.703,73.608,73.007
10,HAM,Mercedes,SOFT,1.0,1.0,19.0,19,73.794,73.633,73.363
11,GAS,Toro Rosso,MEDIUM,2.0,24.0,46.0,23,73.904,73.847,73.385
12,RAI,Alfa Romeo Racing,MEDIUM,2.0,23.0,46.0,24,73.968,73.868,73.572
13,HUL,Renault,SOFT,3.0,46.0,52.0,7,74.04,73.884,73.227
14,MAG,Haas F1 Team,MEDIUM,2.0,29.0,52.0,24,74.054,73.888,73.623
15,GIO,Alfa Romeo Racing,MEDIUM,2.0,22.0,45.0,24,74.061,74.032,73.325
16,KVY,Toro Rosso,SOFT,2.0,25.0,45.0,21,74.061,73.945,72.951
17,VET,Ferrari,SOFT,1.0,1.0,24.0,24,74.12,73.938,73.454
18,LEC,Ferrari,SOFT,3.0,56.0,65.0,7,74.122,71.921,71.423
19,BOT,Mercedes,SOFT,1.0,2.0,24.0,22,74.139,74.129,73.822
20,PER,Racing Point,MEDIUM,2.0,19.0,44.0,26,74.163,74.13,73.489
21,STR,Racing Point,MEDIUM,2.0,30.0,52.0,23,74.167,73.95,73.459
22,RIC,Renault,SOFT,2.0,10.0,39.0,30,74.269,74.214,73.81
23,HUL,Renault,HARD,2.0,29.0,43.0,15,74.38,74.247,73.773
24,NOR,McLaren,HARD,2.0,29.0,52.0,24,74.416,74.179,73.321
25,ALB,Red Bull Racing,SOFT,1.0,1.0,23.0,23,74.604,74.377,73.891
26,LEC,Ferrari,MEDIUM,1.0,1.0,28.0,28,74.751,74.312,73.791
27,GAS,Toro Rosso,SOFT,1.0,1.0,21.0,21,75.15,74.9,74.212
28,RAI,Alfa Romeo Racing,SOFT,1.0,1.0,20.0,20,75.347,75.052,74.499
29,RUS,Williams,MEDIUM,2.0,25.0,51.0,27,75.352,75.161,74.635
30,GRO,Haas F1 Team,SOFT,1.0,1.0,25.0,25,75.528,75.244,74.683
31,NOR,McLaren,SOFT,1.0,1.0,26.0,26,75.584,75.268,74.766
32,GIO,Alfa Romeo Racing,SOFT,1.0,1.0,19.0,19,75.612,75.188,74.944
33,SAI,McLaren,SOFT,1.0,1.0,28.0,28,75.613,75.152,74.494
34,RUS,Williams,SOFT,4.0,70.0,71.0,2,75.666,75.666,74.32
