pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,HAM,Mercedes,44,64,75.948,75.626,74.813,0.796,0.0
2,LEC,Ferrari,16,64,75.968,75.667,74.356,0.91,0.02
3,VET,Ferrari,5,64,75.953,75.796,74.875,0.73,0.005
4,BOT,Mercedes,77,62,76.346,76.382,73.078,1.094,0.398
5,VER,Red Bull Racing,33,64,76.704,76.75,74.767,0.765,0.756
6,RIC,Renault,3,63,77.066,76.974,76.075,0.483,1.118
7,HUL,Renault,27,63,77.045,76.998,75.995,0.626,1.097
8,GAS,Red Bull Racing,10,63,77.207,77.134,76.157,0.624,1.259
9,STR,Racing Point,18,63,77.401,77.239,76.043,0.79,1.453
10,PER,Racing Point,11,63,77.565,77.318,76.314,0.789,1.617
11,KVY,Toro Rosso,26,63,77.439,77.333,76.198,0.827,1.491
12,SAI,McLaren,55,63,77.451,77.462,76.471,0.58,1.503
13,RAI,Alfa Romeo Racing,7,61,77.567,77.617,75.442,0.832,1.619
14,GRO,Haas F1 Team,8,63,77.8,77.658,76.245,1.054,1.852
15,GIO,Alfa Romeo Racing,99,63,77.783,77.758,76.365,0.888,1.835
16,ALB,Toro Rosso,23,54,78.431,78.168,77.151,0.832,2.483
17,RUS,Williams,63,62,78.763,78.48,77.241,1.159,2.815
18,MAG,Haas F1 Team,20,61,78.851,78.716,77.309,0.888,2.903
19,NOR,McLaren,4,7,79.741,78.788,78.023,3.052,3.793
20,KUB,Williams,88,59,79.248,79.14,77.285,1.184,3.3
