pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,HAM,Mercedes,44,49,97.428,97.18,95.892,1.056,0.0
2,VET,Ferrari,5,49,97.605,97.444,94.836,1.17,0.177
3,BOT,Mercedes,77,49,97.561,97.461,94.872,1.141,0.133
4,LEC,Ferrari,16,49,97.882,97.738,94.86,1.459,0.454
5,VER,Red Bull Racing,33,49,97.851,97.876,96.143,1.082,0.423
6,GAS,Red Bull Racing,10,47,98.579,98.751,94.742,1.239,1.151
7,STR,Racing Point,18,48,99.835,99.685,96.678,1.2,2.407
8,ALB,Toro Rosso,23,49,100.026,99.745,98.901,0.752,2.598
9,NOR,McLaren,4,40,99.76,99.758,98.346,0.731,2.332
10,PER,Racing Point,11,50,99.807,99.785,98.702,0.719,2.379
11,GIO,Alfa Romeo Racing,99,48,99.916,99.952,98.048,1.178,2.488
12,GRO,Haas F1 Team,8,48,99.697,99.961,96.873,1.188,2.269
13,RAI,Alfa Romeo Racing,7,50,99.884,99.977,97.812,0.992,2.456
14,RIC,Renault,3,50,99.808,99.98,98.632,0.689,2.38
15,MAG,Haas F1 Team,20,48,99.866,100.108,97.471,1.268,2.438
16,SAI,McLaren,55,48,99.553,100.127,97.502,1.062,2.125
17,KVY,Toro Rosso,26,32,99.927,100.17,97.975,1.189,2.499
18,HUL,Renault,27,12,101.213,100.714,99.677,1.797,3.785
19,RUS,Williams,63,47,101.371,101.677,97.283,1.305,3.943
20,KUB,Williams,88,49,101.869,102.033,99.772,1.119,4.441
