Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
HAM,44,Mercedes,1.0,0 days 00:01:42.031000,102.031,,0 days 00:00:29.624000,0 days 00:00:42.478000,MEDIUM,5.0,1.0,,,1.0,False,1
BOT,77,Mercedes,1.0,0 days 00:01:43.115000,103.115,,0 days 00:00:29.541000,0 days 00:00:42.580000,MEDIUM,6.0,1.0,,,2.0,False,1
LEC,16,Ferrari,1.0,0 days 00:01:44.454000,104.454,,0 days 00:00:29.843000,0 days 00:00:42.725000,MEDIUM,4.0,1.0,,,3.0,False,1
VER,33,Red Bull Racing,1.0,0 days 00:01:45.972000,105.972,,0 days 00:00:30.463000,0 days 00:00:43.151000,MEDIUM,6.0,1.0,,,4.0,False,1
SAI,55,McLaren,1.0,0 days 00:01:47.047000,107.047,,0 days 00:00:30.217000,0 days 00:00:43.960000,MEDIUM,6.0,1.0,,,5.0,False,1
NOR,4,McLaren,1.0,0 days 00:01:47.938000,107.938,,0 days 00:00:30.247000,0 days 00:00:44.284000,MEDIUM,6.0,1.0,,,6.0,False,1
VET,5,Ferrari,1.0,0 days 00:01:48.264000,108.264,,0 days 00:00:30.791000,0 days 00:00:43.713000,MEDIUM,4.0,1.0,,,7.0,False,1
GAS,10,Red Bull Racing,1.0,0 days 00:01:49.061000,109.061,,0 days 00:00:30.795000,0 days 00:00:44.047000,SOFT,4.0,1.0,,,8.0,False,1
GIO,99,Alfa Romeo Racing,1.0,0 days 00:01:49.520000,109.52,,0 days 00:00:30.704000,0 days 00:00:44.142000,SOFT,4.0,1.0,,,9.0,False,1
RIC,3,Renault,1.0,0 days 00:01:49.964000,109.964,,0 days 00:00:30.631000,0 days 00:00:44.216000,MEDIUM,5.0,1.0,,,10.0,False,1
RAI,7,Alfa Romeo Racing,1.0,0 days 00:01:50.410000,110.41,,0 days 00:00:31.086000,0 days 00:00:43.841000,HARD,1.0,1.0,,,11.0,False,1
HUL,27,Renault,1.0,0 days 00:01:51.038000,111.038,,0 days 00:00:31.744000,0 days 00:00:43.829000,HARD,1.0,1.0,,,12.0,False,1
PER,11,Racing Point,1.0,0 days 00:01:51.657000,111.657,,0 days 00:00:31.801000,0 days 00:00:44.065000,MEDIUM,1.0,1.0,,,13.0,False,1
MAG,20,Haas F1 Team,1.0,0 days 00:01:52.736000,112.736,,0 days 00:00:32.383000,0 days 00:00:44.292000,MEDIUM,1.0,1.0,,,14.0,False,1
STR,18,Racing Point,1.0,0 days 00:01:53.205000,113.205,,0 days 00:00:32.326000,0 days 00:00:44.523000,HARD,1.0,1.0,,,15.0,False,1
ALB,23,Toro Rosso,1.0,0 days 00:01:53.571000,113.571,,0 days 00:00:32.872000,0 days 00:00:44.534000,MEDIUM,1.0,1.0,,,16.0,False,1
KUB,88,Williams,1.0,0 days 00:01:54.848000,114.848,,0 days 00:00:32.868000,0 days 00:00:45.218000,MEDIUM,1.0,1.0,,,17.0,False,1
GRO,8,Haas F1 Team,1.0,0 days 00:01:55.366000,115.366,,0 days 00:00:32.597000,0 days 00:00:45.639000,HARD,1.0,1.0,,,18.0,False,1
RUS,63,Williams,1.0,0 days 00:01:56.082000,116.082,,0 days 00:00:32.514000,0 days 00:00:46.005000,MEDIUM,1.0,1.0,,,19.0,False,1
KVY,26,Toro Rosso,1.0,0 days 00:01:56.674000,116.674,,0 days 00:00:33.011000,0 days 00:00:46.293000,HARD,1.0,1.0,,,20.0,False,1
HAM,44,Mercedes,2.0,0 days 00:01:37.432000,97.432,0 days 00:00:24.852000,0 days 00:00:30.172000,0 days 00:00:42.408000,MEDIUM,6.0,1.0,,,1.0,True,1
BOT,77,Mercedes,2.0,0 days 00:01:37.718000,97.718,0 days 00:00:24.829000,0 days 00:00:30.124000,0 days 00:00:42.765000,MEDIUM,7.0,1.0,,,2.0,True,1
LEC,16,Ferrari,2.0,0 days 00:01:37.472000,97.472,0 days 00:00:24.724000,0 days 00:00:30.044000,0 days 00:00:42.704000,MEDIUM,5.0,1.0,,,3.0,True,1
VER,33,Red Bull Racing,2.0,0 days 00:01:37.252000,97.252,0 days 00:00:24.574000,0 days 00:00:29.980000,0 days 00:00:42.698000,MEDIUM,7.0,1.0,,,4.0,True,1
SAI,55,McLaren,2.0,0 days 00:01:38.970000,98.97,0 days 00:00:25.387000,0 days 00:00:30.260000,0 days 00:00:43.323000,MEDIUM,7.0,1.0,,,5.0,True,1
NOR,4,McLaren,2.0,0 days 00:01:39.175000,99.175,0 days 00:00:25.321000,0 days 00:00:30.363000,0 days 00:00:43.491000,MEDIUM,7.0,1.0,,,6.0,True,1
VET,5,Ferrari,2.0,0 days 00:01:39.354000,99.354,0 days 00:00:25.612000,0 days 00:00:30.302000,0 days 00:00:43.440000,MEDIUM,5.0,1.0,,,7.0,True,1
GAS,10,Red Bull Racing,2.0,0 days 00:01:39.382000,99.382,0 days 00:00:25.476000,0 days 00:00:30.380000,0 days 00:00:43.526000,SOFT,5.0,1.0,,,8.0,True,1
GIO,99,Alfa Romeo Racing,2.0,0 days 00:01:39.841000,99.841,0 days 00:00:25.683000,0 days 00:00:30.312000,0 days 00:00:43.846000,SOFT,5.0,1.0,,,9.0,True,1
RIC,3,Renault,2.0,0 days 00:01:39.847000,99.847,0 days 00:00:25.702000,0 days 00:00:30.108000,0 days 00:00:44.037000,MEDIUM,6.0,1.0,,,10.0,True,1
RAI,7,Alfa Romeo Racing,2.0,0 days 00:01:39.970000,99.97,0 days 00:00:25.818000,0 days 00:00:30.276000,0 days 00:00:43.876000,HARD,2.0,1.0,,,11.0,True,1
HUL,27,Renault,2.0,0 days 00:01:40.125000,100.125,0 days 00:00:25.795000,0 days 00:00:30.280000,0 days 00:00:44.050000,HARD,2.0,1.0,,,12.0,True,1
PER,11,Racing Point,2.0,0 days 00:01:40.182000,100.182,0 days 00:00:25.837000,0 days 00:00:30.360000,0 days 00:00:43.985000,MEDIUM,2.0,1.0,,,13.0,True,1
MAG,20,Haas F1 Team,2.0,0 days 00:01:39.948000,99.948,0 days 00:00:25.629000,0 days 00:00:30.530000,0 days 00:00:43.789000,MEDIUM,2.0,1.0,,,14.0,True,1
STR,18,Racing Point,2.0,0 days 00:01:40.067000,100.067,0 days 00:00:25.764000,0 days 00:00:30.193000,0 days 00:00:44.110000,HARD,2.0,1.0,,,15.0,True,1
ALB,23,Toro Rosso,2.0,0 days 00:01:40.230000,100.23,0 days 00:00:25.905000,0 days 00:00:30.130000,0 days 00:00:44.195000,MEDIUM,2.0,1.0,,,16.0,True,1
KUB,88,Williams,2.0,0 days 00:01:41.487000,101.487,0 days 00:00:26.118000,0 days 00:00:30.721000,0 days 00:00:44.648000,MEDIUM,2.0,1.0,,,17.0,True,1
GRO,8,Haas F1 Team,2.0,0 days 00:01:41.404000,101.404,0 days 00:00:26.051000,0 days 00:00:30.487000,0 days 00:00:44.866000,HARD,2.0,1.0,,,18.0,True,1
RUS,63,Williams,2.0,0 days 00:01:41.489000,101.489,0 days 00:00:26.189000,0 days 00:00:30.548000,0 days 00:00:44.752000,MEDIUM,2.0,1.0,,,19.0,True,1
KVY,26,Toro Rosso,2.0,0 days 00:01:41.302000,101.302,0 days 00:00:26.017000,0 days 00:00:30.636000,0 days 00:00:44.649000,HARD,2.0,1.0,,,20.0,True,1
