stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,VET,Ferrari,SOFT,3.0,53.0,53.0,1,92.74,92.74,92.74
2,HAM,Mercedes,HARD,2.0,26.0,53.0,26,94.318,94.35,92.764
3,LEC,Ferrari,HARD,2.0,23.0,53.0,30,94.572,94.614,93.828
4,BOT,Mercedes,HARD,2.0,25.0,53.0,28,94.606,94.52,93.586
5,VET,Ferrari,HARD,2.0,27.0,49.0,23,94.626,94.61,93.843
6,VER,Red Bull Racing,HARD,2.0,22.0,53.0,31,94.896,94.778,94.162
7,STR,Racing Point,MEDIUM,2.0,41.0,52.0,11,95.484,95.229,94.924
8,HAM,Mercedes,MEDIUM,1.0,2.0,23.0,22,95.574,95.472,94.683
9,HUL,Renault,MEDIUM,2.0,36.0,52.0,16,95.616,95.404,94.754
10,GIO,Alfa Romeo Racing,MEDIUM,3.0,36.0,52.0,16,95.701,95.642,95.115
11,RAI,Alfa Romeo Racing,MEDIUM,2.0,33.0,52.0,19,95.809,95.65,94.95
12,BOT,Mercedes,MEDIUM,1.0,3.0,22.0,20,95.837,95.786,95.079
13,KVY,Toro Rosso,MEDIUM,2.0,34.0,52.0,18,95.844,95.64,95.225
14,SAI,McLaren,HARD,2.0,21.0,53.0,31,96.102,96.236,94.561
15,LEC,Ferrari,MEDIUM,1.0,3.0,20.0,18,96.102,95.841,95.43
16,VET,Ferrari,MEDIUM,1.0,3.0,24.0,22,96.225,95.878,95.366
17,PER,Racing Point,HARD,2.0,20.0,52.0,32,96.24,96.248,95.014
18,RIC,Renault,HARD,2.0,18.0,52.0,34,96.292,96.292,94.873
19,VER,Red Bull Racing,MEDIUM,1.0,2.0,19.0,17,96.38,96.272,95.876
20,GAS,Red Bull Racing,HARD,2.0,19.0,52.0,33,96.387,96.503,95.15
21,NOR,McLaren,HARD,2.0,20.0,52.0,31,96.393,96.246,95.197
22,ALB,Toro Rosso,HARD,2.0,27.0,52.0,25,96.415,96.29,95.029
23,GRO,Haas F1 Team,MEDIUM,2.0,33.0,44.0,12,96.662,96.099,95.691
24,MAG,Haas F1 Team,HARD,2.0,18.0,52.0,34,97.235,97.17,95.692
25,RUS,Williams,MEDIUM,3.0,35.0,51.0,16,97.262,96.866,95.83
26,HUL,Renault,HARD,1.0,3.0,33.0,31,97.336,97.178,95.611
27,STR,Racing Point,HARD,1.0,3.0,38.0,36,97.37,96.943,96.516
28,RAI,Alfa Romeo Racing,HARD,1.0,3.0,30.0,28,97.454,97.256,96.551
29,SAI,McLaren,MEDIUM,1.0,2.0,18.0,17,97.675,97.445,96.778
30,GIO,Alfa Romeo Racing,HARD,2.0,9.0,33.0,25,97.716,97.844,96.815
31,NOR,McLaren,MEDIUM,1.0,2.0,17.0,16,97.758,97.48,96.83
32,KVY,Toro Rosso,HARD,1.0,3.0,31.0,29,97.837,97.715,96.6
33,RUS,Williams,HARD,2.0,27.0,32.0,6,97.844,97.812,97.171
34,RIC,Renault,MEDIUM,1.0,3.0,15.0,13,97.987,97.735,97.387
35,GAS,Red Bull Racing,SOFT,1.0,3.0,16.0,14,97.991,97.896,97.355
36,PER,Racing Point,MEDIUM,1.0,3.0,17.0,15,98.049,97.876,96.865
37,ALB,Toro Rosso,MEDIUM,1.0,3.0,24.0,22,98.058,98.125,96.918
38,GRO,Haas F1 Team,HARD,1.0,3.0,30.0,27,98.098,98.214,96.868
39,KUB,Williams,HARD,2.0,26.0,51.0,24,98.216,98.112,96.608
40,MAG,Haas F1 Team,MEDIUM,1.0,3.0,15.0,13,98.95,98.876,98.422
41,GIO,Alfa Romeo Racing,SOFT,1.0,2.0,5.0,4,99.163,98.999,98.812
42,RUS,Williams,MEDIUM,1.0,2.0,24.0,22,99.649,99.575,98.497
43,KUB,Williams,MEDIUM,1.0,2.0,23.0,22,100.073,100.0,98.845
