pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,HAM,Mercedes,44,50,91.076,90.315,77.485,10.774,0.0
2,VER,Red Bull Racing,33,51,92.181,90.413,76.645,13.767,1.105
3,BOT,Mercedes,77,45,92.982,90.765,78.272,11.848,1.906
4,LEC,Ferrari,16,20,91.287,91.004,87.697,1.853,0.211
5,HUL,Renault,27,31,94.935,91.707,89.576,9.018,3.859
6,VET,Ferrari,5,51,93.192,91.912,76.794,12.441,2.116
7,ALB,Toro Rosso,23,54,94.043,92.024,77.85,13.263,2.967
8,SAI,McLaren,55,55,94.721,92.054,77.841,13.268,3.645
9,RAI,Alfa Romeo Racing,7,53,93.271,92.234,77.746,11.496,2.195
10,MAG,Haas F1 Team,20,49,92.618,92.458,79.062,11.036,1.542
11,STR,Racing Point,18,51,92.665,92.657,77.831,11.451,1.589
12,GAS,Red Bull Racing,10,50,94.343,92.712,77.495,11.625,3.267
13,GIO,Alfa Romeo Racing,99,53,93.382,92.863,77.507,11.737,2.306
14,GRO,Haas F1 Team,8,51,92.037,93.004,78.811,9.619,0.961
15,KVY,Toro Rosso,26,53,93.526,93.011,77.708,12.2,2.45
16,NOR,McLaren,4,20,96.17,93.036,91.081,7.757,5.094
17,RUS,Williams,63,51,94.681,94.272,79.3,10.622,3.605
18,RIC,Renault,3,10,96.537,94.642,92.654,5.185,5.461
19,KUB,Williams,88,51,94.601,94.867,79.563,10.685,3.525
20,PER,Racing Point,11,1,112.843,112.843,112.843,0.0,21.767
