Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
ALB,Toro Rosso,2,3.0,WET,INTERMEDIATE
VET,Ferrari,2,3.0,WET,INTERMEDIATE
BOT,Mercedes,3,4.0,WET,INTERMEDIATE
GAS,Red Bull Racing,3,4.0,WET,INTERMEDIATE
GIO,Alfa Romeo Racing,3,4.0,WET,INTERMEDIATE
GRO,Haas F1 Team,3,4.0,WET,INTERMEDIATE
HAM,Mercedes,3,4.0,WET,INTERMEDIATE
HUL,Renault,3,4.0,WET,INTERMEDIATE
KVY,Toro Rosso,3,4.0,WET,INTERMEDIATE
LEC,Ferrari,3,4.0,WET,INTERMEDIATE
RAI,Alfa Romeo Racing,3,4.0,WET,INTERMEDIATE
RIC,Renault,3,4.0,WET,INTERMEDIATE
SAI,McLaren,3,4.0,WET,INTERMEDIATE
VER,Red Bull Racing,3,4.0,WET,INTERMEDIATE
NOR,McLaren,6,7.0,WET,INTERMEDIATE
KUB,Williams,7,8.0,WET,INTERMEDIATE
RUS,Williams,7,8.0,WET,INTERMEDIATE
STR,Racing Point,7,8.0,WET,INTERMEDIATE
MAG,Haas F1 Team,8,9.0,WET,INTERMEDIATE
HUL,Renault,15,16.0,INTERMEDIATE,INTERMEDIATE
LEC,Ferrari,15,16.0,INTERMEDIATE,INTERMEDIATE
MAG,Haas F1 Team,21,22.0,INTERMEDIATE,SOFT
KUB,Williams,23,24.0,INTERMEDIATE,INTERMEDIATE
VET,Ferrari,23,24.0,INTERMEDIATE,SOFT
RUS,Williams,24,25.0,INTERMEDIATE,INTERMEDIATE
KVY,Toro Rosso,25,26.0,INTERMEDIATE,SOFT
NOR,McLaren,25,,INTERMEDIATE,
STR,Racing Point,25,27.0,INTERMEDIATE,MEDIUM
VER,Red Bull Racing,25,26.0,INTERMEDIATE,MEDIUM
BOT,Mercedes,26,27.0,INTERMEDIATE,MEDIUM
GAS,Red Bull Racing,26,27.0,INTERMEDIATE,SOFT
GIO,Alfa Romeo Racing,26,27.0,INTERMEDIATE,MEDIUM
GRO,Haas F1 Team,26,28.0,INTERMEDIATE,SOFT
RAI,Alfa Romeo Racing,26,27.0,INTERMEDIATE,MEDIUM
ALB,Toro Rosso,27,28.0,INTERMEDIATE,SOFT
LEC,Ferrari,27,,INTERMEDIATE,
SAI,McLaren,27,28.0,INTERMEDIATE,INTERMEDIATE
ALB,Toro Rosso,28,29.0,SOFT,INTERMEDIATE
GAS,Red Bull Racing,28,29.0,SOFT,INTERMEDIATE
GIO,Alfa Romeo Racing,28,29.0,MEDIUM,INTERMEDIATE
GRO,Haas F1 Team,28,29.0,SOFT,INTERMEDIATE
HAM,Mercedes,28,31.0,INTERMEDIATE,INTERMEDIATE
KVY,Toro Rosso,28,29.0,SOFT,INTERMEDIATE
RAI,Alfa Romeo Racing,28,29.0,MEDIUM,INTERMEDIATE
STR,Racing Point,28,29.0,MEDIUM,INTERMEDIATE
VET,Ferrari,28,29.0,SOFT,INTERMEDIATE
HUL,Renault,29,30.0,INTERMEDIATE,INTERMEDIATE
MAG,Haas F1 Team,29,30.0,SOFT,INTERMEDIATE
VER,Red Bull Racing,29,30.0,MEDIUM,INTERMEDIATE
BOT,Mercedes,30,31.0,MEDIUM,INTERMEDIATE
KUB,Williams,31,32.0,INTERMEDIATE,INTERMEDIATE
GRO,Haas F1 Team,41,42.0,INTERMEDIATE,INTERMEDIATE
RUS,Williams,41,42.0,INTERMEDIATE,INTERMEDIATE
STR,Racing Point,41,42.0,INTERMEDIATE,INTERMEDIATE
VER,Red Bull Racing,41,42.0,INTERMEDIATE,INTERMEDIATE
VET,Ferrari,41,42.0,INTERMEDIATE,INTERMEDIATE
MAG,Haas F1 Team,42,43.0,INTERMEDIATE,INTERMEDIATE
STR,Racing Point,44,45.0,INTERMEDIATE,SOFT
KVY,Toro Rosso,45,46.0,INTERMEDIATE,SOFT
MAG,Haas F1 Team,45,46.0,INTERMEDIATE,SOFT
ALB,Toro Rosso,46,47.0,INTERMEDIATE,SOFT
BOT,Mercedes,46,47.0,INTERMEDIATE,SOFT
GAS,Red Bull Racing,46,47.0,INTERMEDIATE,SOFT
GRO,Haas F1 Team,46,47.0,INTERMEDIATE,SOFT
KUB,Williams,46,47.0,INTERMEDIATE,SOFT
SAI,McLaren,46,47.0,INTERMEDIATE,SOFT
VER,Red Bull Racing,46,47.0,INTERMEDIATE,SOFT
GIO,Alfa Romeo Racing,47,48.0,INTERMEDIATE,SOFT
HAM,Mercedes,47,48.0,INTERMEDIATE,SOFT
RAI,Alfa Romeo Racing,47,48.0,INTERMEDIATE,SOFT
RUS,Williams,47,48.0,INTERMEDIATE,SOFT
VET,Ferrari,47,48.0,INTERMEDIATE,SOFT
HAM,Mercedes,53,54.0,SOFT,SOFT
HAM,Mercedes,56,57.0,SOFT,SOFT
KUB,Williams,57,58.0,SOFT,SOFT
MAG,Haas F1 Team,57,58.0,SOFT,SOFT
RUS,Williams,57,58.0,SOFT,SOFT
