stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,HAM,Mercedes,SOFT,7.0,58.0,64.0,7,78.402,77.869,77.485
2,BOT,Mercedes,SOFT,5.0,48.0,56.0,9,79.012,78.774,78.272
3,HAM,Mercedes,SOFT,5.0,49.0,52.0,4,79.199,79.019,77.949
4,HAM,Mercedes,SOFT,6.0,55.0,55.0,1,79.249,79.249,79.249
5,MAG,Haas F1 Team,SOFT,7.0,59.0,64.0,6,79.841,79.468,79.062
6,RUS,Williams,SOFT,6.0,59.0,64.0,6,80.232,80.042,79.3
7,KUB,Williams,SOFT,6.0,59.0,64.0,6,80.426,80.058,79.563
8,MAG,Haas F1 Team,SOFT,6.0,47.0,56.0,10,81.282,81.072,80.119
9,RUS,Williams,SOFT,5.0,49.0,56.0,8,82.219,80.89,79.952
10,KUB,Williams,SOFT,5.0,48.0,56.0,9,82.311,80.949,79.892
11,VET,Ferrari,SOFT,6.0,49.0,64.0,15,82.796,77.85,76.794
12,KVY,Toro Rosso,SOFT,5.0,47.0,64.0,17,83.02,78.735,77.708
13,GRO,Haas F1 Team,SOFT,6.0,48.0,64.0,16,83.296,79.69,78.811
14,STR,Racing Point,SOFT,6.0,46.0,64.0,18,84.017,79.437,77.831
15,GIO,Alfa Romeo Racing,SOFT,5.0,49.0,64.0,16,84.685,78.598,77.507
16,ALB,Toro Rosso,SOFT,5.0,48.0,64.0,17,85.218,78.936,77.85
17,RAI,Alfa Romeo Racing,SOFT,5.0,49.0,64.0,16,85.248,79.022,77.746
18,SAI,McLaren,SOFT,4.0,48.0,64.0,17,85.425,78.995,77.841
19,VER,Red Bull Racing,SOFT,6.0,48.0,64.0,17,85.44,78.018,76.645
20,GAS,Red Bull Racing,SOFT,5.0,48.0,61.0,14,86.826,80.104,77.495
21,VER,Red Bull Racing,INTERMEDIATE,4.0,34.0,40.0,7,88.324,88.516,87.623
22,LEC,Ferrari,INTERMEDIATE,3.0,17.0,26.0,10,91.265,91.715,87.697
23,LEC,Ferrari,INTERMEDIATE,2.0,5.0,14.0,10,91.31,90.535,89.612
24,HUL,Renault,INTERMEDIATE,2.0,5.0,14.0,10,91.996,91.627,90.427
25,HAM,Mercedes,INTERMEDIATE,2.0,5.0,27.0,23,92.156,91.503,89.022
26,VER,Red Bull Racing,INTERMEDIATE,2.0,5.0,24.0,20,92.435,91.244,89.574
27,BOT,Mercedes,INTERMEDIATE,2.0,5.0,25.0,21,92.447,91.108,89.482
28,RAI,Alfa Romeo Racing,INTERMEDIATE,2.0,5.0,25.0,21,93.823,92.906,90.374
29,NOR,McLaren,INTERMEDIATE,2.0,8.0,24.0,17,93.988,92.713,91.081
30,STR,Racing Point,INTERMEDIATE,2.0,9.0,24.0,16,94.178,92.902,91.695
31,GRO,Haas F1 Team,INTERMEDIATE,4.0,31.0,40.0,10,94.272,93.546,91.12
32,VET,Ferrari,INTERMEDIATE,4.0,30.0,40.0,9,94.402,90.825,90.138
33,GIO,Alfa Romeo Racing,INTERMEDIATE,2.0,5.0,25.0,21,94.427,93.199,91.793
34,STR,Racing Point,INTERMEDIATE,5.0,43.0,43.0,1,94.45,94.45,94.45
35,GAS,Red Bull Racing,INTERMEDIATE,2.0,5.0,25.0,21,94.463,93.094,89.986
36,HUL,Renault,INTERMEDIATE,3.0,17.0,28.0,12,94.94,93.624,89.576
37,GRO,Haas F1 Team,INTERMEDIATE,2.0,5.0,25.0,21,94.99,93.307,92.187
38,MAG,Haas F1 Team,INTERMEDIATE,2.0,10.0,20.0,11,95.041,93.053,91.529
39,ALB,Toro Rosso,INTERMEDIATE,2.0,4.0,26.0,23,95.091,92.885,91.425
40,KVY,Toro Rosso,INTERMEDIATE,2.0,5.0,24.0,20,95.092,93.881,91.827
41,RIC,Renault,INTERMEDIATE,2.0,5.0,13.0,9,95.133,93.802,92.654
42,VET,Ferrari,INTERMEDIATE,2.0,4.0,22.0,19,95.326,93.105,90.81
43,SAI,McLaren,INTERMEDIATE,2.0,5.0,26.0,22,95.37,93.409,91.226
44,RUS,Williams,INTERMEDIATE,2.0,9.0,23.0,15,96.62,96.674,92.489
45,KUB,Williams,INTERMEDIATE,2.0,9.0,22.0,14,96.661,95.2,92.763
46,HUL,Renault,INTERMEDIATE,4.0,33.0,39.0,7,96.944,90.656,89.853
47,MAG,Haas F1 Team,INTERMEDIATE,4.0,31.0,41.0,10,97.451,94.359,91.0
48,STR,Racing Point,INTERMEDIATE,4.0,30.0,40.0,11,97.458,93.129,90.584
49,HAM,Mercedes,WET,1.0,1.0,2.0,2,97.51,97.51,94.72
50,MAG,Haas F1 Team,SOFT,3.0,23.0,27.0,5,98.079,93.501,91.378
51,KUB,Williams,INTERMEDIATE,4.0,33.0,45.0,13,98.596,95.293,93.221
52,RUS,Williams,INTERMEDIATE,3.0,26.0,40.0,13,98.817,94.402,92.627
53,BOT,Mercedes,WET,1.0,1.0,2.0,2,99.234,99.234,96.275
54,GIO,Alfa Romeo Racing,INTERMEDIATE,4.0,30.0,46.0,14,99.335,94.354,89.574
55,HAM,Mercedes,INTERMEDIATE,4.0,31.0,46.0,13,99.565,90.491,87.548
56,BOT,Mercedes,INTERMEDIATE,4.0,34.0,45.0,11,99.983,90.541,87.948
57,GAS,Red Bull Racing,INTERMEDIATE,4.0,30.0,44.0,13,100.175,95.956,89.882
58,RAI,Alfa Romeo Racing,INTERMEDIATE,4.0,30.0,46.0,14,100.434,95.599,88.201
59,VER,Red Bull Racing,WET,1.0,1.0,2.0,2,100.494,100.494,95.883
60,KVY,Toro Rosso,INTERMEDIATE,4.0,30.0,44.0,14,101.315,95.526,90.819
61,RAI,Alfa Romeo Racing,WET,1.0,1.0,2.0,2,101.512,101.512,98.472
62,RUS,Williams,INTERMEDIATE,4.0,43.0,46.0,4,101.652,99.67,89.774
63,VET,Ferrari,SOFT,3.0,25.0,27.0,3,101.663,95.814,93.479
