Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
LEC,16,Ferrari,1.0,0 days 00:01:29.892000,89.892,,0 days 00:00:33.137000,0 days 00:00:25.983000,MEDIUM,4.0,1.0,,,1.0,False,16
VET,5,Ferrari,1.0,0 days 00:01:32.867000,92.867,,0 days 00:00:33.521000,0 days 00:00:28.252000,MEDIUM,4.0,1.0,,,2.0,False,16
ALB,23,Red Bull Racing,1.0,0 days 00:01:33.730000,93.73,,0 days 00:00:33.082000,0 days 00:00:28.464000,MEDIUM,4.0,1.0,,,3.0,False,16
SAI,55,McLaren,1.0,0 days 00:01:36.038000,96.038,,0 days 00:00:33.068000,0 days 00:00:29.702000,SOFT,4.0,1.0,,,4.0,False,16
HAM,44,Mercedes,1.0,0 days 00:01:39.041000,99.041,,0 days 00:00:33.700000,0 days 00:00:32.027000,MEDIUM,4.0,1.0,,,5.0,False,16
NOR,4,McLaren,1.0,0 days 00:01:41.168000,101.168,,0 days 00:00:34.432000,0 days 00:00:33.184000,SOFT,4.0,1.0,,,6.0,False,16
BOT,77,Mercedes,1.0,0 days 00:01:42.468000,102.468,,0 days 00:00:34.673000,0 days 00:00:34.090000,MEDIUM,4.0,1.0,,,7.0,False,16
VER,33,Red Bull Racing,1.0,0 days 00:01:43.698000,103.698,,0 days 00:00:35.147000,0 days 00:00:34.662000,MEDIUM,4.0,1.0,,,8.0,False,16
KVY,26,Toro Rosso,1.0,0 days 00:01:45.296000,105.296,,0 days 00:00:35.456000,0 days 00:00:36.087000,SOFT,4.0,1.0,,,9.0,False,16
GAS,10,Toro Rosso,1.0,0 days 00:01:46.554000,106.554,,0 days 00:00:35.803000,0 days 00:00:36.771000,SOFT,4.0,1.0,,,10.0,False,16
PER,11,Racing Point,1.0,0 days 00:01:47.707000,107.707,,0 days 00:00:36.006000,0 days 00:00:37.479000,MEDIUM,1.0,1.0,,,11.0,False,16
RIC,3,Renault,1.0,0 days 00:01:48.810000,108.81,,0 days 00:00:36.236000,0 days 00:00:38.116000,HARD,1.0,1.0,,,12.0,False,16
HUL,27,Renault,1.0,0 days 00:01:49.482000,109.482,,0 days 00:00:36.381000,0 days 00:00:38.431000,MEDIUM,1.0,1.0,,,13.0,False,16
STR,18,Racing Point,1.0,0 days 00:01:50.337000,110.337,,0 days 00:00:36.521000,0 days 00:00:38.927000,MEDIUM,1.0,1.0,,,14.0,False,16
GIO,99,Alfa Romeo Racing,1.0,0 days 00:01:51.260000,111.26,,0 days 00:00:36.687000,0 days 00:00:39.512000,MEDIUM,1.0,1.0,,,15.0,False,16
RAI,7,Alfa Romeo Racing,1.0,0 days 00:01:52.968000,112.968,,0 days 00:00:36.446000,0 days 00:00:40.860000,MEDIUM,1.0,1.0,,,16.0,False,16
MAG,20,Haas F1 Team,1.0,0 days 00:01:53.852000,113.852,,0 days 00:00:36.795000,0 days 00:00:41.524000,MEDIUM,1.0,1.0,,,17.0,False,16
KUB,88,Williams,1.0,0 days 00:01:54.406000,114.406,,0 days 00:00:36.378000,0 days 00:00:41.760000,MEDIUM,1.0,1.0,,,18.0,False,16
RUS,63,Williams,1.0,0 days 00:01:55.037000,115.037,,0 days 00:00:37.580000,0 days 00:00:41.912000,MEDIUM,1.0,1.0,,,19.0,False,16
GRO,8,Haas F1 Team,1.0,0 days 00:01:55.895000,115.895,,0 days 00:00:37.160000,0 days 00:00:42.404000,MEDIUM,1.0,1.0,,,20.0,False,16
LEC,16,Ferrari,2.0,0 days 00:01:49.552000,109.552,0 days 00:00:38.223000,0 days 00:00:43.712000,0 days 00:00:27.617000,MEDIUM,5.0,1.0,,,1.0,True,6
VET,5,Ferrari,2.0,0 days 00:01:48.225000,108.225,0 days 00:00:37.934000,0 days 00:00:43.068000,0 days 00:00:27.223000,MEDIUM,5.0,1.0,,,2.0,True,6
ALB,23,Red Bull Racing,2.0,0 days 00:01:48.294000,108.294,0 days 00:00:38.376000,0 days 00:00:42.893000,0 days 00:00:27.025000,MEDIUM,5.0,1.0,,,3.0,True,6
