pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,LEC,Ferrari,16,63,80.577,80.696,79.232,0.796,0.0
2,BOT,Mercedes,77,65,80.742,80.774,79.494,0.739,0.165
3,ALB,Red Bull Racing,23,63,80.723,80.804,79.325,0.784,0.146
4,HAM,Mercedes,44,65,80.8,80.975,79.461,0.657,0.223
5,VET,Ferrari,5,65,80.846,80.978,79.381,0.792,0.269
6,VER,Red Bull Racing,33,65,81.314,81.112,80.406,0.81,0.737
7,PER,Racing Point,11,65,81.761,81.695,80.485,0.919,1.184
8,SAI,McLaren,55,62,82.001,81.76,80.311,1.232,1.424
9,GAS,Toro Rosso,10,62,81.892,81.815,79.53,1.43,1.315
10,KVY,Toro Rosso,26,62,81.843,81.85,79.905,1.109,1.266
11,RIC,Renault,3,65,81.786,81.86,80.146,1.013,1.209
12,HUL,Renault,27,64,82.142,81.9,80.791,0.969,1.565
13,GIO,Alfa Romeo Racing,99,64,82.325,82.058,81.014,0.98,1.748
14,STR,Racing Point,18,64,82.351,82.239,80.922,0.862,1.774
15,RAI,Alfa Romeo Racing,7,50,82.619,82.398,80.082,1.153,2.042
16,MAG,Haas F1 Team,20,63,82.986,82.611,81.682,1.09,2.409
17,NOR,McLaren,4,42,83.141,82.78,81.643,1.051,2.564
18,KUB,Williams,88,61,83.554,83.61,80.696,1.161,2.977
19,RUS,Williams,63,63,83.668,83.703,81.286,1.119,3.091
20,GRO,Haas F1 Team,8,63,83.7,84.082,81.581,1.378,3.123
