Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
VER,Red Bull Racing,5,6.0,MEDIUM,HARD
GAS,Toro Rosso,9,10.0,SOFT,HARD
KVY,Toro Rosso,10,11.0,SOFT,HARD
NOR,McLaren,12,14.0,SOFT,HARD
ALB,Red Bull Racing,14,15.0,MEDIUM,MEDIUM
LEC,Ferrari,15,16.0,MEDIUM,MEDIUM
RAI,Alfa Romeo Racing,15,16.0,MEDIUM,HARD
SAI,McLaren,15,16.0,SOFT,HARD
HUL,Renault,18,19.0,MEDIUM,HARD
PER,Racing Point,20,21.0,MEDIUM,HARD
GIO,Alfa Romeo Racing,21,22.0,MEDIUM,HARD
KUB,Williams,21,22.0,MEDIUM,HARD
RUS,Williams,22,23.0,MEDIUM,HARD
HAM,Mercedes,23,24.0,MEDIUM,HARD
MAG,Haas F1 Team,28,29.0,MEDIUM,HARD
SAI,McLaren,35,36.0,HARD,MEDIUM
BOT,Mercedes,36,37.0,MEDIUM,HARD
GRO,Haas F1 Team,37,38.0,MEDIUM,HARD
STR,Racing Point,37,38.0,MEDIUM,HARD
VET,Ferrari,37,38.0,MEDIUM,HARD
LEC,Ferrari,43,44.0,MEDIUM,HARD
ALB,Red Bull Racing,44,45.0,MEDIUM,HARD
KVY,Toro Rosso,44,45.0,HARD,MEDIUM
NOR,McLaren,48,,HARD,
GAS,Toro Rosso,49,50.0,HARD,MEDIUM
RIC,Renault,50,51.0,HARD,MEDIUM
RAI,Alfa Romeo Racing,52,53.0,HARD,MEDIUM
RAI,Alfa Romeo Racing,58,,MEDIUM,
KUB,Williams,60,61.0,HARD,MEDIUM
