pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,LEC,Ferrari,16,43,97.978,97.74,96.193,1.054,0.059
2,HAM,Mercedes,44,43,97.919,98.277,95.761,1.107,0.0
3,BOT,Mercedes,77,44,98.278,98.456,96.316,1.351,0.359
4,VET,Ferrari,5,21,98.859,98.843,98.245,0.365,0.94
5,VER,Red Bull Racing,33,45,99.123,99.408,96.937,1.79,1.204
6,PER,Racing Point,11,45,101.314,100.264,98.043,4.938,3.395
7,HUL,Renault,27,44,100.819,100.268,98.519,2.548,2.9
8,SAI,McLaren,55,45,101.145,100.313,98.02,4.88,3.226
9,ALB,Red Bull Racing,23,44,100.168,100.522,96.762,1.964,2.249
10,MAG,Haas F1 Team,20,45,100.55,100.586,98.13,1.565,2.631
11,NOR,McLaren,4,45,101.482,100.602,98.301,4.706,3.563
12,STR,Racing Point,18,45,100.838,100.729,98.611,1.968,2.919
13,KVY,Toro Rosso,26,44,100.814,100.914,98.228,1.604,2.895
14,RAI,Alfa Romeo Racing,7,43,100.943,101.118,98.589,1.482,3.024
15,GAS,Toro Rosso,10,46,102.399,101.456,98.606,5.618,4.48
16,GIO,Alfa Romeo Racing,99,46,102.183,101.504,98.696,4.649,4.264
17,RUS,Williams,63,22,102.466,102.36,101.705,0.58,4.547
18,RIC,Renault,3,20,102.633,102.408,101.284,0.964,4.714
19,KUB,Williams,88,22,103.749,103.588,102.327,0.791,5.83
