Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
KUB,Williams,1,4.0,MEDIUM,MEDIUM
RIC,Renault,1,2.0,SOFT,MEDIUM
RAI,Alfa Romeo Racing,9,10.0,MEDIUM,MEDIUM
HUL,Renault,16,17.0,SOFT,MEDIUM
NOR,McLaren,20,21.0,SOFT,MEDIUM
SAI,McLaren,21,22.0,SOFT,MEDIUM
LEC,Ferrari,22,23.0,SOFT,MEDIUM
PER,Racing Point,23,24.0,SOFT,MEDIUM
RIC,Renault,24,,MEDIUM,
GAS,Toro Rosso,26,27.0,MEDIUM,SOFT
VET,Ferrari,26,,SOFT,
GIO,Alfa Romeo Racing,27,28.0,HARD,MEDIUM
KVY,Toro Rosso,27,28.0,HARD,SOFT
MAG,Haas F1 Team,27,28.0,SOFT,MEDIUM
RAI,Alfa Romeo Racing,27,28.0,MEDIUM,SOFT
RUS,Williams,27,,MEDIUM,
STR,Racing Point,27,28.0,MEDIUM,SOFT
BOT,Mercedes,28,29.0,MEDIUM,SOFT
HAM,Mercedes,28,29.0,MEDIUM,SOFT
KUB,Williams,28,,MEDIUM,
VER,Red Bull Racing,28,29.0,SOFT,MEDIUM
ALB,Red Bull Racing,29,31.0,MEDIUM,SOFT
HUL,Renault,29,31.0,MEDIUM,SOFT
KVY,Toro Rosso,29,31.0,SOFT,SOFT
