stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,LEC,Ferrari,SOFT,3.0,44.0,56.0,13,98.88,98.649,96.169
2,VER,Red Bull Racing,MEDIUM,3.0,36.0,56.0,21,99.022,98.798,98.214
3,BOT,Mercedes,MEDIUM,3.0,37.0,56.0,20,99.033,98.934,96.957
4,NOR,McLaren,MEDIUM,3.0,44.0,56.0,13,99.293,99.168,98.074
5,ALB,Red Bull Racing,SOFT,4.0,42.0,56.0,15,99.348,99.306,98.029
6,HAM,Mercedes,HARD,2.0,26.0,56.0,31,99.55,99.335,98.446
7,BOT,Mercedes,HARD,2.0,16.0,34.0,19,100.018,100.135,98.916
8,LEC,Ferrari,HARD,2.0,22.0,41.0,20,100.087,99.822,99.361
9,HUL,Renault,SOFT,3.0,41.0,55.0,15,100.169,99.747,98.437
10,VER,Red Bull Racing,HARD,2.0,15.0,33.0,19,100.209,100.191,99.604
11,KVY,Toro Rosso,SOFT,3.0,41.0,55.0,15,100.23,100.096,98.969
12,ALB,Red Bull Racing,MEDIUM,3.0,22.0,39.0,18,100.243,100.264,99.204
13,HUL,Renault,MEDIUM,2.0,29.0,38.0,10,100.359,100.242,99.825
14,RAI,Alfa Romeo Racing,SOFT,3.0,42.0,55.0,14,100.77,101.012,99.608
15,BOT,Mercedes,MEDIUM,1.0,1.0,13.0,10,100.96,100.987,100.317
16,GIO,Alfa Romeo Racing,SOFT,3.0,41.0,55.0,15,101.015,100.798,99.964
17,PER,Racing Point,HARD,2.0,26.0,54.0,28,101.176,100.935,100.165
18,KVY,Toro Rosso,MEDIUM,2.0,23.0,38.0,16,101.201,101.07,100.548
19,HAM,Mercedes,MEDIUM,1.0,2.0,23.0,20,101.203,101.245,100.35
20,VER,Red Bull Racing,MEDIUM,1.0,1.0,10.0,9,101.225,101.218,100.651
21,RIC,Renault,HARD,2.0,23.0,56.0,34,101.253,101.198,100.564
22,SAI,McLaren,HARD,2.0,20.0,53.0,34,101.431,101.26,100.844
23,NOR,McLaren,HARD,2.0,21.0,41.0,21,101.439,101.395,100.378
24,MAG,Haas F1 Team,SOFT,3.0,42.0,52.0,11,101.457,101.509,100.347
25,GAS,Toro Rosso,HARD,2.0,21.0,50.0,30,101.578,101.453,100.85
26,STR,Racing Point,SOFT,3.0,31.0,55.0,25,101.594,101.404,100.38
27,RAI,Alfa Romeo Racing,HARD,2.0,20.0,39.0,20,101.675,101.681,101.106
28,ALB,Red Bull Racing,MEDIUM,2.0,3.0,19.0,14,101.796,101.918,100.155
29,GRO,Haas F1 Team,HARD,2.0,26.0,55.0,30,102.171,101.931,101.27
30,LEC,Ferrari,MEDIUM,1.0,2.0,19.0,16,102.191,102.256,101.504
31,GIO,Alfa Romeo Racing,HARD,2.0,19.0,38.0,20,102.312,101.978,101.163
32,MAG,Haas F1 Team,HARD,2.0,20.0,39.0,20,102.388,102.104,101.59
33,STR,Racing Point,HARD,2.0,11.0,28.0,18,102.422,102.382,101.749
34,RIC,Renault,SOFT,1.0,2.0,19.0,17,102.677,102.724,102.204
35,RUS,Williams,HARD,2.0,25.0,45.0,21,102.706,102.573,101.309
36,NOR,McLaren,SOFT,1.0,3.0,18.0,15,102.884,102.847,102.148
37,RUS,Williams,SOFT,3.0,48.0,54.0,6,102.93,102.788,101.239
38,GAS,Toro Rosso,SOFT,1.0,2.0,18.0,17,103.186,103.19,102.402
39,RAI,Alfa Romeo Racing,SOFT,1.0,3.0,17.0,14,103.231,103.252,102.57
40,SAI,McLaren,SOFT,1.0,2.0,17.0,16,103.284,103.322,102.688
41,PER,Racing Point,MEDIUM,1.0,2.0,22.0,21,103.301,103.218,102.291
42,VET,Ferrari,MEDIUM,1.0,1.0,7.0,7,103.304,102.603,102.165
43,KVY,Toro Rosso,HARD,1.0,3.0,20.0,17,103.323,103.266,102.893
44,HUL,Renault,HARD,1.0,2.0,26.0,23,103.332,103.268,102.476
45,STR,Racing Point,MEDIUM,1.0,4.0,8.0,5,103.967,104.027,103.73
46,MAG,Haas F1 Team,MEDIUM,1.0,2.0,17.0,14,104.032,103.927,103.127
47,GIO,Alfa Romeo Racing,MEDIUM,1.0,3.0,16.0,13,104.214,104.2,103.713
48,GRO,Haas F1 Team,MEDIUM,1.0,2.0,23.0,20,104.259,104.246,103.218
49,RUS,Williams,MEDIUM,1.0,2.0,22.0,20,104.844,104.571,104.009
50,KUB,Williams,HARD,2.0,13.0,30.0,17,104.846,104.748,103.83
51,KUB,Williams,MEDIUM,1.0,2.0,10.0,9,105.687,106.003,104.602
