Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
BOT,77,Mercedes,1.0,0 days 00:01:32.846000,92.846,,0 days 00:00:36.878000,0 days 00:00:24.824000,MEDIUM,4.0,1.0,,,1.0,False,12
HAM,44,Mercedes,1.0,0 days 00:01:33.847000,93.847,,0 days 00:00:37.663000,0 days 00:00:25.038000,MEDIUM,4.0,1.0,,,2.0,False,12
VER,33,Red Bull Racing,1.0,0 days 00:01:35.298000,95.298,,0 days 00:00:37.475000,0 days 00:00:25.546000,HARD,4.0,1.0,,,3.0,False,12
HUL,27,Racing Point,1.0,0 days 00:01:36.138000,96.138,,0 days 00:00:38.015000,0 days 00:00:25.423000,MEDIUM,4.0,1.0,,,4.0,False,12
STR,18,Racing Point,1.0,0 days 00:01:36.874000,96.874,,0 days 00:00:38.581000,0 days 00:00:25.555000,MEDIUM,4.0,1.0,,,5.0,False,12
RIC,3,Renault,1.0,0 days 00:01:37.686000,97.686,,0 days 00:00:39.005000,0 days 00:00:25.697000,MEDIUM,4.0,1.0,,,6.0,False,12
GAS,10,AlphaTauri,1.0,0 days 00:01:38.443000,98.443,,0 days 00:00:39.272000,0 days 00:00:25.749000,MEDIUM,4.0,1.0,,,7.0,False,12
NOR,4,McLaren,1.0,0 days 00:01:39.451000,99.451,,0 days 00:00:39.420000,0 days 00:00:26.117000,MEDIUM,4.0,1.0,,,8.0,False,12
ALB,23,Red Bull Racing,1.0,0 days 00:01:39.919000,99.919,,0 days 00:00:39.730000,0 days 00:00:26.066000,MEDIUM,4.0,1.0,,,9.0,False,12
LEC,16,Ferrari,1.0,0 days 00:01:40.456000,100.456,,0 days 00:00:40.438000,0 days 00:00:26.213000,MEDIUM,4.0,1.0,,,10.0,False,12
SAI,55,McLaren,1.0,0 days 00:01:40.996000,100.996,,0 days 00:00:39.898000,0 days 00:00:26.536000,HARD,1.0,1.0,,,11.0,False,12
OCO,31,Renault,1.0,0 days 00:01:41.495000,101.495,,0 days 00:00:40.117000,0 days 00:00:26.509000,MEDIUM,1.0,1.0,,,12.0,False,12
