pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,33,45,91.081,91.294,89.465,0.963,0.0
2,HAM,Mercedes,44,45,91.331,91.441,88.451,1.157,0.25
3,LEC,Ferrari,16,47,91.847,91.513,90.552,1.019,0.766
4,BOT,Mercedes,77,45,91.456,91.558,89.765,0.905,0.375
5,ALB,Red Bull Racing,23,45,91.676,91.742,89.477,1.485,0.595
6,STR,Racing Point,18,45,91.942,91.928,90.877,0.743,0.861
7,HUL,Racing Point,27,43,91.829,91.987,90.087,0.828,0.748
8,KVY,AlphaTauri,26,45,92.246,92.148,90.738,1.135,1.165
9,VET,Ferrari,5,45,92.291,92.197,90.785,1.2,1.21
10,GAS,AlphaTauri,10,45,92.297,92.236,90.092,1.143,1.216
11,NOR,McLaren,4,45,92.196,92.244,90.698,0.926,1.115
12,RIC,Renault,3,42,92.471,92.447,91.168,0.633,1.39
13,SAI,McLaren,55,45,92.263,92.515,90.556,1.018,1.182
14,OCO,Renault,31,47,92.601,92.607,90.575,1.031,1.52
15,RUS,Williams,63,42,92.93,92.762,91.408,0.932,1.849
16,LAT,Williams,6,42,92.941,92.917,89.95,1.099,1.86
17,GRO,Haas F1 Team,8,44,93.088,93.298,90.793,1.085,2.007
18,GIO,Alfa Romeo Racing,99,44,93.325,93.494,91.826,0.825,2.244
19,MAG,Haas F1 Team,20,36,93.817,93.514,91.83,1.198,2.736
20,RAI,Alfa Romeo Racing,7,46,93.493,93.548,91.756,0.86,2.412
