Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
ALB,Red Bull Racing,6,7.0,MEDIUM,HARD
GAS,AlphaTauri,7,8.0,MEDIUM,HARD
GIO,Alfa Romeo Racing,7,8.0,MEDIUM,HARD
RUS,Williams,8,9.0,MEDIUM,HARD
LAT,Williams,9,10.0,MEDIUM,HARD
MAG,Haas F1 Team,9,10.0,MEDIUM,HARD
NOR,McLaren,12,13.0,MEDIUM,HARD
BOT,Mercedes,13,14.0,MEDIUM,HARD
HAM,Mercedes,14,15.0,MEDIUM,HARD
RIC,Renault,14,15.0,MEDIUM,MEDIUM
HUL,Racing Point,15,16.0,MEDIUM,HARD
GRO,Haas F1 Team,17,18.0,MEDIUM,HARD
LEC,Ferrari,18,19.0,MEDIUM,HARD
STR,Racing Point,18,19.0,MEDIUM,HARD
KVY,AlphaTauri,19,20.0,HARD,HARD
MAG,Haas F1 Team,20,21.0,HARD,HARD
OCO,Renault,22,23.0,MEDIUM,HARD
SAI,McLaren,22,23.0,HARD,MEDIUM
VET,Ferrari,22,23.0,HARD,HARD
GAS,AlphaTauri,23,24.0,HARD,HARD
RUS,Williams,24,25.0,HARD,HARD
LAT,Williams,26,27.0,HARD,HARD
RAI,Alfa Romeo Racing,26,27.0,HARD,MEDIUM
RIC,Renault,26,27.0,MEDIUM,HARD
VER,Red Bull Racing,26,27.0,HARD,MEDIUM
NOR,McLaren,29,30.0,HARD,HARD
ALB,Red Bull Racing,30,31.0,HARD,HARD
HUL,Racing Point,30,31.0,HARD,HARD
STR,Racing Point,31,32.0,HARD,HARD
BOT,Mercedes,32,33.0,HARD,HARD
VER,Red Bull Racing,32,33.0,MEDIUM,HARD
GIO,Alfa Romeo Racing,33,34.0,HARD,MEDIUM
VET,Ferrari,33,34.0,HARD,MEDIUM
SAI,McLaren,34,35.0,MEDIUM,HARD
KVY,AlphaTauri,35,36.0,HARD,MEDIUM
RIC,Renault,35,36.0,HARD,MEDIUM
GRO,Haas F1 Team,38,39.0,HARD,HARD
RUS,Williams,39,40.0,HARD,MEDIUM
HAM,Mercedes,41,42.0,HARD,HARD
MAG,Haas F1 Team,43,,HARD,
HUL,Racing Point,44,45.0,HARD,SOFT
LAT,Williams,46,47.0,HARD,MEDIUM
