stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,HAM,Mercedes,HARD,3.0,43.0,52.0,10,89.759,89.71,88.451
2,VER,Red Bull Racing,HARD,3.0,34.0,52.0,19,90.151,90.153,89.465
3,ALB,Red Bull Racing,HARD,3.0,32.0,52.0,21,90.437,90.154,89.477
4,BOT,Mercedes,HARD,3.0,34.0,50.0,17,90.659,90.627,89.765
5,LAT,Williams,MEDIUM,4.0,48.0,51.0,4,90.833,90.636,89.95
6,VER,Red Bull Racing,MEDIUM,2.0,28.0,31.0,4,90.95,90.92,90.361
7,HUL,Racing Point,SOFT,4.0,46.0,52.0,7,90.968,90.785,90.087
8,KVY,AlphaTauri,MEDIUM,3.0,37.0,52.0,16,91.046,91.04,90.738
9,SAI,McLaren,HARD,3.0,36.0,52.0,17,91.145,90.999,90.556
10,VET,Ferrari,MEDIUM,3.0,35.0,52.0,18,91.148,91.016,90.785
11,HUL,Racing Point,HARD,3.0,32.0,43.0,12,91.249,91.184,90.788
12,LEC,Ferrari,HARD,2.0,20.0,52.0,32,91.276,91.206,90.552
13,STR,Racing Point,HARD,3.0,33.0,52.0,20,91.391,91.278,90.877
14,NOR,McLaren,HARD,3.0,31.0,52.0,22,91.461,91.394,90.698
15,HAM,Mercedes,HARD,2.0,16.0,40.0,24,91.533,91.432,90.688
16,GAS,AlphaTauri,HARD,3.0,25.0,52.0,28,91.564,91.616,90.092
17,BOT,Mercedes,HARD,2.0,15.0,31.0,16,91.671,91.87,90.437
18,GRO,Haas F1 Team,HARD,3.0,40.0,51.0,12,91.844,91.593,90.793
19,VER,Red Bull Racing,HARD,1.0,2.0,25.0,22,91.907,91.97,91.082
20,STR,Racing Point,HARD,2.0,20.0,30.0,11,91.922,91.928,91.043
21,RIC,Renault,MEDIUM,4.0,37.0,51.0,15,92.014,91.817,91.168
22,HUL,Racing Point,HARD,2.0,17.0,29.0,13,92.019,92.024,91.088
23,RUS,Williams,MEDIUM,4.0,41.0,51.0,11,92.039,91.934,91.408
24,OCO,Renault,HARD,2.0,24.0,52.0,29,92.051,92.199,90.575
25,KVY,AlphaTauri,HARD,2.0,21.0,34.0,14,92.176,92.206,91.575
26,VET,Ferrari,HARD,2.0,24.0,32.0,9,92.278,92.305,91.77
27,BOT,Mercedes,MEDIUM,1.0,1.0,12.0,12,92.3,92.538,91.384
28,HAM,Mercedes,MEDIUM,1.0,2.0,13.0,11,92.319,92.481,91.44
29,RIC,Renault,MEDIUM,2.0,16.0,25.0,10,92.32,92.264,91.823
30,SAI,McLaren,MEDIUM,2.0,24.0,33.0,10,92.468,92.458,92.087
31,ALB,Red Bull Racing,HARD,2.0,8.0,29.0,20,92.553,92.256,91.133
32,RUS,Williams,HARD,3.0,26.0,38.0,13,92.557,92.456,91.706
33,GIO,Alfa Romeo Racing,MEDIUM,3.0,35.0,51.0,17,92.65,92.251,91.826
34,LAT,Williams,HARD,3.0,28.0,45.0,18,92.656,92.703,91.114
35,RIC,Renault,HARD,3.0,28.0,34.0,6,92.676,92.672,92.263
36,NOR,McLaren,HARD,2.0,14.0,28.0,15,92.694,92.43,91.796
37,STR,Racing Point,MEDIUM,1.0,2.0,17.0,14,92.744,92.798,91.952
38,HUL,Racing Point,MEDIUM,1.0,2.0,14.0,11,92.785,92.848,92.339
39,RAI,Alfa Romeo Racing,MEDIUM,2.0,28.0,51.0,24,92.908,92.716,91.756
40,LEC,Ferrari,MEDIUM,1.0,3.0,17.0,15,93.066,93.057,92.252
41,RIC,Renault,MEDIUM,1.0,3.0,13.0,11,93.118,93.179,92.743
42,SAI,McLaren,HARD,1.0,3.0,21.0,18,93.204,93.125,92.582
43,NOR,McLaren,MEDIUM,1.0,2.0,11.0,8,93.282,93.269,92.752
44,GRO,Haas F1 Team,HARD,2.0,19.0,37.0,19,93.311,93.338,92.449
45,LAT,Williams,HARD,2.0,11.0,25.0,15,93.331,93.23,92.526
46,VET,Ferrari,HARD,1.0,3.0,21.0,18,93.441,93.422,92.195
47,RUS,Williams,HARD,2.0,10.0,23.0,14,93.469,93.484,92.534
48,GAS,AlphaTauri,HARD,2.0,9.0,22.0,12,93.474,93.488,93.054
49,OCO,Renault,MEDIUM,1.0,3.0,21.0,18,93.486,93.575,92.559
50,MAG,Haas F1 Team,HARD,2.0,11.0,19.0,9,93.487,93.246,92.94
51,MAG,Haas F1 Team,HARD,3.0,22.0,42.0,20,93.554,93.262,91.83
52,GAS,AlphaTauri,MEDIUM,1.0,2.0,6.0,5,93.578,93.557,93.235
53,KVY,AlphaTauri,HARD,1.0,4.0,18.0,15,93.591,93.594,92.86
54,GIO,Alfa Romeo Racing,HARD,2.0,9.0,32.0,24,93.618,93.619,92.838
55,ALB,Red Bull Racing,MEDIUM,1.0,2.0,5.0,4,93.801,93.752,93.617
56,GRO,Haas F1 Team,MEDIUM,1.0,4.0,16.0,13,93.909,93.802,92.947
57,RAI,Alfa Romeo Racing,HARD,1.0,2.0,25.0,22,94.13,94.119,93.389
58,LAT,Williams,MEDIUM,1.0,3.0,8.0,5,94.485,94.722,93.9
59,RUS,Williams,MEDIUM,1.0,3.0,7.0,4,94.703,94.606,94.445
60,GIO,Alfa Romeo Racing,MEDIUM,1.0,2.0,6.0,3,94.812,94.694,94.612
61,MAG,Haas F1 Team,MEDIUM,1.0,2.0,8.0,7,94.992,94.648,94.36
