pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,BOT,Mercedes,77,59,72.435,68.736,67.657,10.583,2.927
2,HAM,Mercedes,44,58,72.62,68.906,67.712,10.697,3.112
3,VER,Red Bull Racing,33,8,69.508,69.464,69.351,0.16,0.0
4,NOR,McLaren,4,57,72.808,69.662,67.475,9.747,3.3
5,PER,Racing Point,11,58,72.937,69.843,68.305,9.431,3.429
6,ALB,Red Bull Racing,23,53,73.417,69.853,68.432,10.576,3.909
7,LEC,Ferrari,16,57,72.8,69.925,67.901,9.476,3.292
8,SAI,McLaren,55,57,72.494,70.01,67.974,8.209,2.986
9,GAS,AlphaTauri,10,58,73.218,70.452,69.025,8.126,3.71
10,VET,Ferrari,5,57,72.916,70.529,68.623,7.418,3.408
11,OCO,Renault,31,58,73.426,70.608,68.912,7.965,3.918
12,RAI,Alfa Romeo Racing,7,40,71.696,70.642,69.031,3.794,2.188
13,STR,Racing Point,18,13,71.394,70.655,70.326,1.547,1.886
14,KVY,AlphaTauri,26,55,73.223,70.655,69.135,7.801,3.715
15,RIC,Renault,3,10,70.947,70.819,70.61,0.453,1.439
16,GIO,Alfa Romeo Racing,99,58,73.235,70.826,68.796,7.14,3.727
17,RUS,Williams,63,39,71.559,71.039,69.317,2.741,2.051
18,LAT,Williams,6,57,72.772,71.213,69.662,5.008,3.264
19,GRO,Haas F1 Team,8,39,72.607,71.243,70.228,4.859,3.099
20,MAG,Haas F1 Team,20,18,71.43,71.33,70.72,0.602,1.922
