Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
VER,Red Bull Racing,10,,MEDIUM,
RIC,Renault,12,,SOFT,
GRO,Haas F1 Team,15,16.0,MEDIUM,MEDIUM
STR,Racing Point,15,,SOFT,
RAI,Alfa Romeo Racing,19,20.0,MEDIUM,HARD
GIO,Alfa Romeo Racing,20,21.0,MEDIUM,MEDIUM
RUS,Williams,20,21.0,MEDIUM,HARD
ALB,Red Bull Racing,21,22.0,SOFT,SOFT
GAS,AlphaTauri,21,22.0,MEDIUM,MEDIUM
HAM,Mercedes,21,22.0,SOFT,SOFT
KVY,AlphaTauri,21,22.0,MEDIUM,MEDIUM
LAT,Williams,21,22.0,MEDIUM,MEDIUM
LEC,Ferrari,21,22.0,SOFT,SOFT
NOR,McLaren,21,22.0,SOFT,SOFT
OCO,Renault,21,22.0,MEDIUM,MEDIUM
PER,Racing Point,21,22.0,SOFT,SOFT
SAI,McLaren,21,22.0,SOFT,SOFT
VET,Ferrari,21,22.0,MEDIUM,MEDIUM
BOT,Mercedes,22,23.0,SOFT,SOFT
GRO,Haas F1 Team,44,,HARD,
ALB,Red Bull Racing,46,47.0,HARD,HARD
KVY,AlphaTauri,46,47.0,HARD,HARD
LAT,Williams,46,47.0,HARD,HARD
LEC,Ferrari,46,47.0,HARD,HARD
NOR,McLaren,46,47.0,HARD,HARD
RAI,Alfa Romeo Racing,46,47.0,HARD,SOFT
VET,Ferrari,46,47.0,HARD,HARD
SAI,McLaren,47,48.0,HARD,HARD
GIO,Alfa Romeo Racing,50,51.0,HARD,HARD
ALB,Red Bull Racing,51,52.0,SOFT,SOFT
GAS,AlphaTauri,51,52.0,HARD,HARD
GIO,Alfa Romeo Racing,51,52.0,HARD,HARD
HAM,Mercedes,51,52.0,HARD,HARD
KVY,AlphaTauri,51,52.0,SOFT,SOFT
LAT,Williams,51,52.0,SOFT,SOFT
LEC,Ferrari,51,52.0,MEDIUM,MEDIUM
NOR,McLaren,51,52.0,MEDIUM,MEDIUM
OCO,Renault,51,52.0,HARD,HARD
PER,Racing Point,51,52.0,MEDIUM,MEDIUM
SAI,McLaren,51,52.0,MEDIUM,MEDIUM
VET,Ferrari,51,52.0,SOFT,SOFT
BOT,Mercedes,52,53.0,HARD,HARD
