Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
ALB,Red Bull Racing,6,7,MEDIUM,HARD
GAS,AlphaTauri,12,13,MEDIUM,HARD
GIO,Alfa Romeo Racing,12,13,MEDIUM,HARD
LAT,Williams,12,13,MEDIUM,HARD
NOR,McLaren,12,13,SOFT,HARD
OCO,Renault,12,13,SOFT,HARD
RAI,Alfa Romeo Racing,12,14,MEDIUM,HARD
RIC,Renault,12,13,SOFT,HARD
RUS,Williams,12,13,MEDIUM,HARD
VET,Ferrari,12,13,SOFT,HARD
BOT,Mercedes,13,18,MEDIUM,HARD
HAM,Mercedes,13,18,MEDIUM,HARD
LEC,Ferrari,13,18,MEDIUM,HARD
SAI,McLaren,13,14,SOFT,HARD
STR,Racing Point,13,14,MEDIUM,HARD
VER,Red Bull Racing,13,18,MEDIUM,HARD
ALB,Red Bull Racing,30,31,HARD,MEDIUM
GRO,Haas F1 Team,36,37,MEDIUM,HARD
RAI,Alfa Romeo Racing,47,48,HARD,SOFT
BOT,Mercedes,50,51,HARD,SOFT
VER,Red Bull Racing,50,51,HARD,SOFT
SAI,McLaren,51,52,HARD,MEDIUM
