Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
BOT,77,Mercedes,1.0,0 days 00:01:33.510000,93.51,,0 days 00:00:38.173000,0 days 00:00:23.805000,SOFT,4.0,1.0,,,1.0,False,
HAM,44,Mercedes,1.0,0 days 00:01:35.032000,95.032,,0 days 00:00:38.810000,0 days 00:00:23.875000,SOFT,4.0,1.0,,,2.0,False,
VER,33,Red Bull Racing,1.0,0 days 00:01:35.799000,95.799,,0 days 00:00:39.266000,0 days 00:00:23.821000,SOFT,4.0,1.0,,,3.0,False,
LEC,16,Ferrari,1.0,0 days 00:01:37.473000,97.473,,0 days 00:00:39.923000,0 days 00:00:24.157000,SOFT,4.0,1.0,,,4.0,False,
RIC,3,Renault,1.0,0 days 00:01:38.224000,98.224,,0 days 00:00:40.062000,0 days 00:00:24.120000,SOFT,4.0,1.0,,,5.0,False,
ALB,23,Red Bull Racing,1.0,0 days 00:01:39.301000,99.301,,0 days 00:00:40.682000,0 days 00:00:24.276000,SOFT,4.0,1.0,,,6.0,False,
NOR,4,McLaren,1.0,0 days 00:01:40.311000,100.311,,0 days 00:00:41.613000,0 days 00:00:24.252000,SOFT,4.0,1.0,,,7.0,False,
PER,11,Racing Point,1.0,0 days 00:01:40.884000,100.884,,0 days 00:00:41.779000,0 days 00:00:24.345000,SOFT,4.0,1.0,,,8.0,False,
OCO,31,Renault,1.0,0 days 00:01:41.472000,101.472,,0 days 00:00:42.088000,0 days 00:00:24.635000,SOFT,4.0,1.0,,,9.0,False,
SAI,55,McLaren,1.0,0 days 00:01:41.860000,101.86,,0 days 00:00:42.350000,0 days 00:00:24.562000,SOFT,4.0,1.0,,,10.0,False,
GIO,99,Alfa Romeo Racing,1.0,0 days 00:01:42.829000,102.829,,0 days 00:00:41.949000,0 days 00:00:25.039000,SOFT,1.0,1.0,,,11.0,False,
VET,5,Ferrari,1.0,0 days 00:01:43.478000,103.478,,0 days 00:00:42.164000,0 days 00:00:25.218000,MEDIUM,1.0,1.0,,,12.0,False,
GAS,10,AlphaTauri,1.0,0 days 00:01:43.776000,103.776,,0 days 00:00:42.142000,0 days 00:00:25.042000,MEDIUM,1.0,1.0,,,13.0,False,
MAG,20,Haas F1 Team,1.0,0 days 00:01:44.391000,104.391,,0 days 00:00:42.163000,0 days 00:00:25.291000,SOFT,1.0,1.0,,,14.0,False,
KVY,26,AlphaTauri,1.0,0 days 00:01:44.911000,104.911,,0 days 00:00:42.766000,0 days 00:00:25.180000,MEDIUM,1.0,1.0,,,15.0,False,
RUS,63,Williams,1.0,0 days 00:01:45.296000,105.296,,0 days 00:00:42.941000,0 days 00:00:25.200000,SOFT,1.0,1.0,,,16.0,False,
HUL,27,Racing Point,1.0,0 days 00:01:46.054000,106.054,,0 days 00:00:43.390000,0 days 00:00:25.213000,SOFT,1.0,1.0,,,17.0,False,
LAT,6,Williams,1.0,0 days 00:01:46.420000,106.42,,0 days 00:00:42.989000,0 days 00:00:25.868000,SOFT,1.0,1.0,,,18.0,False,
