pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,HAM,Mercedes,44,51,90.652,90.701,88.145,1.105,0.0
2,VER,Red Bull Racing,33,51,90.963,91.086,88.139,1.122,0.311
3,BOT,Mercedes,77,14,92.958,92.094,91.884,2.863,2.306
4,RIC,Renault,3,53,92.532,92.352,89.584,2.568,1.88
5,LEC,Ferrari,16,53,93.596,92.832,90.712,3.977,2.944
6,PER,Racing Point,11,53,92.758,92.97,89.7,2.552,2.106
7,SAI,McLaren,55,53,93.124,92.989,90.129,2.988,2.472
8,GIO,Alfa Romeo Racing,99,53,93.958,93.048,90.909,3.479,3.306
9,KVY,AlphaTauri,26,53,93.811,93.103,92.214,1.858,3.159
10,RAI,Alfa Romeo Racing,7,53,93.916,93.119,90.512,2.294,3.264
11,MAG,Haas F1 Team,20,53,94.304,93.189,90.456,3.714,3.652
12,VET,Ferrari,5,53,94.189,93.223,90.408,3.289,3.537
13,NOR,McLaren,4,38,93.503,93.321,92.328,0.827,2.851
14,GAS,AlphaTauri,10,53,93.241,93.483,90.11,2.342,2.589
15,ALB,Red Bull Racing,23,19,93.987,93.516,92.33,1.544,3.335
16,LAT,Williams,6,53,94.505,93.516,91.377,3.429,3.853
17,GRO,Haas F1 Team,8,55,94.494,93.528,91.562,4.456,3.842
18,HUL,Racing Point,27,53,93.563,93.618,90.733,2.346,2.911
19,OCO,Renault,31,20,94.395,93.954,93.189,1.745,3.743
20,RUS,Williams,63,9,95.281,94.93,94.526,0.96,4.629
