Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
ALB,Red Bull Racing,7,8.0,SOFT,MEDIUM
LEC,Ferrari,10,11.0,SOFT,MEDIUM
RAI,Alfa Romeo Racing,10,11.0,SOFT,MEDIUM
RUS,Williams,11,12.0,SOFT,MEDIUM
VET,Ferrari,11,12.0,MEDIUM,HARD
BOT,Mercedes,13,14.0,SOFT,MEDIUM
LAT,Williams,14,15.0,SOFT,MEDIUM
MAG,Haas F1 Team,14,15.0,SOFT,MEDIUM
GIO,Alfa Romeo Racing,15,16.0,SOFT,MEDIUM
HAM,Mercedes,16,17.0,SOFT,MEDIUM
RIC,Renault,16,17.0,SOFT,MEDIUM
VER,Red Bull Racing,16,17.0,SOFT,MEDIUM
KVY,AlphaTauri,17,18.0,MEDIUM,HARD
BOT,Mercedes,18,,MEDIUM,
OCO,Renault,22,,SOFT,
ALB,Red Bull Racing,23,,MEDIUM,
GRO,Haas F1 Team,28,29.0,MEDIUM,HARD
PER,Racing Point,28,29.0,SOFT,MEDIUM
SAI,McLaren,28,29.0,SOFT,MEDIUM
HUL,Racing Point,29,30.0,SOFT,MEDIUM
NOR,McLaren,29,30.0,SOFT,MEDIUM
GAS,AlphaTauri,30,31.0,MEDIUM,HARD
LAT,Williams,33,34.0,MEDIUM,MEDIUM
MAG,Haas F1 Team,34,35.0,MEDIUM,MEDIUM
LEC,Ferrari,35,36.0,MEDIUM,MEDIUM
GIO,Alfa Romeo Racing,36,37.0,MEDIUM,MEDIUM
VET,Ferrari,41,42.0,HARD,SOFT
GAS,AlphaTauri,44,45.0,HARD,SOFT
HUL,Racing Point,44,45.0,MEDIUM,SOFT
KVY,AlphaTauri,44,45.0,HARD,SOFT
RAI,Alfa Romeo Racing,44,45.0,MEDIUM,SOFT
RIC,Renault,44,45.0,MEDIUM,SOFT
SAI,McLaren,44,45.0,MEDIUM,SOFT
HAM,Mercedes,45,48.0,MEDIUM,SOFT
PER,Racing Point,45,46.0,MEDIUM,SOFT
VER,Red Bull Racing,45,48.0,MEDIUM,SOFT
