stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,HAM,Mercedes,SOFT,3.0,50.0,60.0,11,88.956,89.047,88.145
2,VER,Red Bull Racing,SOFT,3.0,50.0,60.0,11,89.265,89.058,88.139
3,HAM,Mercedes,MEDIUM,2.0,18.0,44.0,27,90.717,90.701,90.109
4,VER,Red Bull Racing,MEDIUM,2.0,18.0,44.0,27,91.068,91.051,90.439
5,PER,Racing Point,SOFT,3.0,47.0,60.0,12,91.312,90.098,89.7
6,GAS,AlphaTauri,SOFT,3.0,47.0,60.0,13,91.329,90.528,90.11
7,SAI,McLaren,MEDIUM,2.0,30.0,43.0,14,91.438,91.518,91.016
8,RIC,Renault,SOFT,3.0,47.0,60.0,12,91.567,90.084,89.584
9,PER,Racing Point,MEDIUM,2.0,30.0,44.0,15,91.814,91.264,90.476
10,GAS,AlphaTauri,HARD,2.0,32.0,43.0,12,91.896,91.725,91.178
11,HAM,Mercedes,SOFT,1.0,2.0,15.0,13,91.953,91.951,91.622
12,HUL,Racing Point,SOFT,3.0,47.0,60.0,13,92.065,91.341,90.733
13,RIC,Renault,MEDIUM,2.0,18.0,43.0,26,92.098,92.176,91.096
14,VER,Red Bull Racing,SOFT,1.0,2.0,15.0,13,92.181,92.108,91.817
15,BOT,Mercedes,SOFT,1.0,1.0,12.0,12,92.218,92.094,91.884
16,HUL,Racing Point,MEDIUM,2.0,31.0,43.0,13,92.252,92.222,91.193
17,LEC,Ferrari,MEDIUM,3.0,37.0,60.0,21,92.628,91.198,90.712
18,KVY,AlphaTauri,HARD,2.0,19.0,43.0,25,92.724,92.638,92.214
19,SAI,McLaren,SOFT,3.0,46.0,60.0,13,92.826,90.702,90.129
20,NOR,McLaren,MEDIUM,2.0,31.0,42.0,12,93.198,92.832,92.328
21,GRO,Haas F1 Team,HARD,2.0,30.0,60.0,28,93.293,92.174,91.562
22,GIO,Alfa Romeo Racing,MEDIUM,3.0,38.0,60.0,20,93.347,91.779,90.909
23,GIO,Alfa Romeo Racing,MEDIUM,2.0,17.0,35.0,19,93.401,93.048,92.719
24,MAG,Haas F1 Team,MEDIUM,3.0,36.0,60.0,22,93.407,92.238,90.456
25,ALB,Red Bull Racing,MEDIUM,2.0,9.0,22.0,13,93.438,93.321,92.33
26,RAI,Alfa Romeo Racing,MEDIUM,2.0,12.0,43.0,31,93.529,92.994,92.161
27,NOR,McLaren,SOFT,1.0,2.0,28.0,26,93.644,93.619,92.683
28,VET,Ferrari,SOFT,3.0,43.0,60.0,15,93.651,91.883,90.408
29,LAT,Williams,MEDIUM,3.0,35.0,60.0,23,93.702,92.785,91.377
30,RAI,Alfa Romeo Racing,SOFT,3.0,47.0,60.0,14,93.813,92.336,90.512
31,VET,Ferrari,HARD,2.0,13.0,40.0,28,93.945,93.113,92.398
32,PER,Racing Point,SOFT,1.0,1.0,27.0,26,93.97,93.564,92.848
33,LEC,Ferrari,MEDIUM,2.0,12.0,34.0,23,94.012,93.197,92.511
34,RIC,Renault,SOFT,1.0,1.0,15.0,15,94.055,93.935,93.023
35,SAI,McLaren,SOFT,1.0,1.0,27.0,26,94.182,93.853,92.983
36,MAG,Haas F1 Team,MEDIUM,2.0,16.0,33.0,18,94.216,93.066,92.751
37,LAT,Williams,MEDIUM,2.0,16.0,32.0,17,94.288,93.386,92.881
38,OCO,Renault,SOFT,1.0,1.0,21.0,20,94.395,93.954,93.189
39,KVY,AlphaTauri,SOFT,3.0,46.0,60.0,14,94.597,93.587,92.367
40,GAS,AlphaTauri,MEDIUM,1.0,1.0,29.0,28,94.705,94.246,93.232
41,LEC,Ferrari,SOFT,1.0,1.0,9.0,9,94.793,94.256,93.989
42,HUL,Racing Point,SOFT,1.0,1.0,28.0,27,94.916,94.436,93.146
43,KVY,AlphaTauri,MEDIUM,1.0,2.0,15.0,14,94.966,94.803,94.186
44,ALB,Red Bull Racing,SOFT,1.0,1.0,6.0,6,95.176,94.315,94.119
45,RUS,Williams,SOFT,1.0,2.0,10.0,9,95.281,94.93,94.526
46,GIO,Alfa Romeo Racing,SOFT,1.0,1.0,14.0,14,95.587,94.87,94.46
47,RAI,Alfa Romeo Racing,SOFT,1.0,2.0,9.0,8,95.596,95.25,94.772
48,VET,Ferrari,MEDIUM,1.0,1.0,10.0,10,95.679,94.615,94.13
49,GRO,Haas F1 Team,MEDIUM,1.0,1.0,27.0,27,95.74,94.942,93.316
50,MAG,Haas F1 Team,SOFT,1.0,1.0,13.0,13,95.941,94.825,94.413
51,LAT,Williams,SOFT,1.0,1.0,13.0,13,96.211,95.146,94.547
52,BOT,Mercedes,MEDIUM,2.0,15.0,17.0,2,97.398,97.398,91.995
