Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
BOT,77,Mercedes,1.0,0 days 00:01:21.722000,81.722,,0 days 00:00:27.514000,0 days 00:00:26.565000,MEDIUM,4.0,1.0,,,1.0,False,12
VER,33,Red Bull Racing,1.0,0 days 00:01:23.174000,83.174,,0 days 00:00:27.930000,0 days 00:00:26.830000,MEDIUM,4.0,1.0,,,2.0,False,12
HAM,44,Mercedes,1.0,0 days 00:01:24.142000,84.142,,0 days 00:00:28.025000,0 days 00:00:26.903000,MEDIUM,4.0,1.0,,,3.0,False,12
RIC,3,Renault,1.0,0 days 00:01:25.406000,85.406,,0 days 00:00:28.564000,0 days 00:00:27.016000,SOFT,4.0,1.0,,,4.0,False,12
GAS,10,AlphaTauri,1.0,0 days 00:01:26.537000,86.537,,0 days 00:00:28.990000,0 days 00:00:27.223000,SOFT,4.0,1.0,,,5.0,False,12
LEC,16,Ferrari,1.0,0 days 00:01:27.074000,87.074,,0 days 00:00:29.103000,0 days 00:00:27.223000,SOFT,5.0,1.0,,,6.0,False,12
ALB,23,Red Bull Racing,1.0,0 days 00:01:27.853000,87.853,,0 days 00:00:29.268000,0 days 00:00:27.575000,SOFT,4.0,1.0,,,7.0,False,12
KVY,26,AlphaTauri,1.0,0 days 00:01:28.537000,88.537,,0 days 00:00:29.364000,0 days 00:00:27.724000,SOFT,6.0,1.0,,,8.0,False,12
NOR,4,McLaren,1.0,0 days 00:01:29.178000,89.178,,0 days 00:00:29.764000,0 days 00:00:27.799000,SOFT,4.0,1.0,,,9.0,False,12
SAI,55,McLaren,1.0,0 days 00:01:29.742000,89.742,,0 days 00:00:29.996000,0 days 00:00:27.946000,SOFT,4.0,1.0,,,10.0,False,12
PER,11,Racing Point,1.0,0 days 00:01:30.196000,90.196,,0 days 00:00:30.107000,0 days 00:00:27.988000,MEDIUM,1.0,1.0,,,11.0,False,12
OCO,31,Renault,1.0,0 days 00:01:30.849000,90.849,,0 days 00:00:30.350000,0 days 00:00:28.219000,MEDIUM,1.0,1.0,,,12.0,False,12
RUS,63,Williams,1.0,0 days 00:01:31.472000,91.472,,0 days 00:00:30.425000,0 days 00:00:28.341000,MEDIUM,1.0,1.0,,,13.0,False,12
GIO,99,Alfa Romeo Racing,1.0,0 days 00:01:31.960000,91.96,,0 days 00:00:30.015000,0 days 00:00:28.168000,SOFT,1.0,1.0,,,14.0,False,12
VET,5,Ferrari,1.0,0 days 00:01:32.506000,92.506,,0 days 00:00:31.205000,0 days 00:00:27.955000,MEDIUM,1.0,1.0,,,15.0,False,12
RAI,7,Alfa Romeo Racing,1.0,0 days 00:01:33.181000,93.181,,0 days 00:00:31.238000,0 days 00:00:28.480000,MEDIUM,1.0,1.0,,,16.0,False,12
GRO,8,Haas F1 Team,1.0,0 days 00:01:33.691000,93.691,,0 days 00:00:30.835000,0 days 00:00:28.648000,MEDIUM,1.0,1.0,,,17.0,False,12
LAT,6,Williams,1.0,0 days 00:01:34.416000,94.416,,0 days 00:00:30.569000,0 days 00:00:28.867000,MEDIUM,1.0,1.0,,,18.0,False,12
STR,18,Racing Point,1.0,0 days 00:01:41.716000,101.716,,0 days 00:00:32.232000,0 days 00:00:34.624000,MEDIUM,1.0,1.0,,0 days 00:34:49.614000,19.0,False,12
MAG,20,Haas F1 Team,1.0,0 days 00:01:52.258000,112.258,,0 days 00:00:51.418000,0 days 00:00:27.540000,MEDIUM,1.0,1.0,,,20.0,False,12
BOT,77,Mercedes,2.0,0 days 00:01:20.550000,80.55,0 days 00:00:25.788000,0 days 00:00:27.910000,0 days 00:00:26.852000,MEDIUM,5.0,1.0,,,1.0,True,1
VER,33,Red Bull Racing,2.0,0 days 00:01:20.211000,80.211,0 days 00:00:25.848000,0 days 00:00:27.598000,0 days 00:00:26.765000,MEDIUM,5.0,1.0,,,2.0,True,1
HAM,44,Mercedes,2.0,0 days 00:01:20.226000,80.226,0 days 00:00:25.678000,0 days 00:00:27.831000,0 days 00:00:26.717000,MEDIUM,5.0,1.0,,,3.0,True,1
