pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,HAM,Mercedes,44,56,79.388,78.314,75.484,7.033,0.538
2,VER,Red Bull Racing,33,45,78.85,78.731,77.637,0.594,0.0
3,BOT,Mercedes,77,56,80.574,78.919,75.902,7.996,1.724
4,PER,Racing Point,11,56,80.917,79.089,78.084,6.558,2.067
5,KVY,AlphaTauri,26,56,80.791,79.668,77.666,5.722,1.941
6,VET,Ferrari,5,56,80.577,79.678,77.767,2.575,1.727
7,NOR,McLaren,4,56,80.893,79.73,78.069,4.649,2.043
8,LEC,Ferrari,16,58,81.869,79.731,78.173,7.88,3.019
9,RIC,Renault,3,58,81.731,79.756,77.552,7.913,2.881
10,SAI,McLaren,55,56,80.903,79.77,78.118,5.541,2.053
11,ALB,Red Bull Racing,23,56,82.128,79.793,76.177,8.14,3.278
12,RUS,Williams,63,46,80.201,79.8,78.811,1.364,1.351
13,RAI,Alfa Romeo Racing,7,58,81.972,79.825,78.088,7.049,3.122
14,STR,Racing Point,18,54,80.162,79.973,78.36,2.314,1.312
15,GIO,Alfa Romeo Racing,99,58,82.038,80.091,78.794,6.974,3.188
16,GRO,Haas F1 Team,8,56,81.37,80.142,78.822,4.051,2.52
17,MAG,Haas F1 Team,20,41,80.254,80.174,79.273,0.792,1.404
18,LAT,Williams,6,58,82.111,80.329,78.719,7.093,3.261
19,OCO,Renault,31,23,80.648,80.792,79.606,0.637,1.798
20,GAS,AlphaTauri,10,7,81.667,80.835,80.403,2.196,2.817
